Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,10.1,11.1,12.1,13.1,10,11,12,13,14,15,16,17
109,iatrogeny,Noun,Any iatrogenic condition.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,condition,,condition,,,,,,,,,,condition,,,,,,,,,,condition,,,,,,,,,,,,,,,,,,,,,,,,,
801,ichthyoallyeinotoxism,Noun,A hallucinatory condition caused by eating certain species of fish.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,condition,,condition,,,,,,,,,,condition,,,,,,,,,,condition,,,,,,,,,,,,,,,,,,,,,,,,,
1144,icteremia,Noun,The presence of bile in the blood, medicine,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,presence,,presence,,,,,,,,,,presence,,,,,,,,,,presence,,,,,,,,,,,,,,,,,,,,,,,,,
1145,icteremia,Noun,The presence of bilirubin in the blood, medicine,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,presence,,presence,,,,,,,,,,presence,,,,,,,,,,presence,,,,,,,,,,,,,,,,,,,,,,,,,
1970,idyllic,Noun,An idyllic state or situation,,"(A substantive use of the adjective) 1922 John Buchan, Huntingtower, ch V He could retire to the idyllic with the knowledge that he had not been wanting when Romance called.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state or situation,,state,or,situation,,,,,,,,state,or,situation,,,,,,,,state,or,situation,,,,,,,,,,,,,,,,,,,,,,,
2275,ihram,Noun,The state of ritual purity and dedication of a Muslim hajj pilgrim to Mecca., Islam,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
2578,ill health,Noun,"A state of illness, or bad health", idiomatic,I have to cancel my holidays due to continuing ill health.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
2625,illbeing,Noun,A state of unhappiness or poor health.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
2810,illness,Noun,A state of bad health or disease, uncountable,Many working days this year have been lost through illness.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,state,,state,,,,,,,,,,state,,,,,,,,,,state,,,,,,,,,,,,,,,,,,,,,,,,,
3474,imbroglio,Noun,A complicated situation; an entanglement,,"1816, Thomas Gray, A Long Story, in John Mitford, editor, The Works of Thomas Gray; Vol. I Containing the Poems, with Critical Notes; a Life of the Author; and an Essay on His Poetry; by the Rev. John Mitford, volume I, London: Printed for J. Mawman, 39, Ludgate-Street, by S. Hamilton, Weybridge, Surrey, OCLC 560210891, lines 6568, page 133:Into the drawers and china pry, / Papers and books, a huge imbroglio! / Under a tea-cup he might lie, / Or creased, like dogs-ears, in a folio. 2010 July, Erica Jong, My Italy, in Barrie Kerper, editor, Tuscany and Umbria: The Collected Traveler (An Inspired Companion Guide), New York, N.Y.: Vintage Departures, Vintage Books, ISBN:Your trip here will never quite go as planned. [] There may be strikes, mixed-up reservations, maddening imbrogli of all sorts. But they will be charming imbrogli because the Italian people are charming, down to the whimsical tone of their language. 2013, Frances Whiting, chapter 19, in Walking on Trampolines, Sydney, N.S.W.: Pan Macmillan Australia, ISBN; trade paperback edition, New York, N.Y.: Gallery Books, February 2015, ISBN page 207: I could have phoned you with all this, Tallulah, but knowing you as I have over the years, when you and I have both been a party to some of Duncan's little imbroglios, I thought I should talk to you in person. 2015, Judith Bendheim Guedalia, Stop and Smell the Flowers, in A Neuropsychologists Journal: Interventions and Judi-isms, Jerusalem; New York, N.Y.: Urim Publications, ISBN, page 240:He [Edward Michael Adler] was inducted into the imbroglio of the Vietnam War, which so many of his age group and middle class Orthodox Jewish upbringing easily avoided by staying in university or going into the clergy. He didn't. 2015, Denis MacShane, A Centrifugal Europe, in Brexit: How Britain Will Leave Europe, London: I.B. Tauris, ISBN, page 21:[David] Cameron's decision to hold a referendum alters the chemistry of politics. The casual way he offered a simple YesNo referendum to Scotland in 2011 has led to a quasi-insoluble imbroglio over the future of the British Constitution.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False,False,,situation,,situation,,,,,,,,,,situation,,,,,,,,,,situation,,,,,,,,,,,,,,,,,,,,,,,,,
