Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body
79,iamid,Noun,Any member of the Iamidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
87,iapygid,Noun,Any member of the Iapygidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
138,ibaliid,Noun,Any member of the Ibaliidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
637,icelid,Noun,Any member of the Icelidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
718,ichneumonoid,Noun,Any member of the Ichneumonoidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
809,ichthyodectid,Noun,Any member of the family Ichthyodectidae of extinct predatory fish principally of the Cretaceous., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
868,ichthyophiid,Noun,Any member of the Ichthyophiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
884,ichthyornid,Noun,Any member of the Ichthyornidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
886,ichthyornithid,Noun,Any member of the Ichthyornithidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
897,ichthyosaurid,Noun,Any member of the Ichthyosauridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
913,ichthyostegid,Noun,Any member of the Ichthyostegidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1138,icosteid,Noun,Any member of the Icosteidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1142,ictalurid,Noun,Any member of the Ictaluridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1569,idiacanthid,Noun,Any member of the Idiacanthidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1693,idiopid,Noun,Any member of the Idiopidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1701,idiosepiid,Noun,Any member of the Idiosepiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1939,idoteid,Noun,Any member of the Idoteidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
2263,iguanodontid,Noun,Any member of the family Iguanodontidae of iguana-like dinosaurs., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
2336,ilariid,Noun,Any member of the Ilariidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
3025,ilysiid,Noun,Any member of the Ilysiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
3956,immid,Noun,Any member of the Immidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
7576,inachid,Noun,Any member of the Inachidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
9748,incurvariid,Noun,Any member of the Incurvariidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
10456,indicatorid,Noun,Any member of the Indicatoridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
11127,indostomid,Noun,Any member of the Indostomidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
11162,indrid,Noun,Any member of the Indridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
11170,indriid,Noun,Any member of the Indriidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
11706,inermiid,Noun,Any member of the Inermiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
13785,ingolfiellid,Noun,Any member of the Ingolfiellidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
14222,iniid,Noun,Any member of the Iniidae, zoology,"2015, Annalisa Berta, Marine Mammals: Evolutionary Biology[1], page 88:According to Cozzuol (1996), iniids (including fossil taxa) are characterized by an extremely elongated rostrum and mandible, very narrow supraoccipital, greatly reduced orbital region, and pneumatized maxillae forming a crest.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
15171,inocelliid,Noun,Any member of the Inocelliidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
15173,inoceramid,Noun,Any member of the Inoceramidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
17367,intasuchid,Noun,Any member of the Intasuchidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
17976,interatheriid,Noun,Any member of the Interatheriidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
25074,iravadiid,Noun,Any member of the Iravadiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
25096,irenid,Noun,Any member of the Irenidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
25158,iridinid,Noun,Any member of the Iridinidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
25231,iridovirid,Noun,Any member of the Iridoviridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
25547,ironomyiid,Noun,Any member of the Ironomyiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
26154,isaeid,Noun,Any member of the Isaeidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
26242,ischnochitonid,Noun,Any member of the Ischnochitonidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
26244,ischnurid,Noun,Any member of the Ischnuridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
26252,ischyrocerid,Noun,Any member of the Ischyroceridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
26295,isidid,Noun,Any member of the Isididae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
26944,isognomonid,Noun,"Any of the family Isognomonidae of marine bivalve mollusks, related to the pearl oysters.", zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
27524,isopteran,Noun,Any member of the infraorder Isoptera of termites., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
27683,isostictid,Noun,Any member of the Isostictidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
27723,isotemnid,Noun,Any member of the family Isotemnidae of extinct ungulates., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
27775,isotomid,Noun,Any member of the Isotomidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
27966,issid,Noun,Any member of the Issidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28036,istiodactylid,Noun,Any member of the Istiodactylidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28242,ithomiine,Noun,a member of the Ithomiini tribe of butterflies., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28412,ixionid,Noun,Any member of the Ixionidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
28429,ixodorhynchid,Noun,Any member of the Ixodorhynchidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
294,dactylogyrid,Noun,"Any member of the Dactylogyridae, a family of flatworms.", zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
314,dactylopterid,Noun,Any member of the Dactylopteridae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
450,daesiid,Noun,Any member of the Daesiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
763,dairid,Noun,Any member of the Dairidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
850,dajid,Noun,Any member of the family Dajidae of tiny ectoparasites of krill., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
909,dalatiid,Noun,Any member of the shark family Dalatiidae., zoology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
