Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar
272,ice age,Noun,Any of several glacial periods (within a scientific ice age) marked by episodes of extensive glaciation alternating with episodes of relative warmth (interglacial), colloquial,"2003, Bill Bryson, A Short History of Nearly Everything, BCA 2003, p. 377: The cause of ice ages, Kppen decided, is to be found in cool summers, not brutal winters.",False,False,False,False
631,icehouse,Noun,An ice hockey rink.," US, colloquial",,False,False,False,False
2052,igg,Verb,To ignore deliberately," transitive, colloquial","1953, Langston Hughes, Simple Takes a Wife, in 2002, Donna Sullivan Harper (editor), The Collected Works of Langston Hughes: The Early Simple Stories, Volume 7, page 202, But not knowing my own mind, I made it hard for Mabel, keeping late hours, igging her, and playing Cherie. Then, one day while Mabel was at work, I packed my clothes and left. 1984, Imamu Amiri Baraka, The autobiography of LeRoi Jones, page 95, I mean you can know that the little yalla boys and girls or the med and dent students are igging you and be igged and conscious (to the degree you are conscious) of it, [] 1995, Clockers, 01:45:00: ""I was tryin' to give it back to him, but he doesn't speak to me anymore. I keep trying.. but he keeps iggin' me."" 2003, Marlene Kim Connor, What Is Cool?: Understanding Black Manhood in America, page 14, Ig is obsolete. Ig always conveyed an action and an attitude. At one time, to be igged was the worst attitude someone could convey to you without directly speaking to you. It was an insult, a slight. But being igged has lost its weight.",False,False,False,False
2639,illegal,Noun,"Contraband, esp"," colloquial, plural, as illegals","illegal substances such as drugs. 2004, Callum Blue as Mason, Reapercussions, in 'Dead Like Me', season 1, episode 4:I've got illegals in my bottom. 2008, J. D. Robb [pseudonym; Nora Roberts], 'Strangers in Death', Penguin, ISBN:Heres what I could do, Eve supposed. I could slap your head against that wall, while Im kicking your balls into your belly, she added to the companion. And after that, I can have you in restraints while I turn out your pockets. Youre carrying illegals.",False,False,False,False
3876,immense,Adjective,Supremely good., colloquial,,False,False,False,False
5788,imperence,Noun,"impertinence 1837, Charles Dickens, The Pickwick Papers 'Don't go away, Mary,' said the black-eyed man", colloquial,"'Let me alone, imperence,' said the young lady. 1852, William Thackeray, Men's Wives ""Augustus, show this imperence to the door; and if he tries to come in again, call a policeman: do you hear?""",False,False,False,False
6534,impossible,Adjective,Very difficult to deal with," colloquial, of a person",You never listen to a word I say you're impossible!,False,False,False,False
7346,in God's name,Adverb,Used as an intensifier, colloquial,"In God's name, what do you think you are you doing? What in God's name are you doing? 1886, Robert Louis Stevenson, Strange Case Of Dr Jekyll And Mr Hyde ""...And in the meantime, if you can sit and talk with me of other things, for God's sake, stay and do so; but if you cannot keep clear of this accursed topic, then in God's name, go, for I cannot bear it."" 1897, Bram Stoker, Dracula Chapter 21 ""In God's name what does this mean?"" Harker cried out. ""Dr. Seward, Dr. Van Helsing, what is it? What has happened? What is wrong? Mina, dear what is it? What does that blood mean? My God, my God! Has it come to this!"" And, raising himself to his knees, he beat his hands wildly together. ""Good God help us! Help her! Oh, help her!""",False,False,False,False
7352,in a walk,Adverb,Easily; without difficulty," idiomatic, colloquial, chiefly sports","1844, The New sporting magazine, page 301:... Underhand has done at Newcastle what Vampyre just failed to do at Ascot; and both the Two Thousand and the Thousand have been absolutely won in a walk.",False,False,False,False
9268,incontinent,Adjective,Immediate; without delay., colloquial,,False,False,False,False
