Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar
199,ice,Noun,An ice cream.," Britain, countable, dated",,False,False,False,False
259,ice-safe,Noun,An early icebox or refrigerator., dated,,False,False,False,False
370,ice cupboard,Noun,"A large cupboard or room kept at a temperature lower than room temperature for long-term, stable storage of perishable foods", dated,"1897, Journal of the Society of Chemical Industry, Volume 16, p. 157,[1] The activity of the yeast extract does not last long; it had vanished after being kept five days in an ice cupboard, but lasted for two weeks when mixed with cane-sugar solution. 1933, George Orwell, chapter 11, in Down and Out in Paris and London[2]:At one end were five service lifts, and at the other an ice cupboard where we stored milk and butter. When you went into the ice cupboard you dropped a hundred degrees of temperature at a single step; it used to remind me of the hymn about Greenland's icy mountains and India's coral strand.",False,False,False,False
566,icebox,Noun,A refrigerator," US, dated",[from 20th c.],False,False,False,False
575,iceboxful,Noun,"Synonym of fridgeful 1989, Ladies' Home Journal - Volume 106, page 36:An iceboxful of ideas for super new shapes and scrumptious sauces 1980, Anthony Bailey, America, lost found, page 124:Once a year he would have a stag session with two or three men friends a short vacation in which they would simply move into one or another of their homes (generally 630 Runnymede) for two or three days and play golf by day and cards by night, and get through an iceboxful of Pabst"," US, dated","1980, Eliot Wagner, My America!, page 54:Sarah's ma fat-faced cousin Mary with the crinkly brown wig mumbled that her daughter had to cook French toast for lunch on the Sabbath with an iceboxful of things to eat.",False,False,False,False
648,iceman,Noun,A man in attendance at a frozen pond where skating etc, dated,is going on.,False,False,False,False
784,ichorhaemia,Noun,infection of the blood with ichorous or putrid substances," medicine, dated",,False,False,False,False
1031,iconograph,Noun,An engraving or other picture or illustration for a book., dated,,False,False,False,False
1039,iconographist,Noun,An iconographer., dated,,False,False,False,False
1705,idiosome,Noun,The attraction-sphere of a spermatid or of an oocyte.," biology, dated",,False,False,False,False
1706,idiosome,Noun,The indivisible element of living matter.," biology, dated",,False,False,False,False
1826,idler,Noun,Any member of a ship's crew who is not required to keep the night-watch[1]," nautical, dated",,False,False,False,False
2475,ill,Adjective,Unwise; not a good idea, dated,"George Swinnock Oh that when the devil and flesh entice the sinner to sport with and make a mock of sin, Prov. x. 23, he would but consider, it is ill jesting with edged tools, it is ill jesting with unquenchable burnings; [] 1914, Indian Ink (volume 1, page 32) They arrested everybodyand it is ill to resist a drunken Tommy with a loaded rifle!",False,False,False,False
2585,ill off,Adjective,poor or unfortunate; not well off, dated,,False,False,False,False
2589,ill turn,Noun,An act of unkindness or enmity, dated,Antonym: good turn,False,False,False,False
3288,imbecile,Adjective,"Destitute of strength, whether of body or mind; feeble; impotent; especially, mentally weak", dated,hospitals for the imbecile and insane,False,False,False,False
6513,imposing stone,Noun,The stone on which the pages or columns of type are imposed or made into forms.," printing, dated",,False,False,False,False
6535,impossible,Adjective,"imaginary impossible quantities, or imaginary numbers"," mathematics, dated",,False,False,False,False
6706,impregnate,Verb,To become pregnant," intransitive, dated",(Can we find and add a quotation of Addison to this entry?),False,False,False,False
6975,improve,Verb,To use or employ to good purpose; to turn to profitable account, dated,"to improve one's time; to improve his means (Can we date this quote?) Isaac Barrow We shall especially honour God by improving diligently the talents which God hath committed to us. (Can we date this quote?) Joseph Addison a hint that I do not remember to have seen opened and improved (Can we date this quote?) William Blackstone The court seldom fails to improve the opportunity. (Can we date this quote?) Isaac Watts How doth the little busy bee / Improve each shining hour. (Can we date this quote?) George Washington True policy, as well as good faith, in my opinion, binds us to improve the occasion.",False,False,False,False
7378,in charge,Adjective,Being in the care or custody of someone else, dated,"The suspect was given in charge and taken to the police station. 1835, Robert Smith, The Friend, page 33 I have myself seen the wife of a mohout give a baby in charge to an elephant, while she was on some business, and have been highly amused in observing the sagacity and care of the unwieldy nurse. 1873, Pennsylvania. Dept. of Public Instruction, The Pennsylvania School Journal, page 34 The average number of children in charge is about 90. One hundred and fifty could be accommodated. 1878, Wisconsin. Legislature. Joint Special Committee on the Revision of the Statutes, Report of the Joint Special Committee on the Revision of the Statutes, page 20 If the commitment be made on the petition of parents, guardian or persons having the child in charge, the judge may, in his discretion, require them to pay the whole or any part of the expense of his maintenance, according to their ability.",False,False,False,False
7528,in two shakes,Adverb,Very quickly; without delay," dated, idiomatic","1906, Edith Nesbit, The Railway Children, ch. 2, She tried to get the case open. . . . ""I wish Father was here,"" said Phyllis; ""he'd get it open in two shakes."" 1910, William MacLeod Raine, A Texas Ranger, ch. 5, I'll have coffee ready in two shakes of a cow's tail. 1922, Agatha Christie', The Secret Adversary, ch. 19, I'll be back in two shakes of a dog's tail. 1922, P. G. Wodehouse, Right Ho, Jeeves, ch. 16, In two shakes of a duck's tail Gussie, with all that lapping about inside him, will be distributing the prizes at Market Snodsbury Grammar School . 2005, Adrian Higgins, ""And All the Trimmings,"" Washington Post, 15 Dec, p. H01, Skilled sheep shearers can get the wool off a ewe in two shakes of a lamb's tail.",False,False,False,False
8095,incanescent,Adjective,Becoming hoary or grey; canescent., dated,,False,False,False,False
8123,incapable,Noun,One who is morally or mentally weak or inefficient; an imbecile; a simpleton., dated,,False,False,False,False
8159,incarceration,Noun,"strangulation, as in hernia."," surgery, dated",,False,False,False,False
8174,incarn,Verb,To heal; to cover with flesh or to become covered with flesh.," transitive, dated",,False,False,False,False
9255,incontinence,Noun,"Lack of self-restraint, an inability to control oneself; unchastity", dated,"1749, Henry Fielding, Tom Jones, Folio Society 1973, p. 119: Allworthy was sufficiently offended by this transgression of Jones; for notwithstanding the assertions of Mr Western, it is certain this worthy man had never indulged himself in any loose pleasures with women, and greatly condemned the vice of incontinence in others.",False,False,False,False
9688,incumbentess,Noun,female incumbent, dated,,False,False,False,False
10100,indeniable,Adjective,undeniable, dated,,False,False,False,False
10101,indeniably,Adverb,undeniably, dated,,False,False,False,False
10135,indent,Verb,"To make an order upon; to draw upon, as for military stores"," military, India, dated",(Can we find and add a quotation of Wilhelm to this entry?),False,False,False,False
10450,indicator diagram,Noun,pressure volume diagram, dated,,False,False,False,False
10803,indispensable,Noun,Trousers," in the plural, colloquial, dated",[from 19th c.],False,False,False,False
10984,indiwiddle,Noun,"Eye dialect spelling of individual, representing Victorian London English"," humorous, dated","1848, Charles Dickens, Hablot Knight Browne, Dombey and Son, page 601 If I hadn't been and got made a Grinder on, Miss and mother, which was a most unfortunate circumstance for a young coindiwiddle. 1887, Gilbert and Sullivan, ""My Eyes Are Fully Open"", Ruddigore My story would have made a rather interesting idyll / And I might have lived and died a very decent indiwiddle. 2012, Bernard Bastable, Too Many Notes, Mr Mozart, Pan Macmillan ISBN Below-stairs opinion of Sir John is not divided. He is a shifty indiwiddle. 2014, Charles Palliser, Quincunx, Ballantine Books ISBN, page 91 And more, for this indiwiddle didn't have no blunt at all. We had to feed ourselves and, worst of all, to buy all the building-stuff.",False,False,False,False
11279,inductive embarrassment,Noun,"The delay in signalling on an electric wire, produced by lateral induction."," physics, dated",,False,False,False,False
11302,inductorium,Noun,An induction coil., dated,,False,False,False,False
11336,indulgency,Noun,"indulgence 1897, Ernest Renan, Recollections of My Youth[1]:My amiability, which is in many cases the result of indifference; my indulgency, which is sincere enough, and is due to the fact that I see clearly how unjust men are to one another; my conscientious habits, which afford me real pleasure, and my infinite capacity for enduring ennui, attributable perhaps to my having been so well inoculated by ennui during my youth that it has never taken since, are all to be explained by the circle in which I lived, and the profound impressions which I received", dated,"1898, Murat Halstead, The Story of the Philippines and Our New Possessions,[2]:The poor Tagalo carried with him a large collection of little books written by you, which were given him by his Priest, who told him they represented so much indulgency for his next life.",False,False,False,False
11406,industrial,Noun,An employee in industry.," dated, 19th-mid 20th century",,False,False,False,False
11760,inertitude,Noun,"inertness; inertia 1842, Charles Terry, New Zealand, its advantages and prospects, as a British colony I know it was a dangerous experiment to send military amongst them in the night time, but it is equally necessary to be firm and courteous and forbearing, and if my information had been true, inertitude would have been criminal", dated,(Can we find and add a quotation of Good to this entry?),False,False,False,False
11918,inexpressibles,Noun,breeches; trousers Charles Dickens Sketches by Boz - The Out and Out Young Gentleman The Oxford Illustrated Dickens pg," colloquial, dated","596 For some years past the favorite costume of the out-and-out young gentleman has been a rough pilot coat, with two gilt hooks and eyes to the velvet collar; buttons some larger than crown-pieces.; a black or fancy neckerchief, loosely tied; a wide-brimmed hat, with a low crown; tightish inexpressibles, and iron-shod boots. (Can we find and add a quotation of Lord Lytton to this entry?)",False,False,False,False
12355,infernal machine,Noun,An explosive device designed to cause damage to life or property, dated,"[from 19th c.] 1932, Duff Cooper, Talleyrand, Folio Society 2010, p. 105: When a serious attempt was made upon Bonaparte's life by the explosion of an infernal machine, Fouch knew that the plot had been hatched and carried out by royalists []",False,False,False,False
12365,infernoes,Noun,plural of inferno, dated,,False,False,False,False
13111,information superhighway,Noun,The Internet and all other computer networks in the 1990s," dated, computing","1994 May, Gary Turbak, The Phone Phenomenon, in The Rotarian, volume 164, number 5, page 32:Developed nations also are moving at high speed toward the information superhighway being spearheaded by telephone technology. Britain, France, Germany, and other European nations are experimenting with high-tech phonery. 2011, Bryce Clayton Newell, Rethinking Reasonable Expectations of Privacy in Online Social Networks, in Richmond Journal of Law and Technology, volume 17, number 4, page 2:Internet technologies and various software platforms make it much easier to communicate and find information about others' online communication. a For many especially the younger generation the sacred precincts of private life have extended onto the information superhighway.",False,False,False,False
13675,ingeneration,Noun,generation; the creating or causing of something, dated,,False,False,False,False
14836,inn,Noun,The town residence of a nobleman or distinguished person," Britain, dated",Leicester Inn,False,False,False,False
15017,innkeeperess,Noun,A female innkeeper., dated,,False,False,False,False
15263,inopportunity,Noun,Lack of opportunity; unseasonableness; inconvenience., dated,,False,False,False,False
15575,insalivation,Noun,The mixing of food with saliva and other oral secretions while eating.," physiology, dated",,False,False,False,False
15587,insane asylum,Noun,A facility where persons with serious mental disorders are housed, dated,Synonyms: see Thesaurus:mental hospital,False,False,False,False
15726,insectivore,Noun,mammal of the now abandoned order Insectivora., dated,,False,False,False,False
