0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
disease,,,,,,,,,,,,,,,,,,908,False,,False,,False,,False,False,False,,False,False,False,False,"A disease which gives the sufferer a dry, scaly skin",True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1926, Arthur Conan Doyle, The Adventure of the Blanched Soldier, Norton 2005, p. 1506: A well-marked case of pseudo-leprosy or ichthyosis, a scale-like affection of the skin, unsightly, obstinate, but possibly curable, and certainly non-infective.",False,,ichthyosis,False,False,False
disease,,,,,,,,,,,,,,,,,,1684,False,,False,,False,,False,False,False,,False,False,False,False,Something idiopathic; a disease having no known cause,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1970, D. V. Salcedo and M. G. Mujica ""A Study of Sterilized Women in the Urban Communities of the Western Area of Santiago, 1963-1966,"" The Journal of Sex Research, vol. 6, no. 1, p. 42, The sterilization that was first conceived as a recourse of limited medical reach came to be considered as an efficient eugenical procedure that could prevent descendents with hereditary and transmissible disorders, such as mental deficiency, epilepsy, idiopathies, etc.",False,,idiopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,5166,False,,False,,False,,False,False,False,,False,False,False,False,A pharmaceutical that treats a disease via action on the immune system,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,immunotherapeutic,False,False,False
disease,,,,,,,,,,,,,,,,,,5860,False,,False,,False,,False,False,False,,False,False,False,False,"A disease that arises from colonial exploration and causes significant harm to an empire, especially the British Empire",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1931, United Empire - Volume 22, page 112:He served with distinction in both the South African War and the Great War, and during the last eight years he was Director of the London School of Hygiene and Tropical Medicine, whose concern is with Imperial diseases, as he called them, as well as the more domestic. 1933, Great Britain Colonial Office, Colonial Reports - Annual - Issues 1613-1633, page 10:More insidious than malaria in its general manifestations, ankylostomiasis did not, at first, attract public attention, and it is feared that even now the leading classes do not quite realise its social and economical importance yet, reviewing the disease in Health Problems of the Empire, the late Sir Andrew Balfour writes: "" Ankylostomiasis is perhaps the Imperial disease par excellence, for even Malaria does not, day in and day out, produce such heavy economic loss "". 2008, Barnett Singer John Langdon, Cultured Force: Makers and Defenders of the French Colonial Empire, ISBN:One should not think that the French won any final victory over ""imperial diseases"" in this era. A variety of respiratory illnesses, yellow fever, dysentery, and above all, malaria still killed regularly.",False,,imperial disease,False,False,False
disease,,,,,,,,,,,,,,,,,,5862,False,,False,,False,,False,False,False,,False,False,False,False,A communicable disease that is spread to indigenous people by conquering imperial forces,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1994, The Southern Historian - Volumes 15-16, page 158:Despite these and other strengths, however, the Iroquois became weakened throughout the seventeenth and into the early eighteenth centuries as they faced several ordeals: first came massive depopulation from imperial diseases; next, a slide into economic dependence on trade with Europeans; then ensnarement in the imperial struggles of powerful French and English colonial neighbors; finally, direct incursions on Iroquois territory and sovereignty (p. 2). 2013, Zeinab Abul-Magd, Imagined Empires: A History of Revolt in Egypt, ISBN, page 39:As Upper Egypt was now an integrated part of the empire's political and commercial system, Mamluk ships gained access to the southfacilitated by their wars on Upper Egyptian soiland they carried imperial diseases with them.",False,,imperial disease,False,False,False
skin,disease,,,,,,,,,,,,,,,,,6047,False,,False,,False,,False,False,False,,False,False,False,False,"A contagious bacterial skin disease forming pustules and yellow crusty sores, chiefly on the face and hands",True, pathology,False,False,False,False,False,False,False,False,False,,skin disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,It is common in children and infection is often through cuts or insect bites.,False,,impetigo,False,False,False
disease,or,,,,,,,,,ailment,,,,,,,,8907,False,,False,,False,,False,False,False,,False,False,False,False,"A disease or ailment without known or apparent cause, as distinguished from one induced by accident or contagion; an oncome.",True," Britain dialectal, Scotland",False,False,False,False,False,False,False,False,False,,disease or ailment,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,income,False,False,False
disease,or,,,,,,,,,disability,,,,,,,,11425,False,,False,,False,,False,False,False,,False,False,False,False,"disease or disability caused by employment, such as repetitive acts or exposure to chemicals.",True,,False,False,False,False,False,False,False,False,False,,disease or disability,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,industrial disease,False,False,False
disease,,,,,,,,,,,,,,,,,,12203,False,,False,,False,,False,False,False,,False,False,False,False,A disease of the respiratory tract of cattle caused by the species Bovine herpesvirus 1.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,infectious bovine rhinotracheitis,False,False,False
disease,,,,,,,,,,,,,,,,,,14429,False,,False,,False,,False,False,False,,False,False,False,False,"A notional disease that damages an organization, causing its employees to become frustrated, unmotivated, and/or jealously competitive.",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,injelititis,False,False,False
cat,scratch,,,,,,,,,disease,,,,,,,,15202,False,,False,,False,,False,False,False,,False,False,False,False,cat scratch disease,True,,False,False,False,False,False,False,False,False,False,,cat scratch disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,inoculation lymphoreticulosis,False,False,False
disease,or,,,,,,,,,injury,,,,,,,,17135,False,,False,,False,,False,False,False,,False,False,False,False,Something causing disease or injury to the body or bodily processes,True, medicine,False,False,False,False,False,False,False,False,False,,disease or injury,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1996, Anne Dornhorst, David R. Hadden, Diabetes and Pregnancy The exact nature of the teratological insult in diabetic pregnancy, and the cell biological details of the induced disturbances, are not known. 2006, Stephen G. Lomber, Jos J. Eggermont, Reprogramming the Cerebral Cortex (page 415) [] most investigators agreed with the characterization of early brain plasticity as a transiently available, ancillary system that is triggered by neural insult [] 2011, Terence Allen and Graham Cowling, The Cell: A Very Short Introduction, Oxford 2011, p. 96: Within the complex genome of most organisms there are alternative multiple pathways of proteins which can help the individual cell survive a variety of insults, for example radiation, toxic chemicals, heat, excessive or reduced oxygen.",False,,insult,False,False,False
disease,,,,,,,,,,,,,,,,,,20138,False,,False,,False,,False,False,False,,False,False,False,False,Any disease caused by interneuronal dysfunction,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,interneuronopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,25208,False,,False,,False,,False,False,False,,False,False,False,False,disease of the iris of the eye,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,iridopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,9155,False,,False,,False,,False,False,False,,False,False,False,False,A disease of deer caused by infection with viruses of the genus Cervidpoxvirus,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,deerpox,False,False,False
disease,or,,,,,,,,,dementia,,,,,,,,12947,False,,False,,False,,False,False,False,,False,False,False,False,"A neurodegenerative disease or dementia associated with repeated concussions, as in boxers.",True,,False,False,False,False,False,False,False,False,False,,disease or dementia,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dementia pugilistica,False,False,False
disease,,,,,,,,,,,,,,,,,,14681,False,,False,,False,,False,False,False,,False,False,False,False,A disease of the teeth resulting in damage to tooth structure,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,Synonym: tooth decay,False,,dental caries,False,False,False
disease,,,,,,,,,,,,,,,,,,15882,False,,False,,False,,False,False,False,,False,False,False,False,"A disease of the eyelids, attended with loss of the eyelashes",True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,(Can we find and add a quotation of Thomas to this entry?),False,,deplumation,False,False,False
disease,,,,,,,,,,,,,,,,,,16522,False,,False,,False,,False,False,False,,False,False,False,False,Any disease that is depurative.,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,depurative,False,False,False
skin,disease,,,,,,,,,,,,,,,,,17156,False,,False,,False,,False,False,False,,False,False,False,False,"A chronic skin disease characterised by blisters filled with watery fluid, and visually resembling herpes.",True,,False,False,False,False,False,False,False,False,False,,skin disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dermatitis herpetiformis,False,False,False
disease,,,,,,,,,,,,,,,,,,17212,False,,False,,False,,False,False,False,,False,False,False,False,"A disease of connective tissue, related to polymyositis, characterized by inflammation of the muscles and skin",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"2007 March 27, Roni Caryn Rabin, An Elusive Diagnosis, and One That Comes With a Risk of Cancer, in New York Times[1]:Melissa Leonard, 25, of Easton, Md., suffered her first symptoms of dermatomyositis at 19.",False,,dermatomyositis,False,False,False
disease,,,,,,,,,,,,,,,,,,17226,False,,False,,False,,False,False,False,,False,False,False,False,any disease of the skin,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dermatopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,17252,False,,False,,False,,False,False,False,,False,False,False,False,Any disease of the skin.,True, medicine,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dermatosis,False,False,False
disease,,,,,,,,,,,,,,,,,,17320,False,,False,,False,,False,False,False,,False,False,False,False,"disease of the skin 2015, Sujay Khandpur et al., D-penicillamine Induced Degenerative Dermopathy, in Indian Journal of Dermatology[1], volume 60, DOI:10.4103/0019-5154.160498:D-Penicillamine-induced degenerative dermopathy can manifest as a combination of manifestations of skin fragility over bony prominences and pressure areas and cutis laxa-like features, as was seen in one of our case.",True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dermopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,20872,False,,False,,False,,False,False,False,,False,False,False,False,Bornholm disease,True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,devil's grip,False,False,False
disease,,,,,,,,,,,,,,,,,,21770,False,,False,,False,,False,False,False,,False,False,False,False,"A disease characterized by excretion of large amount of severely diluted urine, which cannot be reduced when fluid intake is reduced",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"It is generally related to a tumor or insult to the pituitary gland, where the hormonal signals the pituitary gives to the kidneys break down, and the kidneys do not conserve water, but express all water as urine. This is a rather rare disease.",False,,diabetes insipidus,False,False,False
disease,bejel,,,,,,,,,,,,,,,,,23861,False,,False,,False,,False,False,False,,False,False,False,False,The disease bejel.,True,,False,False,False,False,False,False,False,False,False,,disease bejel,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dichuchwa,False,False,False
disease,,,,,,,,,,,,,,,,,,28358,False,,False,,False,,False,False,False,,False,False,False,False,"A highly infectious disease of the upper respiratory tract characterised by a sore throat, fever, and difficulty breathing, its symptoms being due to a potent toxin excreted by the infecting agent Corynebacterium diphtheriae.",True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,diphtheria,False,False,False
disease,,,,,,,,,,,,,,,,,,30902,False,,False,,False,,False,False,False,,False,False,False,False,Any disease of an intervertebral disc,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,discopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,35058,False,,False,,False,,False,False,False,,False,False,False,False,"A viral disease of animals, such as dogs and cats, characterised by fever, coughing and catarrh.",True," veterinary medicine, pathology",False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,distemper,False,False,False
eye,disease,,,,,,,,,,,,,,,,,47494,False,,False,,False,,False,False,False,,False,False,False,False,An eye disease caused by decreased tear production; short for dry eye syndrome.,True, uncountable,False,False,False,False,False,False,False,False,False,,eye disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dry eye,False,False,False
disease,,,,,,,,,,,,,,,,,,50914,False,,False,,False,,False,False,False,,False,False,False,False,A neurological disease characterised by loss of muscle strength,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dynapenia,False,False,False
disease,,,,,,,,,,,,,,,,,,51089,False,,False,,False,,False,False,False,,False,False,False,False,"A disease characterised by inflammation of the intestines, especially the colon (large intestine), accompanied by pus (white blood cells) in the feces, fever, pain in the abdomen, high volume of diarrhea, and possible blood in the feces",True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"1959, Tom Lehrer (music), In Old Mexico:We ate, we drank, and we were merry / and we got typhoid and dystentery.",False,,dysentery,False,False,False
disease,,,,,,,,,,,,,,,,,,51544,False,,False,,False,,False,False,False,,False,False,False,False,Any disease associated with dystroglycan.,True, pathology,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,dystroglycanopathy,False,False,False
disease,,,,,,,,,,,,,,,,,,204,False,,False,,False,,False,False,False,,False,False,False,False,"A fatal nervous disease affecting cattle that have browsed on the leaves or fruit of cycads, especially those of the genus Zamia, and leading to irreversible paralysis of the hind legs because of the degeneration of the spinal cord.",True,,False,False,False,False,False,False,False,False,False,,disease,False,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,zamia staggers,False,False,False
