Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,dated
9622,incubus,Noun,"An evil spirit supposed to oppress people while asleep, especially to have sex with women as they sleep", mediaeval folklore,"Antonym: succubus Hypernyms: evil spirit, spirit",False,False,False,False
8412,werebeing,Noun,"Any shapeshifting creature, such as a werewolf or werebear.", folklore,,False,False,False,False
13580,will o' the wisp,Noun,A strange light that attracts travellers from pathways into dangerous marshes or graveyards, Britain folklore,"1988, Michael Weikath, ""Keeper of the Seven Keys"", Helloween, Keeper of the Seven Keys: Part II. Will o' the wisps / Misguiding your path / You can't throw a curse / Without takin' their wrath",False,False,False,False
20953,wyakin,Noun,"In Native American folklore, a personal guardian spirit in the form of an animal or bird.", folklore,,False,False,False,False
700,baccoo,Noun,A mischievous little male spirit in Caribbean folklore., folklore,,False,False,False,False
6417,banshee,Noun,"A female spirit, usually taking the form of a woman whose mournful wailing warns of an impending death.", Irish folklore,,False,False,False,False
12060,bear walker,Noun,"An evil sorcerer, specifically one who walks by night in the form of a bear"," Native American, folklore","1901, The Wisconsin Archeologist, Charles Edward Brown, page 116 The hair ornament was worn by the Bear-Walker before and during the casting of spells. 1953, Inland Seas, Great Lakes Historical Society, page 13 He told Jim he saw a Bear-walker approaching the house then and there. 1983, Christopher Vecsey, Traditional Ojibwa Religion and its Historical Changes[1], ISBN, page 148:These bear-walkers owed their powers to their personal manito, the bear, and traveled in disguise at night, causing disease among their victims.",False,False,False,False
48134,brownie,Noun,"A mythical creature, a helpful elf who would secretly do people's housework for them", folklore,"1908, Dinah Craik, The Adventures of A Brownie. 1985, The Encyclopedia Americana, Volume 1, page 636, Stories were told of a brownie riding horseback to fetch the midwife at childbirth or helping his master to win at checkers. 2004, Justin Hocking, Jeffrey Knutson, Jared Jacang Maher (editors), Life and Limb: Skateboarders Write from the Deep End, page 37, There are no brownies in my house, though. I know because there's always a pile of dishes in the sink.",False,False,False,False
14121,hengeyokai,Noun,A legendary Japanese animal with the ability to shapeshift into human form, folklore,"1998-01-28, Lee Gold, Re: B5 Filk: You Picked A Fine Time To Leave Us Sinclair, rec.music.filk If a hengeyokai fails to concentrate (or perhaps gets distracted -- due to being beaten, seeing a mouse, fatigue), the human form's ears may get pointed or a tail may appear. 2001, Laurence C. Bush, Asian Horror Encyclopedia: Asian Horror Culture in Literature, Manga and Folklore, Writers Club Press, page 69 Hengeyokai transfer between forms almost instantly, though when in human form, they often retain some mark of characteristic of their true animal nature. 2013-10-12, Jasin Zujovic, Hengeyokai level adjustment, rec.games.frp.dnd I've been watching Inuyasha yesterday (too bad that's a German dub and I can understand almost nothing) and that got me wanting to make myself a hengeyokai character... and then I remembered the level adjustment.",False,False,False,False
11882,night hag,Noun,a demon that gives rise to sleep paralysis, folklore,,False,False,False,False
30688,churile,Noun,"The ghost of a woman who dies in childbirth, said to prowl in the darkness giving mournful cries."," Ghana, folklore",,False,False,False,False
41008,cockatrice,Noun,"A snake or serpent that appears to be hatched of a rooster, or cock's, egg"," fantasy, folklore","1611, Authorized King James Bible ""For behold, I wil end erpents, cockatrices among you, which not charmed, and they hall bite you; aith the L.""",False,False,False,False
82640,cynanthropy,Noun,A shape-shifting ability between human and canine forms.," anthropology, folklore",,False,False,False,False
2139,Bigfoot,Noun,"A very large, hairy, humanoid creature, similar to the yeti, said to live in the wilderness areas of the United States and Canada, especially the Pacific Northwest."," US, Canada, cryptozoology, folklore",,False,False,False,False
97,kabouter,Noun,"A tiny folkloric man who traditionally wears a pointy red hat, lives in harmony with nature and resides in mushrooms, similar to a gnome, leprechaun or a smurf.", Dutch folklore,,False,False,False,False
8792,kobold,Noun,"A mischievous elf or goblin, or one connected (and helpful) to a family or household", German folklore,"a. 1867, George MacDonald, The Shadows, 2000 [1980], The Golden Key and Other Stories, page 96, The king had seen all kinds of gnomes, goblins, and kobolds at his coronation; [] . 1977, James Buchanan Given, Society and Homicide in Thirteenth-Century England, 2007, page 138, Among the nonhuman creatures that peopled rural Europe in the Middle Ages the fairies, elves, dwarfs, trolls, and kobolds there were beneficent female spirits who patronized those households that treated them well. 2011, William Wirt Sikes, Varla Ventura, The Occult Powers of Goats and Other Welsh Tales of Goblins, Fairies, Gnomes, and Elves, unnumbered page, In Germany also the kobolds are rather troublesome than otherwise, to the miners, taking pleasure in frustrating their objects, and rendering their toil unfruitful.",False,False,False,False
