Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,dated
15,i-word,Noun,"Any word beginning with i that is considered (often humorously) to be taboo in the given context, such as idiot, or incest.", humorous,,False,False,False,False
2170,ignorami,Noun,plural of ignoramus," nonstandard, humorous",,False,False,False,False
3174,imaginitis,Noun,A notional disease characterised by a hyperactive imagination, humorous,"1937, Michael Terry, Sand and Sun Other dislodged stones, however, convinced us the boys had not suffered from imaginitis [] 1961, Margaret Elizabeth Mulac, Leisure: Time for Living and Retirement ""Just a case of galloping imaginitis! Would you suggest with this nonsense that we go back to peeling potatoes and cooking them over a coal stove?"" 2004, Jerome Kiely, Heat Not a Furnace (page 40) [T]wo of them look as healthy as mountain sheep, so they are suffering only from imaginitis but the third has trouble lowering herself down the steps so either she has very bad phlebitis or her womb is fallen.",False,False,False,False
8773,include me out,Verb,Do not include me; leave me out; exclude me.," nonstandard, humorous",,False,False,False,False
9960,indeedy,Adverb,"indeed Yes, indeedy!", humorous,,False,False,False,False
9961,indeedy-doody,Adverb,indeed, humorous,,False,False,False,False
14912,inner man,Noun,The stomach or appetite., humorous,,False,False,False,False
17598,intelligent falling,Noun,gravity, humorous,,False,False,False,False
20115,internets,Noun,The Internet, humorous,I can't find this word in my print dictionary; let me go look it up on the internets.,False,False,False,False
21636,intestinal fortitude,Noun,guts (courage), humorous,,False,False,False,False
25773,irregardless,Adjective,"Irrespective, regardless"," nonstandard, proscribed, sometimes humorous","[from mid 19th c.] 1875, History, in Grand Excursion to New Orleans: Reed Commandery, No. 6, Knights Templar, Stationed at Dayton, Ohio, on Board the Steamer Thomas Sherlock, Dayton, Oh.: Journal Steam Job Printing Establishment, OCLC 2845966, page 51:Dear loved ones were unceremoniously hurried off home, irregardless to any previous arrangement, where they could sit down and recount the incidents of the trip to those who had been left behind, and where they were welcomed with the hearty greeting, ""Home again."" 1898, John Murray, Part II. The Expedition from the Princes Landing to His Arrival at Derby., in Robert Fitzroy Bell, editor, Memorials of John Murray of Broughton: Sometime Secretary to Prince Charles Edward, 17401747:[] (Publications of the Scottish History Society; 27), Edinburgh: Printed at the University Press by T[homas] and A[rchibald] Constable for the Scottish History Society, OCLC 67303990, page 160:Mr. Mcg. [Rob Roy MacGregor], far from being unsusceptable of flatterry,[sic] irregardless of his own private interest, readily assented, and had a paper dictated to him to the following purpose: [] 1995 January, Marco Svolacchia; Lunella Mereu; Annarita Puglielli, Aspects of Discourse Configurationality in Somali, in Katalin . Kiss, editor, Discourse Configurational Languages (Oxford Studies in Comparative Syntax), New York, N.Y.; Oxford: Oxford University Press, ISBN, page 67:Clitic resumptive pronouns are a major feature in Somali syntax. Object resumptive pronouns corresponding to arguments must always occur (with 3rd pers. pronoun=) irregardless of the presence and position of the full coindexed object NPs [noun phrases]. 2003 December 22, John Clifford Wallace; Cynthia Holcomb Hall; Diarmuid O'Scannlain, Circuit Judges, Jonathan C. Shaw v. Cal Terhune, No. 02-16829, United States Court of Appeals, Ninth Circuit, in (Please provide the book title or journal name)[1], FindLaw, archived from the original on 6 August 2018:[T]he crime by definition allowed for the prosecution of both defendants irregardless of which defendant physically pulled the trigger. 2004, Lacey Chabert as Gretchen Wieners, Mean Girls, written by Tina Fey:Irregardless, ex-boyfriends are just off-limits to friends. I mean that's just, like, the rules of feminism. 2005, Brett St Louis, Racialization in the Zone of Ambiguity, in Karim Murji and John Solomos, editors, Racialization: Studies in Theory and Practice, Oxford: Oxford University Press, ISBN, page 38:Again following [Walter Garrison] Runciman, whether we agree with the biological race concept or not, its continued formal and informal salience confirms that competing racial understandings exist irregardless of whether they are valid truths or subjective speculations.",False,False,False,False
25832,irrelephant,Adjective,Not related to elephants; irrelevant to the consideration or discussion of elephants, humorous,"1930, Bert Kalmar, Harry Ruby, George S. Kaufman, Animal Crackers, 00:49:33-00:49:58: Captain Spaulding: One morning I shot an elephant in my pajamas. How he got in my pajamas, I don't know. Then we tried to remove the tusks. [] But they were embedded so firmly we couldn't budge them. Of course, in Alabama the Tuscaloosa, but that's entirely irrelephant to what I was talking about. 1984, Paul Dickson, Jokes: Outrageous Bits, Atrocious Puns, and Ridiculous Routines for Those Who Love Jests, Delacorte Press (1984), ISBN, page 57: It was no fluke that the best of elephant-joke books 101 Elephant Jokes was written by Robert Blake, fourteen, who ran the following warning at the beginning of his work: ""Practically no parents will think elephant jokes are funny."" But all of this is quite irrelephant; bring on the jokes. 2010 June 26, KORN Andras [username], Re: unbound 1 host tobb IP-vel, in hun.lists.mlf.linux-flame, Usenet[1]:Anything that is unrelated to elephants is irrelephant.",False,False,False,False
28306,itsy-bitsy,Adjective,Very small; minuscule," colloquial, often childish or humorous",The itsy-bitsy spider climbed up the water spout. She wore an itsy-bitsy teeny-weeny yellow polka-dot bikini.,False,False,False,False
4389,dead tree edition,Noun,Paper version of a publication that can be found in digital format," idiomatic, derogatory, humorous","2004, William R. Tracey, The Human Resources Glossary[1], page 167:dead-tree edition Derogatory cyberspeak for the paper version of a periodical.... 2011, Rachel Dresbeck, Insiders' Guide to Portland, Oregon, ISBN, page 322:The city's major daily newspaper, the Oregonian, is losing subscribers to the dead-tree edition but has a large online following.",False,False,False,False
4483,deader,Adjective,comparative form of dead: more dead; or at least more evidently dead," figuratively, humorous","He was deader than a dead dog's bone buried down a blind alley off a dead-end street in a ghost town. Man, he was dead. 1920, Edgar Rice Burroughs, Tarzan the Untamed[1]:Oldwick drew the pistol from his shirt. ""If he has made up his mind to kill me,"" he thought. ""I can't see that it will make any difference in the long run whether I infuriate him or not. The beggar can't kill me any deader in one mood than another."" 1920, Sinclair Lewis, Main Street[2]:The days of pioneering, of lassies in sunbonnets, and bears killed with axes in piney clearings, are deader now than Camelot...",False,False,False,False
4485,deader than a doornail,Adjective,Alternative form of dead as a doornail, humorous,,False,False,False,False
4489,deadest,Adjective,superlative form of dead: most dead, figurative or humorous,"1848, Charlotte Bronte, Jane Eyre[1]:What crime was this, that lived incarnate in this sequestered mansion, and could neither be expelled nor subdued by the owner? -- what mystery, that broke out now in fire and now in blood, at the deadest hours of night? 1915, Kenneth Grahame, The Golden Age[2]:Here Rosa fell flat on her back in the deadest of faints. Her limbs were rigid, her eyes glassy; what had Jerry been doing? It must have been something very bad, for her to take on like that.",False,False,False,False
4622,deadly diamond of death,Noun,The diamond problem.," object-oriented programming, humorous",,False,False,False,False
5238,death clock,Noun,"Any of various websites that attempt to calculate when a person will die, based on calculations from their personal information (date of birth, whether they smoke, etc.).", humorous,,False,False,False,False
5282,death panel,Noun,"A fictitious government committee which is responsible for choosing which of various patients will receive healthcare, and which withholds life-saving treatment from some in order to reduce costs.[1]"," US, originally in right-wing discourse, otherwise humorous",,False,False,False,False
9596,defenestration,Noun,The act of removing the Microsoft Windows operating system from a computer in order to install an alternative one," computing, humorous","1998 November 1, Dorian Bliss, Hes dead, Jim, in rec.humor.oracle.d, Usenet[1], message-ID 363DA726.C27FA5F@spamfree.land:Defenestration might be an option too. May I recommend Linux? 1999 November 6, Graham Lea, Stunned MS vows to fight on for freedom: Integrity, partnership, quality giving (takes out onion), in The Register[2], archived from the original on 19 August 2014:It's defenestration day in Redmond today. A clearly stunned Microsoft did what it could to pretend that Judge Jackson's findings of fact were ""just one step"", as [Bill] Gates put said in the prepared statement that he read at a press conference last night, but it was hopeless. 2002, John Kilburn, Palm Programming in Basic, Berkeley, Calif.: Apress, ISBN, page 392:No defenestration here. Ask questions about all aspects of Windows programming, get help on Microsoft technologies covered in Apress books, or provide feedback on any Apress Windows book. 2004 February 12, Paul Murphy, What does Linux cost?, in LinuxInsider: Linux News Information from around the World[3], archived from the original on 11 March 2016:What's needed is defenestration throwing out the Windows mindset along with Microsoft's licenses and software but that's not as simple as changing a boot CD or even migrating a whole raft of servers. What's involved is fundamental change both in how IT operates and in what it does. 2005 December 1, D. Braue; P. Gray; L. Colquhoun; J.-V. Douglas, Leaders of the pack, in MIS Asia: Managing Information Strategies[4], archived from the original on 7 October 2007:Traditionally, the verb defenestrate means to throw out of a window. But as Australian companies take their first timid steps towards installing non-proprietary software on corporate desktops, defenestration is starting to be linked to the throwing out of Windows software.",False,False,False,False
10046,deflavorizing machine,Noun,"An imaginary device which removes the flavor from something, particularly food", humorous,My granny always runs her vegetables through the deflavorizing machine before allowing us to eat them.,False,False,False,False
12389,delorted,Verb,Rare form of deleted., humorous,,False,False,False,False
16759,deratization,Noun,"Extermination of rats, especially aboard a merchant vessel.", humorous or nonstandard,,False,False,False,False
17455,derriere,Noun,"bottom, bum", chiefly humorous,,False,False,False,False
17465,derrière,Noun,"Bottom, bum, backside", humorous,"2011, ""Baby you can drive my genes"", The Economist, 30 Jul 2011: As for high-heels, they hoist the derrire and make the gait more feminine and physically attractive.",False,False,False,False
20710,developmentation,Noun,Development.," proscribed, chiefly US and humorous",,False,False,False,False
21765,diabeetus,Noun,Diabetes, humorous,"2007 October 1, Tom Anderson, Re: What are some ""good"" snacks?, in misc.fitness.weights, Usenet[1]:Carbohydrates are bad? There are weight-loss schemes that involve avoiding them, and you don't want to go crazy on sugars unless you want diabeetus, but in general, i reckon they're okay. 2010 March 8, Vitriol Trollsbane [username], Re: Anyone else notive......., in alt.online-service.webtv, Usenet[2]:Yeah, but I'm trying to decide what to do about it before all the saccharine gives me diabeetus or something. 2013, Enrique Limn, ""Best Summertime Drinks"", Santa Fe Reporter, 23 April 2013: Tell Cake we sent you, and she might be persuaded to hook you up with her signature Red Velvet Cake martini. The perfect blend between cirrhosis and the diabeetus, this is probably what Oompa-Loompas unwind with at the end of an everlasting workday. For more examples of usage of this term, see Citations:diabeetus.",False,False,False,False
25188,diffical techniculties,Noun,technical difficulties, humorous,,False,False,False,False
