Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body
447,ice plough,Noun,An instrument for cutting grooves in ice to facilitate its removal.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1164,icterometer,Noun,An instrument for gauging hyperbilirubinemia by measuring the yellowness of the skin.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
2918,illuminometer,Noun,An instrument that is used to measure the intensity of illumination,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
4018,immitanciometer,Noun,A device that measures acoustic immitance,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
4284,immunoautomate,Noun,A device that automates various immunological tasks, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
5045,immunosensor,Noun,"A device that detects the reaction of an antibody with an antigen and produces an electrical signal 2015 September 15, A Point-of-Care Immunosensor for Human Chorionic Gonadotropin in Clinical Urine Samples Using a Cuneated Polysilicon Nanogap Lab-on-Chip, in PLOS ONE[1], DOI:10.1371/journal.pone.0137891:However, developing a lab-independent electrochemical immunosensor is necessary to facilitate the replacement of current existing lab-dependent detection systems.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
6149,implantable,Noun,A device that can be implanted surgically,,"2009, Daryl S. Paulson, Applied Biomedical Microbiology: A Biofilms Approach I've had the opportunity to work on mouthwashes and astringents, catheter antimicrobial treatments, and antimicrobial treatments of other implantables and insertables.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
6303,imploder,Noun,A device used to create underwater shock waves by causing water to rush into a region of low pressure.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
6850,imprinter,Noun,A device that imprints.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
8737,inclinometer,Noun,An instrument that displays the angle of an aircraft relative to the horizon.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
8738,inclinometer,Noun,An instrument that measures magnetic dip; a dip circle.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
11295,inductometer,Noun,An instrument for measuring the degree or rate of electrical induction.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
11550,inebriometer,Noun,A device that measures the response of an organism to the effects of alcohol,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
12092,infantometer,Noun,An instrument for measuring the size of young children,,"2015 July 21, Determinants of Weight Gain during the First Two Years of LifeThe GECKO Drenthe Birth Cohort, in PLOS ONE[1], DOI:10.1371/journal.pone.0133326:Length was assessed using an infantometer to the nearest 0.1 cm.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
12527,infiltrometer,Noun,A device that is used to measure the infiltration of water into soil, soil science,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
12612,infinity box,Noun,"A device used in phreaking that can be activated remotely, typically for the purpose of eavesdropping on telephone calls.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
13592,infuser,Noun,A device used for preparing infusions,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
14525,ink eraser,Noun,"An instrument used to remove ink from a writing surface, either (traditionally) a metal scraper or (more recently) a special pen dispensing a chemical that eradicates ink.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
15207,inoculator,Noun,A device used for inoculating.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
15736,insectocutor,Noun,A device used to attract insects and kill them with electricity.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
16415,inspirometer,Noun,"An instrument for measuring the force, frequency, or volume of the inspirations in breathing.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
