Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter
86,ianthinite,Noun,"An orthorhombic-pyramidal mineral containing hydrogen, oxygen, and uranium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
776,ichnusaite,Noun,A radioactive thorium molybdate mineral found on Sardinia, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1105,icosahedrite,Noun,"A mineral, Al63Cu24Fe13, that represents the only known natural occurrence of quasicrystals.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1203,idaite,Noun,"A hexagonal-dihexagonal dipyramidal mineral containing copper, iron, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1215,iddingsite,Noun,A mixture of clay minerals and iron oxides formed by alteration of olivine, mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1668,idiomorph,Noun,Any idiomorphous mineral., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
1947,idrialite,Noun,"A soft, orthorhombic hydrocarbon mineral, usually greenish-yellow to light brown in colour with bluish fluorescence.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2297,ikaite,Noun,"A saline evaporite, consisting of hydrated calcium carbonate with the chemical formula CaCO36H2O, found in cold marine waters.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2321,ikranite,Noun,"A trigonal-ditrigonal pyramidal brownish yellow mineral containing calcium, cerium, chlorine, fluorine, hafnium, hydrogen, iron, lanthanum, manganese, neodymium, niobium, oxygen, potassium, silicon, sodium, strontium, titanium, and zirconium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2324,ikunolite,Noun,"A trigonal-hexagonal scalenohedral lead gray mineral containing bismuth, selenium, and sulfur.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2400,ilesite,Noun,"A monoclinic-prismatic mineral containing hydrogen, iron, manganese, oxygen, sulfur, and zinc.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2428,ilinskite,Noun,"An orthorhombic-dipyramidal emerald green mineral containing chlorine, copper, oxygen, selenium, and sodium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
2788,illite,Noun,A micaceous phyllosilicate clay mineral with aggregates of grey or white monoclinic crystals., mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
3010,ilmajokite,Noun,"A monoclinic mineral containing barium, cerium, hydrogen, lanthanum, oxygen, silicon, sodium, and titanium.", mineralogy,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,True
