Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,measure
2112,ignitability,Noun,A measure of the extent to which something is ignitable., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
3999,immiscibility,Noun,A measure of the degree to which a mixture of components is immiscible., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4229,immunoabsorbance,Noun,A measure of immunoabsorption, immunology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
4989,immunoreactivity,Noun,A measure of the immune reaction caused by an antigen.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
5634,impedance,Noun,"A measure of the opposition to the flow of an alternating current in a circuit; the aggregation of its resistance, and inductive and capacitive reactances; the ratio of voltage to current treated as complex quantities.", physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
5636,impedance,Noun,"a measure of the opposition caused by differences between two paradigms, especially between object-oriented development and relational databases 1997, Bhavani M"," by analogy, software engineering, usually with mismatch","Thuraisingham, Data Management Systems: Evolution and Interoperation ISBN, CRC Press, page 33: Some argue that having impedance mismatch is difficult for programming intensive applications. 2002, Jim Melton, Advanced SQL:1999: Understanding Object-Relational and Other Advanced Features ISBN, Morgan Kaufmann, page 353: But the impedance mismatch between SQL and Java was no better than between SQL and other languages. 2004, Scott W. Ambler, The Object Primer: Agile Model-Driven Development with UML 2.0 ISBN, Cambridge University Press, page 442: Why does a technological impedance mismatch exist?",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
8276,incendivity,Noun,A measure of the extent to which something is incendive, countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
8528,incidence,Noun,"A measure of the risk of a person developing a new condition within a specified period of time, usually a year.", epidemiology,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10141,indentation,Noun,A measure of the distance from the flush line an indentation of one em,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
11292,inductivity,Noun,A measure of the capacity for magnetic inductance., physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
11730,inertance,Noun,A measure of the inertia to flow of a fluid, physics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
