Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,dated
404,ice giant,Noun,An instance of a type of giants associated with coldness and iciness, Norse mythology,"1832, Francis Lieber, Edward Wigglesworth, and Thomas Gamaliel Bradford, editor, Encyclopdia Americana; A Popular Dictionary of Arts, Sciences, Literature, History, Politics, and Biography[1], volume 9, Philadelphia: Carey and Lea, page 317:The drops became living by the power of him who had sent the wind; and from them sprang Ymir, the ice-giant. 1879, The Deluge: Its Tradition in Ancient Nations, in The Contemporary Review, volume 36, London: Strahan and Company Limited, translation of Le dluge et l'pope babylonnienne by Franois Lenormant, page 484:The three sons of Borr, Othin, Wili, and We, grandsons of Buri, the first man, slay Ymir, the father of the Hrimthursar or Ice giants, and his body serves them for the construction of the world.",False,False,False,False
418,ice maiden,Noun,A woman who comes from a frozen climate.," mythology, fantasy",,False,False,False,False
4125,immortality,Noun,The condition of being immortal," religion, mythology, biology","Never dying In Greek mythology, Tithonus was granted immortality but not eternal youth. Being remembered forever 2018 May 4, Tom English, Steven Gerrard: A 'seriously clever or recklessly stupid' Rangers appointment, in BBC Sport[1]:You have to salute Gerrard's bravery in accepting the challenge of trying to turn Rangers around given that he has zero experience in senior management. Immortality beckons if he does it.",False,False,False,False
730,daimonic,Noun,The journey and transition from innocence to experience; part of the process of individuation.," psychology, spirituality, mythology, literature",,False,False,False,False
731,daimonic,Noun,The place where light and dark meet.," mythology, literature",,False,False,False,False
2091,dark elf,Noun,"A member of the race of Dkklfar, creatures who live underground.", Norse mythology,,False,False,False,False
13148,demihuman,Noun,"A human-like race or a member thereof; in fantasy, sometimes distinguished from the more bestial humanoid races"," fantasy, mythology","1986, BBC Wildlife, volume 4-5, page 393:No wonder Columbus was dubious. Though perfectly charming, in a Droopy-esque way. it would take a lot of imagination (or desperation) to convert this into a demihuman sex siren. 1991, Roger E. Moore, Dragon Magazine, TSR, ISBN:Halflings look upon other demihuman and humanoid races as stock for the stew pot. 1995, David Zeb Cook, Jean Rabe, Warren Spector, Steven E. Schend, Dungeon master guide for the ADD game, TSR:In the ADD game, humans are more motivated by ambition and the desire for power than the demihuman races are. Thus, humans advance further and more quickly. Demihumans can attain significant levels in certain classes, but they do not... 1995, Isla: A Journal of Micronesian Studies:In one version we learn that the people who built Nan Madol settled at the site because they were ""constantly afraid of the people of the center of Pohnpei,"" both the various demihuman, cannibalistic creatures and ""real people"" who resided... 2002, Gary Westfahl, George Edgar Slusser, No Cure for the Future: Disease and Medicine in Science Fiction and Fantasy, ISBN:... fact from the moment he first lays eyes on the demihuman M'ling, before he has any notion of Moreau or his surgical feats. ""I had never beheld such a repulsive and extraordinary face before, and yet if the contradiction is credible I... 2009, S. K. Robisch, Wolves and the Wolf Myth in American Literature, University of Nevada Press, ISBN, page 207:We can watch this happen, on page and screen, in werewolves. We can safely say that the werewolf is a widespread figure, not exclusive to European mythology. But it is also not a generic manifestation of the global demihuman. 2009, Brian Stableford, The Return of the Djinn and Other Black Melodramas, Wildside Press LLC, ISBN, page 89:features of a thousand faces upon that awful head: human faces, demihuman, reptilian, serpentine, batrachian, vulpine. [] and many others for which I have no ready descriptive terms. 2010, Marc Mattaliano, The Demihuman Archives, Xlibris Corporation, ISBN, page 120:Demihumans, like . . . yourself . . . the vampires . . . orcs, dwarves, trolls, demons, pixies, all of them have a stake in the fate of humanity . . .",False,False,False,False
21645,dhampir,Noun,"A half-human, half-vampire hybrid."," mythology, fiction",,False,False,False,False
36948,diwata,Noun,"In Filipino folklore, a spirit, usually a lesser god or goddess, believed to guard natural features such as forests."," mythology, folklore",,False,False,False,False
38486,doghead,Noun,A mythical creature with a human body and a dog's head., mythology,,False,False,False,False
