Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,dated
2158,ignominity,Noun,Alternative form of ignominy, nonstandard,,False,False,False,False
2162,ignomously,Adverb,Ignominiously; in a shameful or disgraceful manner," uncommon, nonstandard","2007, Norman Shabel, The Badger Game[1], page 148:I smiled ignomously and said with an embarrassed voice, Im sorry, Laura. To be honest, thats all the French I know. It was meant to impress you. 2017, Colleen Marie Skidmore, Searching for Mary Schffer: Women Wilderness Photography[2], quoting Molly Adamss letter to Dear Ones at Home, 19-31 December 1908, page 27:Adams wrote that M. and I were ignomously (sic) picked up and dumped on too, as h.m.s. Chaba drew too much water to be brought quite up to shore, or even near enough for a long jump.",False,False,False,False
2183,ignoranter,Adjective,comparative form of ignorant: more ignorant, nonstandard,,False,False,False,False
2184,ignorantest,Adjective,"superlative form of ignorant: most ignorant 1884: Mark Twain, The Adventures of Huckleberry Finn, Chapter IX ...and all over the walls was the ignorantest kind of words and pictures made with charcoal", nonstandard,,False,False,False,False
3441,imbreed,Verb,Alternative form of inbreed, nonstandard,,False,False,False,False
5495,imparticular,Adverb,in particular," nonstandard, proscribed",,False,False,False,False
6691,impredictable,Adjective,Unpredictable., nonstandard,,False,False,False,False
6970,improval,Noun,"improvement 2012, R", nonstandard,"van Schilfgaarde, Clinical Aspects of Renovascular Hypertension, page 198:This did obviously not influence the clinical course of post-transplant hypertension, since the portion of nephrectomized patients was of comparable magnitude in the group of patients showing spontaneous improval of their hypertension []",False,False,False,False
7557,inacceptable,Adjective,Unacceptable.," proscribed, nonstandard",,False,False,False,False
7842,inasfar,Adverb,Insofar., nonstandard,,False,False,False,False
8020,inbreeded,Verb,Alternative form of inbred., nonstandard,,False,False,False,False
8356,inception flashback,Noun,"In a narrative, especially a motion picture or television storyline, a flashback that takes place within a flashback", possibly nonstandard,"2012 June 28, ""Flashback Within a Flashback,"" tvtropes.org (retrieved 4 Nov 2018): Also known as ""Inception Flashback"", a flashback within a flashback occurs when a character recounts an event in which he/she also flashbacks into an even earlier event within the flashback. 2014 January 18, ""The Man Who Shot Liberty Valance,"" alchetron.com (retrieved 4 Nov 2018): The story flashes back 25 years. [] Doniphon takes him aside and, in an inception flashback, confides that he, Doniphon, actually killed Valance from an alley across the street, firing at the same time as Stoddard. 2017 December 25, Melody Bertrile, ""When making a story, what are some dos and donts when it comes to writing flashbacks?,"" quora.com (retrieved 4 Nov 2018): Dont try to do an Inception flashback. One flashback inside another. I have seen so many people try to do it, and it never works.",False,False,False,False
8408,incestism,Noun,"incest 1997, Leper Messiah, Re: Adam + Eve=Incest committed by their children Group: talk.religion.misc So are you admitting God instructed Adam and Eve's children to engage in incest? Directed them on the path to ""incestism""? Is such a God worthy of worship? 2001, Shiva Dubey, Kumbh City Prayag - Page 127 In 1960-64, the Leader's editor late Rameshwar Nath Jutshi did not allow the use of word 'rape' to appear in it", nonstandard,"Stories relating to incestism ones were strictly forbidden during his time. 2006, psycho hatchet, Re: Your Majesty, the peasants Group: soc.penpals [] is that a redneck symbol? or a gesture of incestism? I dunno, ask Blaze though. If he is your Hero.",False,False,False,False
8476,inched,Adjective,Being a certain number of inches in length.," nonstandard, in combination",,False,False,False,False
10240,indepthly,Adverb,In depth, nonstandard,"1994, Steve Bosak, South Side Stories He looks at me, fully, indepthly! He's never done it before, but he does it now. He smells the gin on my breath, and he knows me; he knows I understand. 2002, Frances M. Klug, Stories from Heaven It has the ability to concentrate indepthly on many subjects [] 2008, Roger Lee, Computer and Information Science In the fourth section, SOR Architecture is analyzed indepthly, showing its modules and explaining how it enhances the existing OSGi Service Registry []",False,False,False,False
11087,indominable,Adjective,That cannot be dominated., nonstandard,,False,False,False,False
12711,inflammated,Adjective,Inflamed., nonstandard,,False,False,False,False
13699,ingenuitive,Adjective,Possessing ingenuity; ingenious, nonstandard,"1999 April 28, Eugene Chiaramonte, The Auxer Group, Inc. Announces the Acquisition of Hardyston Distributors, Business Wire, Business Wire Newswire ""Hardyston Distributors is a solid small but growing company. Mr. Ernest DeSaye Jr. is an enthusiastic and ingenuitive individual who has worked extremely hard in developing a nice niche in the marketplace...."" 2003 June 1, Ben Connor, Good Buddha tzu: ""middle-class wiggers from the underside"". (Peer Reviewed Paper), Youth Studies Australia, Australian Clearing House for Youth Studies First, hip hop originated in the ghettos as a cheap and ingenuitive means of entertainment: it was the instrumental side of a record...with a guy on a microphone talking to the crowd. 2003 August, Sue Roaf, Ecohouse 2, page 377, Architectural Press The local building restrictions, and existing site conditions, ...are not available to allow for ingenuitive or passive design features 2004 November, Cristian Macavei, A Series of Robbing Thieves, page 180, Virtualbookworm Publishing The ingenuitive men soon found a large archway leading to the outside of the cave. 2006 February, Charlotte Perkins Gilman, The Yellow Wall-paper, page 111, Ohio University Press Not to be overly ingenuitive, but him is exactly, verbally equidistant between baby and John 2015, Lin Manuel Miranda, Hamilton, Act I, Guns and Ships 'Cause he knows what to do in the trench, ingenuitive, and fluent in French,'",False,False,False,False
14357,initiatively,Adverb,"On one's own initiative; without being prompted 2015 September 12, Graph Theoretical Analysis of BOLD Functional Connectivity during Human Sleep without EEG Monitoring, in PLOS ONE[1], DOI:10.1371/journal.pone.0137297:During the scanning process, subjects were asked to lie still with eyes open and not think initiatively.", nonstandard,,False,False,False,False
14717,inlayed,Verb,simple past tense and past participle of inlay, nonstandard,,False,False,False,False
15052,innocenter,Adjective,comparative form of innocent: more innocent, nonstandard,,False,False,False,False
16042,insidious,Adjective,Treacherous, nonstandard,"1858, Phineas Camp Headley, The life of the Empress Josephine: first wife of Napoleon But with whom do you contract that alliance? With the natural enemy of France that insidious house of Austria which detests our country from feeling, system, and necessity. 1912, Ralph Straus, The prison without a wall Believe me, he shouted, these insidious folk talk dangerous nonsense. I hear they are spouting out their ridiculous platitudes not five miles from this park in which we are standing The battle was lost due to the actions of insidious defectors.",False,False,False,False
16984,insubstantive,Adjective,Not substantive (in any sense), nonstandard,,False,False,False,False
16985,insubstantive,Adjective,Unable to be substantiated; unfounded, nonstandard,,False,False,False,False
17611,intelligentness,Noun,The quality of being intelligent; intelligence., nonstandard,,False,False,False,False
17802,intentional walk,Verb,To intentionally walk; to give a batter an intentional walk.," baseball, nonstandard",,False,False,False,False
18534,intercourse,Verb,To have sexual intercourse.," nonstandard, intransitive",,False,False,False,False
19001,interfirst,Adjective,Between the members of the first pair of specified things (such as premolars or molars), nonstandard,"2015, Marcio Rodrigues de Almeida et al., Dentoalveolar mandibular changes with self-ligating versus conventional bracket systems: A CBCT and dental cast study, in Dental Press Journal of Orthodontics[1], volume 20, DOI:10.1590/2176-9451.20.3.050-057.oar:Further corroborating these findings, Vajaria el al 11 also found expansion in interfirst premolar distances.",False,False,False,False
20871,intersecond,Adjective,Between the members of the second pair of specified things (such as premolars or molars), nonstandard,"2015, Marcio Rodrigues de Almeida et al., Dentoalveolar mandibular changes with self-ligating versus conventional bracket systems: A CBCT and dental cast study, in Dental Press Journal of Orthodontics[1], volume 20, DOI:10.1590/2176-9451.20.3.050-057.oar:As for intersecond premolar distances, there was an increase of 2.10 mm for SLB and 1.75 mm for CLB; however, this increase was similar for both groups.",False,False,False,False
20943,intersex,Verb,To make intersex, nonstandard,"2013, Patrick Colm Hogan, Ulysses and the Poetics of Cognition (ISBN), page 176: The point is significant in light of current political issues surrounding real intersexed individuals. [...] It is clearly the case that physical intersexing and psychological androgyny do not conform to sex and gender norms in society. [...] Synonym: intersexualize",False,False,False,False
23179,introducted,Verb,"simple past tense and past participle of introduce (by confusion with ""introduction"")"," nonstandard, proscribed",,False,False,False,False
23795,inventorize,Verb,To make an inventory of.," transitive, nonstandard",,False,False,False,False
23948,inverted hat,Noun,A hek, nonstandard,"1982, Paul Kiparsky, Explanation in Phonology, page 124 In Russian the dentals t, d, s and the velars k, g, x become palatalized to , , [] . (The inverted hat (haek) represents palatalization.) 1995 April 30th, Ron Meisenheimer, comp.soft-sys.sas, ASCII chars and SAS titles, message 1 Im using PC SAS and would like to get the symbol for infinity in the title of my output. [] When I [hold down the Alt key and enter 236] with SAS, it shows up correctly onscreen; but when its printed out, I get an s with an inverted hat over it. 2002 November 5th, Richard Proctor, perl.perl6.language, Re: Unicode operators [Was: Re: UTF-8 and Unicode FAQ, demos], message 73 The Gullimots [under latin-1] become T and t with inverted hats under Latin-2, oe and G with an inverted hat under Latin-3.",False,False,False,False
23949,inverted hat,Noun,"= breve 1997 October 1st, Ian James Abbott, uk.media.animation.anime, EVA, message 26 evangelical (-nj-) [] Thea has an inverted hat again; the e and i in geli have inverted hats, making them short", nonstandard,"2002 November 5th, Richard Proctor, perl.perl6.language, Re: Unicode operators [Was: Re: UTF-8 and Unicode FAQ, demos], message 73 The Gullimots [under latin-1] become T and t with inverted hats under Latin-2, oe and G with an inverted hat under Latin-3. 2011 November 8th, Robert Bonomi, mailing.freebsd.questions, Unprintable 8-bit characters, message 13 Now, one (obviously) has to have the basic Roman alphabet. [] Then there are all the diacritical markings (accent, accent grave, dot umlaut, ring, bar, hat, inverted hat, etc.) for vowels.",False,False,False,False
