Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process
559,iceboating,Noun,The act of travelling in a iceboat.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
915,ichthyotherapy,Noun,"The use of fish for therapeutic treatment, especially for cleaning wounds.", alternative medicine,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
950,icing,Noun,The process of forming a layer of ice on a surface.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1283,idealization,Noun,The act or process of idealizing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1387,identification,Noun,"The act of identifying, or proving to be the same",,Much education and experience is required for proper identification of bird species,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1423,identifying,Noun,An act of identification,,"2012, R. R. Cox, Schutzs Theory of Relevance: A Phenomenological Critique (page 49) There are not only these identifyings going on, but also there are distinguishings. For just as in the example above there are identifications of the various extents, there are distinguishings of these extents.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1499,ideography,Noun,The use of ideograms; logography.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1522,ideologization,Noun,The process of ideologizing; conversion into an ideology.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1657,idiomatization,Noun,"The process of making a term idiomatic 2007 August 15, WayneA.Davis, Replies to Green, Szab, Jeshion, and Siebel, in Philosophical Studies, volume 137, number 3, DOI:10.1007/s11098-007-9128-6:On the other hand, the only processes that could directly give a sentence new meanings (idiomatization, stipulation) would not give its components new meanings.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
1900,idolization,Noun,"The act of idolizing, adoring or worshiping, especially to excess.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2127,ignition,Noun,The act of igniting.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2220,ignorization,Noun,The act of ignorizing, nonce word,"1989, Andrew T. Scull, Social Order/mental Disorder: Anglo-American Psychiatry in Historical Perspective: [] (in the words of one eminent psychiatrist, ""'laymanization' was synonymous with 'ignorization'). 1994, Hanna Scolnicov, Woman's Theatrical Space, page 73:Now that Agnes is seventeen and her education, or ignorization, has been concluded to his satisfaction, Arnolphe intends to wed her. 2005 Autumn, Yamila Hussein, The Stone and the Pen: Palestinian Education During the 1987 intifada, in The Radical Teacher, volume 74:As Palestinians saw it, at issue was a policy of ignorization which aimed at destroying their cultures academic capacities.",False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2293,ijtihad,Noun,The process of Muslim jurists making a legal decision by independent interpretation of the Qur'an and the Sunna., Islam,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
2609,illaqueation,Noun,The process of pulling away an inverted eyelash by passing a loop of thread behind it.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,True
