Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria
311,ice bucket challenge,Noun,"An activity in which a person empties a bucket of ice and water over their head, typically in order to raise money for a good cause",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,activity,
489,ice skating,Noun,"The act, or the sport, of skating on ice.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"act , or",
577,icebreaker,Noun,"A game, activity, humorous anecdote, etc., designed to relax a group of people to help them get to know each other",,"The new college hallmates were awkward with each other at first, but after a game of charades as an icebreaker, they were laughing like old friends.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"game , activity",
723,ichnoactivity,Noun,ichnological activity,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,activity,
983,icon,Noun,"A word, character, or sign whose form reflects and is determined by the referent; onomatopoeic words are necessarily all icons", linguistics,See also symbol and index.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"word , character , or sign",
992,iconification,Noun,"The act, process or result of iconifying.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"act , process or result",
1006,iconization,Noun,"The act, process or result of iconizing.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"act , process or result",
1140,icotinib,Noun,"The epidermal growth factor receptor tyrosine kinase inhibitor N-(3-ethynylphenyl)-7,8,10,11,13,14-hexahydro-[1,4,7,10]tetraoxacyclododecino[2,3-g]quinazolin-4-amine 2015 April 22, Yan Wang, Yan Sun, Clinical experiences with molecular targeted therapy in lung cancer in China, in Thoracic Cancer[1], volume 6, DOI:10.1111/1759-7714.12243:Clinical studies on the RD of new drugs, represented by icotinib and endostatin, also suggest a bright future in China of the development of clinical oncology and the further improvement of the cure rate in patients with advanced NSCLC.", organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,growth factor receptor tyrosine kinase inhibitor,
1269,idealism,Noun,The practice or habit of giving or attributing ideal form or character to things; treatment of things in art or literature according to ideal standards or patterns;opposed to realism.[1],,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,practice or habit,
1283,idealization,Noun,The act or process of idealizing.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,act or process,
