Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar
3756,immanence,Noun,The concept of the presence of deity in and throughout the real world; the idea that God is everywhere and in everything," philosophy, metaphysics, theology",Contrast transcendence.,False,False,False,False
3762,immanent,Adjective,"Existing within and throughout the mind and the world; dwelling within and throughout all things, all time, etc"," philosophy, metaphysics, theology, of a deity",Compare transcendent.,False,False,False,False
3771,immanentism,Noun,"A doctrine based on immanence, especially the immanence of God"," philosophy, theology","[from 20th c.] 1997, Roy Porter, The Greatest Benefit to Mankind, Folio Society 2016, p. 126: While some, like the early Church Fathers, still viewed it as the prison of the spirit, new emphasis came to be placed on the soul's incarceration in the flesh, the doctrine of immanentism.",False,False,False,False
3932,immersionism,Noun,The doctrine that immersion is an essential part of Christian baptism., theology,,False,False,False,False
3934,immersionist,Noun,One who holds the doctrine that immersion is an essential part of Christian baptism., theology,,False,False,False,False
5516,impassible,Adjective,"Unable to suffer, or feel pain.", chiefly theology,,False,False,False,False
7204,imputation,Noun,A setting of something to the account of; the attribution of personal guilt or personal righteousness of another the imputation of the sin of Adam the imputation of the righteousness of Christ, theology,,False,False,False,False
7210,impute,Verb,To ascribe (sin or righteousness) to someone by substitution," transitive, theology","2009, Diarmaid MacCulloch, A History of Christianity, Penguin (2010), page 607: To use the technical language of theologians, God through his grace imputes the merits of the crucified and risen Christ to a fallen human being who remains without inherent merit, and who without this imputation would not be made righteous at all.",False,False,False,False
13354,infralapsarianism,Noun,"A doctrine held by certain Calvinists holding that, while the fall of man was inevitable, the identities of the elect and the reprobate were not known until after the fall.", theology,,False,False,False,False
24156,invincible ignorance,Noun,"Ignorance beyond the individual's control and for which, therefore, he/she is not responsible before God.", theology,,False,False,False,False
25087,irenic,Adjective,"Promoting or fitted to promote peace; conciliatory, non-confrontational; peaceful"," chiefly theology, in extended usage","2001, Hywel Williams, The Guardian, 30 Nov 2001: The idea that the Jews of the region are not genetically distinct from other peoples of the area should be an irenic insight. 2002, Colin Jones, The Great Nation, Penguin 2003, p. 199: The philosophes contrasted their own irenic calls for tolerance with the church's historical record as the perennial source of cruelty and fanaticism. 2011, Steven Pinker, The Better Angels of Our Nature, Penguin 2012, p. 343: The current comity between the United States and China [] is a recent reminder of the irenic effects of trade.",False,False,False,False
25930,irresistible grace,Noun,"A Christian doctrine, one of the five points of Calvinism, stating that the salvific benefit Jesus Christ's substitutionary atonement on the cross is extended to those predestined unto salvation, without any possibility of Satan or sin successfully defeating God's election.", theology,,False,False,False,False
26159,isagogic,Adjective,introductory, chiefly theology,,False,False,False,False
