Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term
20,i.p.i.,Adverb,Abbreviation of in partibus infidelium (in the regions of unbelievers).,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,in partibus infidelium (in the regions of unbelievers).
21,i18n,Noun,Abbreviation of internationalization, software engineering,"2002, David LeBlanc, Michael Howard, Writing Secure Code, Pearson Education (ISBN), page 440: Don't convert between Unicode and other code pages/character sets. If you follow these two rules, you'll run into few I18N-related security issues; in fact, you can jump to the next chapter if these two rules hold true for your application! 2008, Philipp Weitershausen, Web Component Development with Zope 3, Springer Science Business Media (ISBN), page 145: After our tour through the translation components we can now make our Python code i18n-aware. A typical task is identifying all the places where a (Unicode) string needs to be turned into an i18n message or where the appropriate TAL [] 2015, Chandermani, AngularJS by Example, Packt Publishing Ltd (ISBN), page 389: AngularJS comes with support for I18n and L10n for date, number, and currency. No surprises here!",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,internationalization
31,iPS,Adjective,Abbreviation of induced pluripotent stem., biology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,induced pluripotent stem.
134,ib.,Adverb,Abbreviation of ibidem., bibliography,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,ibidem.
1197,id.,Adjective,Abbreviation of idem., bibliography,Used in citations to state that the citation is found in the same work as the one previously cited.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,idem.
1198,id.,Noun,Abbreviation of identifier., computing,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,identifier.
1199,id.,Noun,Abbreviation of identification.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,identification.
2926,illus.,Noun,Abbreviation of illustration., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,illustration.
2955,illust,Noun,Abbreviation of illustration.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,illustration.
5269,imp.,Adjective,Abbreviation of imperative; also imper," grammar, not comparable","not, sg. imp. form of not, I mark",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperative; also imper
5270,imp.,Adjective,"Abbreviation of imperfect;[1] also imperf., impf., impft"," grammar, not comparable","sate, obs. imp. form of to sit",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"imperfect;[1] also imperf., impf., impft"
5271,imp.,Adjective,Abbreviation of imperial; compare Imp, not comparable,1 metric kg 22 imp.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperial; compare imp
5272,imp.,Adjective,Abbreviation of impersonal; also impers," grammar, not comparable","rain: in imp. constr., Its raining.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,impersonal; also impers
5273,imp.,Adjective,Abbreviation of important; also impt, comparable,V. imp. remember!,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,important; also impt
5274,imp.,Adjective,Abbreviation of imported; also imptd, not comparable,imp.dom. ratio is now ~3:1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imported; also imptd
5275,imp.,Adjective,Abbreviation of improved, comparable,"New 2.16, much imp. on v.2.1.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,improved
5276,imp.,Noun,Abbreviation of import, uncountable,week 31 imp. gross: $206M,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,import
5277,imp.,Noun,Abbreviation of importer; also imptr," countable, plural: imps.",USA now top imp. of goods,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,importer; also imptr
5278,imp.,Noun,Abbreviation of impression," countable, plural: imp.","2nd ed., 11 th imp., 1907",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,impression
5279,imp.,Noun,Abbreviation of imprimatur," countable, plural: impp.",imp. non obst.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imprimatur
5280,imp.,Noun,Abbreviation of imprint," countable, plural: imp.",Inc. imp. on 3rd flyl.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imprint
5281,imp.,Noun,Abbreviation of improvement," countable, plural: imps.",forecast sce. shows much imp.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,improvement
5282,imp.,Verb,Abbreviation of implement,,Imp. new tech at 19:00.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,implement
5739,imper.,Noun,Abbreviation of imperative., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperative.
5790,imperf,Adjective,Abbreviation of imperfect., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperfect.
5791,imperf,Adjective,Abbreviation of imperforate., philately,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperforate.
6077,impf,Adjective,Abbreviation of imperfect., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperfect.
6078,impf,Adjective,Abbreviation of imperfective., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,imperfective.
7234,in,Adverb,Abbreviation of in aid of, Britain,What's that in?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,in aid of
7344,inHg,Noun,"Abbreviation of inch of mercury, a unit of pressure equal to the amount of fluid pressure one inch deep in mercury at the standard acceleration due to gravity.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"inch of mercury, a unit of pressure equal to the amount of fluid pressure one inch deep in mercury at the standard acceleration due to gravity."
7382,in d.,Adverb,[1] Abbreviation of in dies.[1], medicine,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,in dies.[1]
8054,inc.,Adjective,Abbreviation of incorporated (type of business),,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,incorporated (type of business)
8677,incl.,Verb,Abbreviation of including.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,including.
9799,ind.,Adjective,Abbreviation of independent.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,independent.
9800,ind.,Adjective,Abbreviation of indicative.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indicative.
9801,ind.,Adjective,Abbreviation of indigenous.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indigenous.
9802,ind.,Adjective,Abbreviation of indirect.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indirect.
9803,ind.,Adjective,Abbreviation of industrial.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,industrial.
9804,ind.,Adverb,Abbreviation of indirectly.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indirectly.
9805,ind.,Noun,Abbreviation of independence.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,independence.
9806,ind.,Noun,Abbreviation of index.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,index.
9807,ind.,Noun,Abbreviation of indication.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indication.
9808,ind.,Noun,Abbreviation of indigo.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indigo.
9809,ind.,Noun,Abbreviation of industry.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,industry.
9810,ind.,Verb,Abbreviation of indicate.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indicate.
9941,indecl.,Adjective,Abbreviation of indeclinable., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indeclinable.
9962,indef,Adjective,Abbreviation of indefinite.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indefinite.
10268,indet.,Adjective,Abbreviation of indeterminate., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,indeterminate.
11955,inf.,Adjective,Abbreviation of inferior.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,inferior.
11956,inf.,Adjective,Abbreviation of informal., lexicography,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,informal.
11957,inf.,Noun,Abbreviation of infinitive., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,infinitive.
14266,init,Noun,Abbreviation of initialisation, computing,After the sixth successive system init he had to concede that the database was corrupt.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,initialisation
14267,init,Verb,Abbreviation of initialize, computing,It actually only requires a few bytes to be zeroised to init the drive.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,initialize
15571,ins.,Noun,Abbreviation of insurance.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,insurance.
17280,int'l,Adjective,Abbreviation of international.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,international.
17282,int.,Adjective,Abbreviation of interior.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,interior.
17283,int.,Adjective,Abbreviation of internal.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,internal.
19297,interj,Noun,Abbreviation of interjection.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,interjection.
21789,intj,Noun,Abbreviation of interjection, grammar,"1810, John Walker, A critical pronouncing dictionary, and expositor of the English language Welcome ... a. received with gladness, pleasingintj. used to a new comerv. a. to receive with kindness 2007, Phan Vn Ging, Tuttle Compact Vietnamese Dictionary (page 3) i chi intj: Well, well!",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,interjection
21790,intl.,Adjective,Abbreviation of international.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,international.
21791,intl.,Adverb,Abbreviation of internationally.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,internationally.
21907,intr,Adjective,Abbreviation of intransitive., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,intransitive.
22543,intrans.,Adjective,Abbreviation of intransitive., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,intransitive.
23155,intro.,Noun,Abbreviation of introduction., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,introduction.
23552,inv,Noun,Abbreviation of invoice.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,invoice.
24965,ipRGC,Noun,Abbreviation of intrinsically photosensitive retinal ganglion cell,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,intrinsically photosensitive retinal ganglion cell
26982,isograv,Noun,Abbreviation of isogravity (equal seriousness)., medicine,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,isogravity (equal seriousness).
26983,isograv,Noun,"Abbreviation of isogravity theory, combining gravity with other fundamental forces.", physics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"isogravity theory, combining gravity with other fundamental forces."
26984,isograv,Noun,Abbreviation of iso(specific)gravity (equal density)., sciences,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,iso(specific)gravity (equal density).
27953,isp,Noun,Abbreviation of ichnospecies.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,ichnospecies.
28070,ital,Adjective,Abbreviation of italic., proofreading,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,italic.
28187,iter.,Noun,Abbreviation of iterative., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,iterative.
0,d,Verb,"Abbreviation of died (or death) William Shakespeare, d 1616",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"died (or death) william shakespeare, d 1616"
1,d,Adjective,Abbreviation of declared, cricket,Synonym: dec,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,declared
2,d,Adverb,Abbreviation of down, crosswords,Do you have the answer for 23d?,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,down
28,d.,Noun,"Abbreviation of pence, derived from the Latin denarius.", symbols,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"pence, derived from the latin denarius."
34,d/c,Verb,Abbreviation of discontinue," medicine, pharmacology",Do not d/c abruptly.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,discontinue
35,d/l,Noun,Abbreviation of download., computing,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,download.
36,d/l,Verb,Abbreviation of download., computing,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,download.
53,dGMP,Noun,Abbreviation of deoxyguanosine monophosphate.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,deoxyguanosine monophosphate.
56,dGlc,Noun,Abbreviation of deoxyglucose.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,deoxyglucose.
62,dSph,Noun,Abbreviation of dwarf spheroidal galaxy., astronomy,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,dwarf spheroidal galaxy.
64,dTDP,Noun,Abbreviation of thymidine diphosphate., chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,thymidine diphosphate.
67,dThd,Noun,Abbreviation of thymidine.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,thymidine.
68,dUTP,Noun,Abbreviation of deoxyuridine triphosphate., genetics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,deoxyuridine triphosphate.
2585,dat.,Noun,Abbreviation of dative., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,dative.
2842,dataviz,Noun,Abbreviation of data visualization,,"2016, Kyran Dale, Data Visualization with Python and JavaScript This is the big idea of the Internet and one that dataviz is embracing at a rapid pace. And that means that the future of dataviz involves JavaScript, the only first-class language of the web browser.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,data visualization
3018,dau,Noun,Abbreviation of daughter, genealogy,"(often with implied 'of') Jane, dau John",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,daughter
3744,ddNTP,Noun,Abbreviation of dideoxynucleotide triphosphate.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,dideoxynucleotide triphosphate.
4541,deadj.,Adjective,Abbreviation of deadjectival., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,deadjectival.
6081,dec.,Noun,Abbreviation of subdivision., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,subdivision.
7333,decl.,Noun,Abbreviation of declension., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,declension.
7334,decl.,Noun,Abbreviation of declaration., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,declaration.
7911,decon,Noun,Abbreviation of decontamination.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,decontamination.
7912,decon,Verb,Abbreviation of decontaminate.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,decontaminate.
8428,decs.,Noun,Abbreviation of decisions., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,decisions.
10164,defn,Noun,Abbreviation of definition.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,definition.
10485,deg,Noun,Abbreviation of degree., mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,degree.
10487,deg.,Noun,"Abbreviation of degree, degrees",,"1825, The Gentleman's Magazine (volume 137, page 5) From this, you may judge of the enervating effect of this climate, being 5 deg. above bloodheat, and if it were always so, it would be indeed unbearable []",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"degree, degrees"
11638,del,Verb,"abbreviation of delineavit as seen on published artwork, identifying the original artist",,Commonly seen in books and articles on topics in natural history,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,"delineavit as seen on published artwork, identifying the original artist"
11656,delam,Noun,Abbreviation of delamination.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,delamination.
11657,delam,Verb,Abbreviation of delaminate.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,delaminate.
11659,delamed,Adjective,Abbreviation of delaminated.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,delaminated.
12642,dem.,Adjective,Abbreviation of demonstrative., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,demonstrative.
15301,dep.,Noun,Abbreviation of department.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,department.
16436,dept.,Noun,Abbreviation of department.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,department.
16437,dept.,Noun,Abbreviation of deputy.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,deputy.
16481,depts.,Noun,Abbreviation of departments., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,departments.
19069,dest,Noun,Abbreviation of destination.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,destination.
19375,desubst.,Adjective,Abbreviation of desubstantival., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,desubstantival.
19575,det.,Adjective,Abbreviation of determinate., grammar,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,determinate.
21618,dft.,Noun,Abbreviation of draft., in bibliographies,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,draft.
