Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology
9160,inconjunct,Noun,A quincunx., astrology,,False,False,False,False,False,False,False,True
12881,influence,Noun,"An element believed to determine someone's character or individual tendencies, caused by the position of the stars and planets at the time of one's birth.", astrology,,False,False,False,False,False,False,False,True
13871,ingress,Verb,"To enter into a zodiacal sign 1861 December 28, Almanacs, in All the Year Round[5], volume VI:The middle of March finds "" Mars ingressing upon the 16th degree of Capricorn, where the sun has arrived in the nativity of Lord Palmerston,"" []"," intransitive, astrology, of a planet",,False,False,False,False,False,False,False,True
6291,decan,Noun,One of a collection of 36 small constellations or zodiacal subdivisions that appear heliacally at intervals of 10 days or are separated by approximately 10 degrees.," Egyptology, astrology",,False,False,False,False,False,False,False,True
7026,decile,Noun,An aspect or position of two planets when they are distant from each other a tenth part of the zodiac., astrology,,False,False,False,False,False,False,False,True
8477,decumbiture,Noun,"The time one takes to one's bed during an illness, as used for astrological prognostications; or a chart drawn up to express this"," astrology, now historical","1971, Keith Thomas, Religion and the Decline of Magic, Folio Society 2012, p. 277: By casting a figure for the decumbiture, or moment when the patient felt ill, and by resolving a question on the sight of his urine, the astrological doctor claimed to be able to diagnose the disease, prescribe the treatment, foretell when the sickness would reach its crisis, and prognosticate its eventual outcome.",False,False,False,False,False,False,False,True
33944,disposit,Verb,To be located in the house of the sign ruled by the planet," astrology, transitive","For example, when a planet is in the house Gemini, it disposits Mercury because Mercury is the ruling sign of Gemini. 1983, Rose Lineman, Jan Popelka, Compendium of Astrology Venus then indirectly disposits all planets in Leo because these planets are disposited by the Sun, ruler of Leo, and Venus disposits the Sun.",False,False,False,False,False,False,False,True
36216,diurnal arc,Noun,"the path followed by a planet, point, or degree from its rising point to its setting point.", astrology,,False,False,False,False,False,False,False,True
39411,domification,Noun,The division of the heavens into twelve astrological houses; or a particular system for such division, astrology,"1603, Michel de Montaigne, chapter 12, in John Florio, transl., The Essayes,[], book II, printed at London: By Val[entine] Simmes for Edward Blount[], OCLC 946730821:Physike is received as Geometry: and jugling tricks, enchantments, bonds, the commerce of deceased spirits, prognostications, domifications, yea even this ridiculous wit and wealth-consuming pursuite of the Philosophers stone, all is emploied and uttered without contradiction. 2003, Steven Vanden Broecke, The Limits of Influence, page 238:The introduction of alternative methods of domification was already exploited in Pico's Disputationes, which questioned both the natural philosophical basis of astrological houses and the contradictions on this matter in the astrological canon. 2010, Katherine Crawford, The Sexual Culture of the French Renaissance, Cambridge, p.99: The argument put forth by Copernicus that the Sun, not the Earth, was at the center of the heavens renewed concerns about domification.",False,False,False,False,False,False,False,True
47796,duad,Noun,Dwadasamsa., astrology,,False,False,False,False,False,False,False,True
438,quadrate,Noun,"An aspect of the heavenly bodies in which they are distant from each other 90, or the quarter of a circle; quartile.", astrology,,False,False,False,False,False,False,False,True
