Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2
947,iciness,Noun,The state or quality of being icy or very cold; frigidity.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
966,ickiness,Noun,The state or condition of being icky.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
990,iconicity,Noun,the state of being iconic (in all meanings),,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1101,icosahedrality,Noun,The state or condition of being icosahedral,,"1988, Keith Critchlow, ""Forward"", The Theology of Arithmetic, Phanes Press, pages 15-16 The geometrical basis of materiality consists of the tetrahedron or 'fourness' of fire or light, the octahedrality of 'sixness' of the gaseousness of air, the icosahedrality or 'twelveness' of the liquidity of water, and the cubic 'eightness' of the solid earthiness.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1181,ictogenicity,Noun,The condition of being ictogenic,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1300,idealness,Noun,The state or quality of being ideal; the ideality.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1373,identicality,Noun,The state or quality of being identical.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1377,identicalness,Noun,The state or quality of being identical.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1388,identification,Noun,The state of being identified.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1578,idiobiosis,Noun,The condition of being idiobiont, biology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1597,idiocy,Noun,The state or condition of being an idiot; the quality of having an intelligence level far below average; mental retardation., psychology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1682,idiopathicity,Noun,"The state of being idiopathic, i.e", medicine,having an unknown aetiology.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1819,idlehood,Noun,The state or condition of being idle; a habit of idling; idleness.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1820,idleness,Noun,The state of being idle; inactivity.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1821,idleness,Noun,The state of being indolent; indolence.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1928,idoneity,Noun,The state or quality of being idoneous.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
1961,idylatry,Noun,The state of being idyllic,,"With its rolling landscapes, welcoming people, and peaceful serenity, the idylatry of the town was matched only by its isolation.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2017,iffiness,Noun,The state or quality of being iffy.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2111,ignitability,Noun,The condition of being ignitable., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2144,ignobility,Noun,The state or condition of being ignoble.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2148,ignobleness,Noun,The state or condition of being ignoble.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2157,ignominiousness,Noun,The state or quality of being ignominious.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2173,ignorance,Noun,The condition of being uninformed or uneducated,,"Lack of knowledge or information. Synonyms: blindness, cluelessness, knowledgelessness, unawareness, unknowingness, unknowledge",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2192,ignorantness,Noun,The state or quality of being ignorant; ignorance.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2198,ignoration,Noun,The state of being ignorant,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2489,ill-being,Noun,"The state of being ill, unhealthy, or unhappy; misery; miserableness.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2541,ill-naturedness,Noun,The state of being ill-natured.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2593,illabiality,Noun,The state or condition of being illabial or unrounded, phonetics,"1991, Marcel Erdal, Old Turkic Word Formation: A Functional Approach to the Lexicon, Volumes 1-2[1], page 18:// shares narrowness and illabiality with /i/, but, on the other hand, backness and illabiality with /a/: two traits, that is, in each case. 2007, Juhani Nuorluoto, The Interchangeability of the Graphemes o and in Old Russian Birchbark Documents: A Graphical Effect or a Reflection of Sound Change in Progress?, in Slavica Helsingiensia[2], volume 32, pages 184-185:It is significant to note that the illabiality is also reflected in early Christian borrowings such as Fi. pappi priest Sl. pp (trad. pop); cf. as well as in the unstressed position Fi. Raamattu Bible Sl. grmt (trad. gramota). 2013, Blent Gl; Ferruh Aca; Faruk Gke, editors, Beng Bitig. Dursun Yldrm Armaan[3], page 553:An exception in the context of the generally accepted original illabiality of +lk is L. Johanson and his 1979 study ""Die westoghusische Labialharmonie"" (here cited after his volume of reprints: Johanson 1991: 26-70).",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2663,illegality,Noun,the state of being illegal The criminal was aware of the illegality of his act., law,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2682,illegitimacy,Noun,The state or condition of being illegitimate,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2735,illiberality,Noun,The condition of being illiberal, uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2742,illiberalness,Noun,The state of being illiberal; illiberality.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2782,illiquidity,Noun,The condition of being illiquid; a lack of liquidity; difficulty in selling out an asset, economics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2930,illusion,Noun,The state of being deceived or misled., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
2989,illustriousness,Noun,The state of being illustrious.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3115,imaginariness,Noun,the state of being imaginary,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3116,imaginarity,Noun,The condition of being imaginary, mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3696,imitableness,Noun,"The state or quality of being imitable, or worthy of imitation",,the imitableness of Christ's character,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3721,imitativeness,Noun,The state of being imitative; imitation.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3754,immanence,Noun,The state of being immanent; inherency.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3813,immateriality,Noun,the state of being immaterial the immateriality of the soul,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3819,immaterialness,Noun,the state of being immaterial; immateriality,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3827,immatureness,Noun,The state or quality of being immature,,(Can we find and add a quotation of Boyle to this entry?),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3838,immeasurableness,Noun,the state or condition of being immeasurable Synonym: immeasurability,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3859,immediateness,Noun,the state of being immediate; immediacy,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3979,imminence,Noun,The state or condition of being about to happen; imminent quality.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
3998,immiscibility,Noun,The condition of being immiscible., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4050,immobility,Noun,"The state or condition of being unable to change one's location, move or be moved",,Immobility is a big problem for many people who can't afford a car.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4075,immodesty,Noun,The state of being immodest; a lack of modesty.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4099,immorality,Noun,The state or quality of being immoral; vice., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4151,immovability,Noun,The state of being immovable.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4211,immunity,Noun,The state of being insusceptible to something; notably: (medicine) Fully protective resistance against infection, uncountable,"Some people have better immunity to diseases than others. (law) An exemption from specified duties, such as payments or services. Feudal privileges often included tax and other immunities. (law) An exemption from prosecution. The prosecutor offered the lieutenant immunity for all the crimes he would testify having known to be planned by the elusive drug baron. (in games and competitions) An exemption given to a player from losing or being withdrawn from play. After winning the last round the player was granted immunity which allowed him to stay in the game even after receiving the fewest points.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4238,immunoaccessibility,Noun,The condition of being immunoaccessible, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4254,immunoadjuvanticity,Noun,The condition of being an immunoadjuvant, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4440,immunocytotoxicity,Noun,The condition of being cytotoxic to the immune system, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4685,immunoinsufficiency,Noun,The condition of being immunoinsufficient,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4837,immunopathogenicity,Noun,The condition of being immunopathogenic; immunological pathogenicity,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4923,immunoprivilege,Noun,The ability to tolerate the introduction of antigens without eliciting an immune response, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4954,immunoprotectivity,Noun,The condition of being immunoprotective, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
4970,immunoquiescence,Noun,The condition of being immunoquiescent,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
5017,immunoresponsiveness,Noun,The condition of being immunoresponsive, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
5043,immunosensitivity,Noun,The condition of being immunosensitive, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
5069,immunosorbency,Noun,The condition of being immunosorbent, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
5083,immunospecificity,Noun,The condition of being immunospecific, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
5154,immunosusceptibility,Noun,The condition of being immunosusceptible,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,True,False,False,False,False,False,False,False,False
