Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term
245,ice-floe,Noun,attributive form of ice floe with ice-floe frigidity,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,ice floe with ice-floe frigidity
5964,impersonal-subject,Noun,attributive form of impersonal subject,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,impersonal subject
8287,incense-boat,Noun,attributive form of incense boat It had an incense-boat look to it.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,incense boat it had an incense-boat look to it.
8559,incidental-music,Noun,attributive form of incidental music,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,incidental music
8611,incised-meander,Noun,attributive form of incised meander,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,incised meander
10011,indefinite-article,Noun,attributive form of indefinite article,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,indefinite article
10012,indefinite-pronoun,Noun,attributive form of indefinite pronoun,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,indefinite pronoun
10705,indirect-object,Noun,attributive form of indirect object,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,indirect object
11412,industrial-output,Noun,attributive form of industrial output industrial-output data,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,industrial output industrial-output data
21073,interstate-compact,Noun,attributive form of interstate compact interstate-compact expert,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,interstate compact interstate-compact expert
22560,intransitive-verb,Noun,attributive form of intransitive verb,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,intransitive verb
23932,inverted-snobbery,Noun,attributive form of inverted snobbery,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,inverted snobbery
25786,irregular-verb,Noun,attributive form of irregular verb,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,irregular verb
26325,island-state,Noun,attributive form of island state Canada has an island-state mentality.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,island state canada has an island-state mentality.
2587,data-base,Noun,attributive form of data base data-base management,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,data base data-base management
2593,data-structure,Noun,attributive form of data structure data-structure analyst,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,data structure data-structure analyst
2855,date-of-birth,Noun,attributive form of date of birth I'm going to need date-of-birth information on both of you.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,date of birth i'm going to need date-of-birth information on both of you.
2962,dative-case,Noun,attributive form of dative case a dative-case noun,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,dative case a dative-case noun
4152,dead-president,Noun,"attributive form of dead presidents I want some dead-president action, you one-armed bandit!",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,"dead presidents i want some dead-president action, you one-armed bandit!"
5196,death-squad,Noun,attributive form of death squad,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,death squad
5945,debt-burden,Noun,attributive form of debt burden,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,debt burden
7170,decision-making,Noun,"attributive form of decision making 2011 January 20, Jeremy Olson, Ruling delayed on Al Barnes' medical decisions, in Minneapolis Star Tribune:The case pits Barnes' wife, Lana, against doctors at Methodist, who have asked the court to remove her decision-making authority over Barnes' care",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,"decision making 2011 january 20, jeremy olson, ruling delayed on al barnes' medical decisions, in minneapolis star tribune:the case pits barnes' wife, lana, against doctors at methodist, who have asked the court to remove her decision-making authority over barnes' care"
8914,deep-sleep,Noun,attributive form of deep sleep His deep-sleep moaning rather disturbed me.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,deep sleep his deep-sleep moaning rather disturbed me.
9913,defining-vocabulary,Noun,attributive form of defining vocabulary,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,defining vocabulary
9928,definite-article,Noun,attributive form of definite article The definite-article status of O is what's under discussion here.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,definite article the definite-article status of o is what's under discussion here.
13684,demonstrative-pronoun,Noun,attributive form of demonstrative pronoun,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,demonstrative pronoun
15812,depleted-uranium,Noun,attributive form of depleted uranium depleted-uranium reserves,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,depleted uranium depleted-uranium reserves
17768,descriptive-geometry,Noun,attributive form of descriptive geometry descriptive-geometry textbook,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,descriptive geometry descriptive-geometry textbook
18488,desktop-picture,Noun,attributive form of desktop picture desktop-picture choice,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,desktop picture desktop-picture choice
21310,dew-point,Noun,attributive form of dew point,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,dew point
28983,direct-current,Noun,attributive form of direct current,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,direct current
28984,direct-object,Noun,attributive form of direct object,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,direct object
28988,direct-verb,Noun,attributive form of direct verb,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,direct verb
31082,discovered-check,Noun,attributive form of discovered check discovered-check victim,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,discovered check discovered-check victim
33737,displaced-person,Noun,attributive form of displaced person displaced-person mentality,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,displaced person displaced-person mentality
38958,dollar-sign,Noun,attributive form of dollar sign dollar-sign key,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,dollar sign dollar-sign key
39306,domestic-debt,Noun,attributive form of domestic debt,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,domestic debt
40156,door-closer,Noun,attributive form of door closer door-closer inventor,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,door closer door-closer inventor
41205,double-action,Noun,attributive form of double action The double-action revolver was a gunfighter's weapon.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,double action the double-action revolver was a gunfighter's weapon.
41207,double-agent,Noun,attributive form of double agent double-agent care,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,double agent double-agent care
43725,drag-queen,Noun,attributive form of drag queen,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,drag queen
47143,drum-kit,Noun,attributive form of drum kit drum-kit manufacturer,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,drum kit drum-kit manufacturer
47406,dry-closet,Noun,attributive form of dry closet a dry-closet stench,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,True,dry closet a dry-closet stench
