Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body
447,ice plough,Noun,An instrument for cutting grooves in ice to facilitate its removal.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1164,icterometer,Noun,An instrument for gauging hyperbilirubinemia by measuring the yellowness of the skin.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1390,identification,Noun,A document or documents serving as evidence of a person's identity,,The authorities asked for his identification,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
1448,identity document,Noun,A document which may be used to prove a person's identity.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
2918,illuminometer,Noun,An instrument that is used to measure the intensity of illumination,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
4018,immitanciometer,Noun,A device that measures acoustic immitance,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
4284,immunoautomate,Noun,A device that automates various immunological tasks, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
5045,immunosensor,Noun,"A device that detects the reaction of an antibody with an antigen and produces an electrical signal 2015 September 15, A Point-of-Care Immunosensor for Human Chorionic Gonadotropin in Clinical Urine Samples Using a Cuneated Polysilicon Nanogap Lab-on-Chip, in PLOS ONE[1], DOI:10.1371/journal.pone.0137891:However, developing a lab-independent electrochemical immunosensor is necessary to facilitate the replacement of current existing lab-dependent detection systems.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
5335,impactor,Noun,An object which impacts another.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
6149,implantable,Noun,A device that can be implanted surgically,,"2009, Daryl S. Paulson, Applied Biomedical Microbiology: A Biofilms Approach I've had the opportunity to work on mouthwashes and astringents, catheter antimicrobial treatments, and antimicrobial treatments of other implantables and insertables.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,True
