Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,field,10,11,12,13,14,15,16,17
111,iatrology,Noun,Medical science.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science ,,science,,,,,,,,,,True,,,,,,,,
1477,ideogeny,Noun,The science dealing with the origin of ideas.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
1793,idiotypy,Noun,The study or use of ideotypes within medicine,,"1984, Heinz Khler, Jacques Urbain, Pierre-Andr Cazenave, Idiotypy in Biology and Medicine, ISBN, page xix:Today a new dimension in idiotypy is developing, which has the potential of broad applications in biology medicine.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study or use,,study,or,use,,,,,,,,True,,,,,,,,
5308,impact statement,Noun,"An analysis or study which describes the expected effects of a policy, project, or action being contemplated by a business or government organization",,"2010 April 1, ""Editorial: This Time, Listen,"" New York Times (retrieved 2 Dec 2011): Before closing or phasing out a school, the schools chancellor must prepare a detailed impact statement that describes, among other things, changes in how the building would be used, the effects on the surrounding community and the ability of other schools in the area to absorb new students.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,analysis or study,,analysis,or,study,,,,,,,,True,,,,,,,,
13105,information science,Noun,"A broad and interdisciplinary science that deals with the gathering, classification, storage, manipulation, retrieval and analysis of information as an organized resource.", applied science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,science,,science,,,,,,,,,,True,,,,,,,,
13422,infrared astronomy,Noun,"the astronomical observation and study of objects, cooler than most stars, using the infrared part of the electromagnetic spectrum", astronomy,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,observation and study,,observation,and,study,,,,,,,,True,,,,,,,,
13426,infrared spectroscopy,Noun,The spectroscopic study of the interaction of matter with infrared radiation; used as an analytical tool to identify (mostly organic) compounds., analytical chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,spectroscopic study,,spectroscopic,study,,,,,,,,,True,,,,,,,,
13441,infrasonics,Noun,The study and the application of infrasound.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study and,,study,and,,,,,,,,,True,,,,,,,,
15747,insectology,Noun,The scientific study of insects.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
18737,interdisciplinarity,Noun,Any academic or scientific study that draws on the expertise of more than one discipline.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,study,,study,,,,,,,,,,True,,,,,,,,
20536,interpretation,Noun,"The discipline or study of translating one spoken or signed language into another (as opposed to translation, which concerns itself with written language)"," uncountable, linguistics, translation studies","1994, Richard K. Seymour, University of Hawaii at Manoa. Translation and Interpreting: Bridging East and West: Selected Conference Papers, University of Hawaii Press (ISBN), page 11 I believe that interpretation, particularly consecutive interpretation, is an art. I also believe, however, that the skill of consecutive interpretation can be taught, but only up to a point. 2002, Alessandra Riccardi, Translation Studies: Perspectives on an Emerging Discipline, Cambridge University Press (ISBN), page 90 Interpretation studies is a young discipline, much younger than translation studies, and it cannot claim a long tradition and history of reflexions [sic] and studies. 2013, Sana Loue, Handbook of Immigrant Health, Springer Science Business Media (ISBN), page 61 The most pervasive need of non-English-speaking immigrants and refugees is interpretation for every English transaction. Interpretation is needed in stores, schools, and job training, and it is of critical importance in health care. Synonym: interpreting Hyponyms: simultaneous interpretation, consecutive interpretation",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,discipline or study,,discipline,or,study,,,,,,,,True,,,,,,,,
