Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic
14,i-word,Noun,The word illegal or illegal immigrant., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
2587,ill repute,Noun,Prostitution and the sex industry, euphemistic,"1997, Aileen Schumacher, Engineering for Murder, page 69 His list of sexual contacts was quite long, and included ladies from some of the ritzier establishments of ill repute across the border.",False,False,False,False,False,False,False,False,False,False,True
7356,in all one's glory,Adjective,Completely naked She quickly dressed for fear that someone would walk through the shower door and see her in all her glory.," informal, idiomatic, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
7357,in all one's glory,Adverb,Completely naked," informal, idiomatic, euphemistic",,False,False,False,False,False,False,False,False,False,False,True
7515,in the raw,Adjective,Naked," idiomatic, euphemistic","2001, Doug McGuinn, The Apple Indians, page 39, He stood gawking at Cyndee, who was standing in the raw on the shore of the pond his daddy had put in. 2010, Mark J. Okrant, A Last Resort, page 90, As he waited for Pamela to return, Richard was standing in the raw before his full-length mirror. 2011, J. L. O'Faolain, The Thirteenth Child, page 88, James brought his hand away and immediately jumped at the sight of Cole standing in the raw, calmly passing the bag back to the inspector. I thought you said it was safe to look, he accused.",False,False,False,False,False,False,False,False,False,False,True
15010,innings,Noun,A person's lifespan," Britain, euphemistic","1994, John Lehmann, Alan Ross, Sebastian Barker, The London Magazine Forty-odd. That's a better innings than Mozart's thirty-five. Only a moderate knock perhaps in an era brimming with space age technology, and transplants, and artificial hips etcet, but still higher than Mozart's. 2007, Roger F. Peters, Police Under Pressure: A Donkey on the Edge, Roger Peters ISBN, page 22 My mother-in-law died at 89 years of age, while sad and as you might expect, we used the phrase she had a good innings. 2009, Mark Radcliffe, Thank You for the Days: A Boy's Own Adventures in Radio and Beyond, Simon and Schuster ISBN He was the first of my grandparents to die but none of them made it much past seventy, although that was very much looked on as 'a decent innings' in early-seventies England. 2010, Jacqueline James M P, An Ignoble End, AuthorHouse ISBN, page 79 You can only say, she had a good innings, so many times. I suppose seventy nine isn't so bad. It's a damn sight more than I can expect. 2012, Peter Fitzpatrick, The Two Frank Thrings, Monash University Publishing ISBN, page 523 Like father, like son. Sixty-eight. Not such a bad innings, really, when the old man was gone at fifty-three.",False,False,False,False,False,False,False,False,False,False,True
17559,intellectually challenged,Adjective,Of low intelligence; stupid.," euphemistic, of a person",,False,False,False,False,False,False,False,False,False,False,True
18857,interesting,Adjective,"strange or unusual, in a negative sense", euphemistic,The stew had an interesting flavor.,False,False,False,False,False,False,False,False,False,False,True
21722,intimate area,Noun,The genitalia., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
23693,invasive carp,Noun,Asian carp," euphemistic, US","2014 June 23, Cheryl K. Chumley, Minnesota renames the Asian carp to avoid hurting Asians feelings, in The Washington Times:Minnesotas governor recently signed a new bill into law that renames the Asian carp because the Asian community might find it offensive./ CBS reported that the bill, passed by the Senate in April and signed by the governor in late May, came about in response to concern by some people that the current term casts people from Asian cultures in a negative light./ The new name: Invasive carp, Mediaite reported.",False,False,False,False,False,False,False,False,False,False,True
25803,irregularity,Noun,Irregular bowel movement (e.g, euphemistic,"diarrhea or constipation). 2000, James Dallas Jardine; Indu Vaid, Alternative Therapies, Health Harmony, ISBN, page 246:Consuming copious amounts of vegetables, fruit, milk, and an abundance of water effectively treats irregularity. Establishing regular eating, bowel movement, and exercise habits are helpful too.",False,False,False,False,False,False,False,False,False,False,True
28051,it,Noun,Sexual activity, euphemistic,"1991, Stephen Fry, The Liar, p. 14: The great advantage of English public school life lies of course in the quality of tutelage it provides. Adrian had received a decent and broad English education in the area of his loins... He had quickly happened upon the truth which many lonely contemporaries would never discover, the truth that everybody, simply everybody, was panting for it and could, with patience, be shown that they were panting for it. So Adrian grabbed what was to hand and had the time of his life genitallyfocusing exclusively on his own gender of course, for this was 1973 and girls had not yet been invented. caught them doing it",False,False,False,False,False,False,False,False,False,False,True
28300,itshay,Noun,"Alternative form of shit 1992, ""Brady R", euphemistic,"Ferguson"" (username), ""Life"", in k12.chat.senior, Usenet: My physics teacher is the sysop for this system (Bob Shayler), so he excitingly encourgages[sic] us to do this itshay. 1998, ""Jerome L. Nelson"" (username), ""Surely not me!, in alt.recovery.aa, Usenet: Well, can you BELIEVE that itshay? 2003, ""Max Leggett"" (username), ""Re: HELP- What's your download time?"", in rec.music.makers.guitar.jazz, Usenet: I generally never wait more than about 15 seconds - all this fancy itshay that web developers stick in just because they can: I fail to see how it advances the content. In fact it's downright detrimental, 'cause I won't wait around for it.",False,False,False,False,False,False,False,False,False,False,True
21,d-word,Noun,The word damn., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
22,d-word,Noun,The word dick or dickhead., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
23,d-word,Noun,The word douche or douchebag., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
24,d-word,Noun,The word dyke., euphemistic,,False,False,False,False,False,False,False,False,False,False,True
334,dad-blamed,Adjective,"goddamned 1918, Robert Lemuel Wiggins, The Life of Joel Chandler Harris these dad-blamed newfangled notions 1938, William Riley Burnett, The Dark Command: A Kansas Iliad He said he didn't have a dad-blamed furriner nor a dad-blamed Injun in his outfit"," US, informal, euphemistic","1967, Nevada C Colley, From Maine to Mecca You know how that dad-blamed fathead is always talking like a doctor.",False,False,False,False,False,False,False,False,False,False,True
