Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary
2844,illude,Verb,"to delude, fool", literary,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7510,in the flower of one's youth,Adverb,when one was young and happy," literary, idiomatic",,False,False,False,False,False,False,False,False,False,False,False,False,False,True
19938,internal conflict,Noun,A conflict that is internal to a character., literary theory,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
434,daedally,Adverb,in a daedal manner, literary,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8860,deep,Noun,"The deep part of a lake, sea, etc"," literary, with ""the""",creatures of the deep,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8861,deep,Noun,A silent time; quiet isolation," literary, with ""the""",the deep of night,False,False,False,False,False,False,False,False,False,False,False,False,False,True
12214,deliquium,Noun,"A languid, maudlin mood."," literary, figuratively",,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15542,depend,Verb,To hang down; to be sustained by being fastened or attached to something above, now literary,"1851, Herman Melville, Moby-Dick:The long rows of teeth on the bulwarks glistened in the moonlight; and like the white ivory tusks of some huge elephant, vast curving icicles depended from the bows. 1982, Paul Fussell, My War:Besides, if you worked up to be a cadet officer, you got to wear a Sam Browne belt, from which depended a nifty saber.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
16444,depth,Noun,the deepest part (usually of a body of water) The burning ship finally sunk into the depths.," literary, usually in the plural",,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16445,depth,Noun,a very remote part," literary, usually in the plural",Into the depths of the jungle... In the depths of the night,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16472,depths,Noun,The deepest part, literary,(Usually of a body of water.) The burning ship finally sank into the depths.,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16473,depths,Noun,A very remote part, literary,Into the depths of the jungle... In the depths of the night,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22364,dialogic,Adjective,Written in dialogue., of a literary work,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
22750,diapason,Noun,"The range or scope of something, especially of notes in a scale, or of a particular musical instrument"," by extension, literary","Synonyms: range, scope 1934, Henry Miller, Tropic of Cancer:the piano curving like a conch, corollas giving out diapasons of light [] 1961, Graham Greene, A Burnt-Out Case:he could hear nothing except the rattle of the crickets and the swelling diapason of the frogs []",False,False,False,False,False,False,False,False,False,False,False,False,False,True
24840,dieseldom,Noun,"the state of being dieselised, or having achieved dieselisation with the introduction of diesel locomotives"," rail transport, uncommon, literary","1959, Steam's Finest Hour, edited by David P. Morgan, Kalmbach Publishing Co. The Texas J1's were eminently satisfactory, but the railroad's disinclination to buy anybody else's ideas was expressed in a rash of duplex-drive 4-4-4-4 and 4-4-6-4 engines after the war. Their theory was admirable but their performance hastened the day of dieseldom. 2002, Monon: The Hoosier Line by Gary W. Dolzall and Stephen F. Dolzall, Indiana University Press ISBN [1] The Alco C-628s had arrived, and the Hoosier Line entered the big leagues of dieseldom.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
25359,différance,Noun,"The endless deferral of any ultimate meaning in a word or sentence, owing to the necessity of recourse to a potentially infinite series of other, equally uncertain words or signs."," literary theory, linguistics",,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39119,dolor,Noun,"Sorrow, grief, misery or anguish.", literary,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
39147,dolour,Noun,A painful grief or suffering, literary,"1605, But for all this thou shalt have as many dolours for thy daughters as thou canst tell in a year. William Shakespeare, King Lear II.ii 1874, James Thomson, The City of Dreadful Night, X Perchance a congregation to fulfil Solemnities of silence in this doom, Mysterious rites of dolour and despair Permitting not a breath or chant of prayer?",False,False,False,False,False,False,False,False,False,False,False,False,False,True
40822,dorveille,Noun,"A dreamlike semi-conscious state, such as while falling asleep or waking up, between periods of sleep, or from exhaustion; generally with reference to an altered mental state where there is no distinction between the fantastic and the familiar", literary,"Most often used in reference to medieval poetry and literature. 2009, James J. Paxson, The Poetics of Personification, p. 94 dorveille is a peculiar psychic, physical, and spiritual condition traditionally suffered by the narrator or human protagonist of the allegorical poem. Dorveille can involve the bodily exhaustion that overcomes the narrator at the outset of his text. The classic example is Dante, who, at the opening of Inferno 1, describes himself as pien di sonno ""full of sleep"" (line 11). Dorveille can also involve the hypnotic lull and dizziness that overcomes the weary horseman who, as he narrates his poem, suffers from a wandering sense of attention and alertness (French rever). 2008, Emily Francomano Wisdom and Her Lovers in Medieval and Early Modern Hispanic Literature, p. 71 The poetic voice describes how, sleepless with lovesickness, he goes to the chapel, seeking respite. As he meditates there upon the cause of his ""passion"", he [...] enters into a state of dorveille and has a vision populated with women 2010, Christine de Pizan, David Hult, Debate of the Romance of the Rose, p. 106 the narrator is in a dreamlike state midway between sleep and wakefulness, [...] ""dorveille"", a state that accentuates the inability to tell whether the events being recounted really happened or not. 2011, Robert Moss, Active Dreaming: Journeying Beyond Self-Limitation to a Life of Wild Freedom, pp. 21, 47 Among indigenous and early peoples, the liminal state of dorveille (sleep-wake) is a time when you might stir and share dreams with whoever is available. [...] Sometimes a whole poem or song is delivered within a dream or in that fluid in-between zone of sleep-wake, dorveille. 2000, Anne Marie D'Arcy, Wisdom and the Grail, p. 90 [Lancelot] has witnessed the miraculous cure of his fellow knight, but he understands nothing of what he has seen in his somnolent dorveille.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
50531,dwell,Verb,To live; to reside," intransitive, now literary","Peacham the parish in which I was born, dwell, and have possessions C. J. Smith The poor man dwells in a humble cottage near the hall where the lord of the domain resides.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
3375,quicken,Verb,"To give life to; to animate, make alive, revive"," transitive, now literary","[from 14thc.] 1526, William Tyndale, trans. Bible, Luke XVII: Whosoever will goo about to save his lyfe, shall loose it: And whosoever shall loose his life, shall quycken it. 1610, The Tempest, by Shakespeare, act 3 scene 1 The mistress which I serve quickens what's dead, / And makes my labours pleasures Robert South (16341716) Like a fruitful garden without an hedge, that quickens the appetite to enjoy so tempting a prize.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
3376,quicken,Verb,"To come back to life, receive life"," intransitive, now literary",[from 14thc.],False,False,False,False,False,False,False,False,False,False,False,False,False,True
2117,zone,Noun,A belt or girdle, now literary,"17th c, John Dryden, 2005, Pygmalion and the Statue, Paul Hammond, David Hopkins (editors), The Poems of John Dryden: Volume Five: 1697-1700, page 263, Her tapered fingers too with rings are graced, / And an embroidered zone surrounds her slender waist. 1671, John Milton, Paradise Regained, Book II, lines 211 to 220. [] Or should she, confident, / As sitting queen adored on beauty's throne, / Descend with all her winning charms begirt / To enamour, as the zone of Venus once / Wrought that effect on Jove, so fables tell: / How would one look from his majestic brow, / Seated as on the top of virtue's hill, / Discountenance her despised, and put to rout / All her array; her female pride deject, / Or turn to reverent awe? [] 1779, Thomas Forrest, A Voyage to New Guinea and the Moluccas from Balambangan, page 21, From the wait downwards, they wore a looe robe, girt with an embroidered zone or belt about the middle, with a large clap of gold, and a precious tone. 18th c, William Collins, The Passions: An Ode for Music, 1810, Alexander Chalmers, Samuel Johnson (editors), The Works of the English Poets, from Chaucer to Cowper, Volume 13, page 204, Love fram'd with Mirth a gay fantastic round, / Loose were her tresses seen, her zone unbound, 1819, Lord Byron, Don Juan, Canto I, LV, 1827, The Works of Lord Byron, including The Suppressed Poems, page 565, There was the Donna Julia, whom to call / Pretty were but to give a feeble notion / Of many charms in her as natural / As sweetness to the flower, or salt to ocean, / Her zone to Venus, or his bow to Cupid / (But this last simile is trite and stupid). 1844, Charles Dickens, The life and Adventures of Martin Chuzzlewit, 1865, Works of Charles Dickens, Volume VI: Martin ChuzzlewitVolume II, page 421, [] it was the prettiest thing to see her girding on the precious little zone, and yet obliged to have assistance because her fingers were in such terrible perplexity;[].",False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,o'er,Adverb,Contraction of over, literary,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
24,o'erleap,Verb,"Contraction of overleap (Can we date this quote?) Macbeth, I.4: The Prince of Cumberland! that is a step / On which I must fall down, or else o'erleap, / For in my way it lies", literary,"(Can we date this quote?) Macbeth, I.7: I have no spur / To prick the sides of my intent, but only / Vaulting ambition, which o'erleaps itself / And falls on th' other.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
132,oar,Verb,"To row; to travel with, or as if with, oars", literary,"1866, Thomas S. Muir, Barra Head (page 52) The weather was fine, and whilst oaring along I would fain have landed on the islands between; but fearful of a change, and already half worn-out by my previous trail, I let them go by with the comforting resolve of turning them up on some future occasion. 1950, Mervyn Peake, Gormenghast Turning the long tables upside down and there were twelve of them they seated themselves, one behind another, within the upturned table tops as though they were boats and were about to oar their way into some fabulous ocean. 1996, Peter J. Bowler, Life's Splendid Drama In Nopsca's theory, flight evolved as a means of running more quickly over the ground: ""Birds originated from bipedal, long-tailed cursorial reptiles which during running oared along in the air by flapping their free anterior extremities.""",False,False,False,False,False,False,False,False,False,False,False,False,False,True
1126,obscurity,Noun,Darkness; the absence of light, literary,"1907, Harold Bindloss, chapter 6, in The Dust of Conflict:The night was considerably clearer than anybody on board her desired when the schooner Ventura headed for the land. It rose in places, black and sharp against the velvety indigo, over her dipping bow, though most of the low littoral was wrapped in obscurity. 1919, W. Somerset Maugham, The Moon and Sixpence, ch. 24 I walked in, and Stroeve followed me. The room was in darkness. I could only see that it was an attic, with a sloping roof; and a faint glimmer, no more than a less profound obscurity, came from a skylight.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
3414,oeillade,Noun,"A glance, especially an amorous one; an ogle 1608, William Shakespeare, King Lear, IV.4: I know your Lady do's not loue her Husband, / I am sure of that: and at her late being heere, / She gaue strange Eliads, and most speaking lookes / To Noble Edmund", literary,"1984, Anthony Burgess, Enderby's Dark Lady: My, my, she said, with an oeillade meant to be comic. 1999, Michael Billington, The Guardian, 4 Sep 1999: But the shifting moral tone is perfectly caught in Helen McCrory's polymorphous Phocion, who is mischievously aware of her sexual power and switches from macho snarls when seducing a woman to flirty oeillades when playing with a man.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
7802,onlay,Verb,To lay or place something on a surface.," transitive, literary",,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10114,opsophagos,Noun,"A glutton, a gourmand, chiefly one who hogs and eats excessive amounts of fish", literary or historical,"1995, John Wilkins, David Harvey, Mike Dobson, Food in Antiquity, page 209, How does this help us with the opsophagoi listed by Athenaeus comic poets and anecdotalists and their feats of consumption? 2000, David Braund, John Wilkins, Athenaeus and His World: Reading Greek Culture in the Roman Empire, page 267, Thus, at the precise moment during the banquet when Myrtilus points out what should be understood as an opsophagos, it is fish that are brought to Larensis table. 2012, Dan Brayton, Shakespeares Ocean: An Ecocritical Exploration, footnote, unnumbered page, 25. James Davidson (Courtesans and Fishcakes) describes something similar in classical Athenian culture, a cultural association between the fish desired by the opsophagos, or fisheater, and the bodies of prostitutes (male and female).",False,False,False,False,False,False,False,False,False,False,False,False,False,True
12212,oriflamme,Noun,"Something resembling the banner of St Denis; a bright, shining object", literary,"1837 Thomas Carlyle, The French Revolution: A History This is that famed Martial law, with its Red Flag, its 'Drapeau Rouge:' in virtue of which Mayor Bailly, or any Mayor, has but henceforth to hang out that new Oriflamme of his; then to read or mumble something about the King's peace; and, after certain pauses, serve any undispersing Assemblage with musket-shot.... 1969, Vladimir Nabokov, Ada or Ardor, Penguin 2011, p. 96: Lucette trotted into the room with a child's pink, stiff-bagged butterfly-net in her little fist, like an oriflamme. 1992, Moncrieff/Kilmartin/Enright, translating Marcel Proust, Swann's Way, Folio Society 2005, p. 417: Open spaces made visible the approach to almost every one of them, or else a splendid mass of foliage stood out before it like an oriflamme.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
24646,owlful,Adjective,Full of owls, literary,"1973, Thomas Kinsella, The Clearing in Antus, ed. Daniel Halpern, page 105: Impenetrable growth surrounds him. // Owlful. Batful. // Great moths of prey. 1984, Punch CCLXXXVI/ii, page 67: Mrs Adcock will invariably force you to take two, leaving you to stagger into the owlful night. 2001, J. Allyn Rosser, Misery Prefigured, part three, Rods and R., pages 4041, lines 3436: What // is that on the unmooned owlful slope, // the silver movement five yards west of your glance? For more examples of usage of this term, see Citations:owlful.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
1960,wane,Noun,The end of a period, literary,"1845, Benjamin Disraeli, Sybil, or The Two Nations, Book 1, Chapter 3, The situation of the Venetian party in the wane of the eighteenth century had become extremely critical. Wane siding on a cabin at S.B. Elliott State Park",False,False,False,False,False,False,False,False,False,False,False,False,False,True
6046,weal,Noun,"Welfare, prosperity", now literary,[from 10th c.] Francis Bacon as we love the weal of our souls and bodies Milton to him linked in weal or woe,False,False,False,False,False,False,False,False,False,False,False,False,False,True
10140,whilom,Adjective,"Former, sometime", now literary,"1879, John Pentland Mahaffy, Euripides, Chapter IV [] which moved all to pity by its picture of a whilom princess reduced to miserable poverty.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
14483,wine-dark,Adjective,Resembling the dark color (or perhaps other properties) of wine," literary, especially of the sea","2015, Frederic W. Farrar, Gathering Clouds: A Tale of The Days of Saint Chrysostom: He had that type of countenance which dim tradition was already beginning to assign to the Son of Manthe perfectly oval face, the waved and wine-dark hair, the glowing complexion, the eyes whose depths seemed to be lighted by some holy spiritual flame withinof Him who had been fairer than the children of men. 2015, Anthony Adolph, Brutus of Troy: And the Quest for the Ancestry of the British, page 200: The Trojan War was probably real enough, but the myths of Aeneas crossing the wine-dark Mediterranean to lay the foundations of the Roman Empire in Italy, and Brutus's subsequent journey to fill Britain with descendants of the Trojans, are myths.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
14970,winnow,Verb,To blow upon or toss about by blowing; to set in motion as with a fan or wings," transitive, literary","1872 Elliott Coues, Key to North American Birds Gulls average much larger than terns, with stouter build; the feet are larger and more ambulatorial, the wings are shorter and not so thin; the birds winnow the air in a steady course unlike the buoyant dashing flight of their relatives.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
17598,woodflesh,Noun,"The substance making up the central part of the trunk and branches of a tree, wood", literary,"1949, Roald Dahl, The Sound Machine in Roald Dahl: The Complete Short Stories, Volume 2, Random House, 2012, Klausner stared in horror at the place where the blade of the axe had sunk into the woodflesh of the tree; then gently he took the axe handle, worked the blade loose and threw the thing to the ground. 1993, Dagoberto Gilb, Down in the West Texas Town in The Magic of Blood, New York: Grove Press, p. 189,[1] The sun burned; the heat was all, consumed alleven the whacks of a twenty-eight-ounce framing hammer swatting a sixteen-penny nail one time two times and three through the ridge board and into the peak end of a rafter, even the rippling buzz of an electric saw chewing through woodflesh, even they fell short of cutting through this insatiable heat. 1997, J. M. Coetzee, Boyhood: Scenes from Provincial Life, Penguin, Chapter Three, p. 14, He cuts a five-foot stave from a poplar tree, peels off the bark, and spends an afternoon with a heated screwdriver burning into the white woodflesh the entire Morse and semaphore codes.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
170,babe,Noun,A baby or infant; a very young human or animal, literary or poetic,These events came to pass when he was but a babe.,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11257,be,Verb,To exist; to have real existence," intransitive, now literary","1526, Bible, tr. William Tyndale, Matthew 2: Rachel wepynge ffor her chyldren, and wolde nott be comforted because they were not. 1600, William Shakespeare, Hamlet: To be, or not to be, that is the Question[]. 1603, Michel de Montaigne, chapter 12, in John Florio, transl., The Essayes,[], book II, printed at London: By Val[entine] Simmes for Edward Blount[], OCLC 946730821: [] it were great sottishnesse, and apparent false-hood, to say, that that is which is not yet in being, or that already hath ceased from being. 1643, Thomas Browne, Religio Medici, II.2: There is surely a peece of Divinity in us, something that was before the Elements, and owes no homage unto the Sun. 1886-88, Richard F. Burton, The Supplemental Nights to the Thousand Nights and a Night: Now one day of the days, [] the Sultan cast his eyes upon her as she stood before him, and said to his Grand Wazir, ""This be the very woman whereof I spake to thee yesterday, so do thou straightway bring her before me, that I may see what be her suit and fulfil her need."" 2004, Richard Schickel, ""Not Just an African Story"", Time, 13 December: The genial hotel manager of the past is no more. Now owner of a trucking concern and living in Belgium, Rusesabagina says the horrors he witnessed in Rwanda ""made me a different man.""",False,False,False,False,False,False,False,False,False,False,False,False,False,True
11680,beam,Noun,The pole of a carriage or chariot, literary,"a 1700, Andr Dacier, John Dryden, Life of Alexander, in Plutarch's Lives, translation of original by Plutarch:Soon after this be subdued the Pisidians who made head against him, and conquered the Phrygians, at whose chief city Gordium (which is said to have been the seat of the ancient Midas) he saw the famous chariot fastened with cords made of the bark of the Cornel-Tree, and was informed that the inhabitants had a constant tradition, that the empire of the world was reserved for him who should untie the knot. Most are of opinion, that Alexander finding that he could not untie it, because the ends of it were secretly folded up within it, cut it asunder with his sword, so that several ends appeared. But Aristobulus tells us that he very easily undid it, by only pulling the pin out of the beam which fastened the yoke to it, and afterwards drawing out the yoke itself.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
17300,benison,Noun,A blessing; benediction, chiefly literary,"1855, Anthony Trollope, The Warden, ISBN, page 197:Poor old men! how could they be cordial with their sore consciences and shamed faces? how could they bid God bless him with hearty voices and a true benison, knowing, as they did, that their vile cabal had driven him from his happy home, and sent him in his old age to seek shelter under a strange roof-tree?",False,False,False,False,False,False,False,False,False,False,False,False,False,True
18783,besmirch,Verb,To make dirty; to soil.," transitive, literary",,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41056,bower,Noun,"A dwelling; a picturesque country cottage, especially one that is used as a retreat", literary,"(Can we find and add a quotation of Shenstone to this entry?) 1818, John Keats, Book I, in Endymion: A Poetic Romance, London: Printed [by T. Miller] for Taylor and Hessey,[], OCLC 1467112, lines 15, page 3:A thing of beauty is a joy for ever: / Its loveliness increases; it will never / Pass into nothingness; but still will keep / A bower quiet for us, and a sleep / Full of sweet dreams, and health, and quiet breathing.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
48357,brume,Noun,"Mist, fog, vapour", literary,"1972, All around their bubble of stupidity I could feel the brume of the dragon. John Gardner, Grendel (Andr Deutsch 1972, p. 77)",False,False,False,False,False,False,False,False,False,False,False,False,False,True
48360,brumous,Adjective,Foggy or misty; wintry, literary,"[from mid 19th c.] 1848 November 1850 December, William Makepeace Thackeray, A Little Innocent, in The History of Pendennis.[], volume I, London: Bradbury and Evans,[], published 1849, OCLC 2057953, page 233:The blond misses of Albion see nothing in the dull inhabitants of their brumous isle, which can compare with the ardour and vivacity of the children of the South. We bring our sunshine with us; we are Frenchmen, and accustomed to conquer. 1866 October, Essays at Odd Times, in David Masson, editor, Macmillans Magazine, volume XIV, number 84, London: Macmillan and Co.[], OCLC 1042245262, section XIV (Of a Fox Covert), page 476, column 2:One of the greatest charms of fox-hunting undoubtedly is, that it disposes of all the dirty weather which goes to make up three-fourths of an English winter. Wet, and drizzle, and muggy fog (the characteristics of our brumous and insular climate, according to numerous French authorities), are the capital on which it trades. To the hunting man a rainy morning in winter [] means sport, and society, and enjoyment. 1869 December, Nebul, in The Galaxy. An Illustrated Magazine of Entertaining Reading, volume VIII, number 6, New York, N.Y.: Sheldon Company[], OCLC 1049717714, page 861, column 1:The Golden Gate was hardly to be seen at all, except on very favorable days, for the thick veil of ocean mist which hung over it. The whole scene was dull, sombre, brumous, depressing. 1872 July, Richard A[nthony] Proctor, A Giant Planet, in E[dward] L[ivingston] Youmans, editor, The Popular Science Monthly, volume I, New York, N.Y.: D. Appleton and Company,[], OCLC 228666442, page 293:Let us compare these observations made in our brumous latitudes with those effected by Father [Angelo] Secchi with the fine equatorial of the Roman Observatory. 1974, Lawrence Durrell, Monsieur or The Prince of Darkness: A Novel, London: Faber and Faber, ISBN; republished in The Avignon Quintet: Monsieur, Livia, Constance, Sebastian, Quinx, London: Faber and Faber, 1992, ISBN, page 23:She worked under the great tapestry with its glowing but subdued toneshuntsmen with lofted horns had been running down a female stag. After the rape, leaving the grooms to bring the trophy home, they galloped away into the soft brumous Italian skyline; []",False,False,False,False,False,False,False,False,False,False,False,False,False,True
5190,hap,Verb,To happen; to befall; to chance," intransitive, literary","Synonyms: come to pass, occur, transpire; see also Thesaurus:happen 1868-9, Robert Browning, The Ring and the Book, in Edward Berdoe, editor, The poetical works of Robert Browning, published 1889, page 17:""But laudably, since thus it happed!"" quoth one: Whereat, more witness and the case postponed. ""Thus it happed not, since thus he did the deed,....",False,False,False,False,False,False,False,False,False,False,False,False,False,True
5191,hap,Verb,To happen to," transitive, literary","1891, Elizabeth Stoddard, No Answer, in Harper's magazine, page 55:What meaneth June, to hap us every year.",False,False,False,False,False,False,False,False,False,False,False,False,False,True
10078,heart's blood,Noun,"Alternative form of heart-blood 1819, Percy Bysshe Shelley, The Cenci, London: C", literary,"J. Ollier, Act V, Scene 4, p. 103,[1] Soon the hearts blood of all I love on earth Will sprinkle him, and he will wipe it off As if twere only rain. 1912, Robert W. Service, The Soldier of Fortune in Rhymes of a Rolling Stone, Toronto: William Briggs, p. 24,[2] And now, my butchers, I embrace my fate. Come! let my hearts blood slake the thirsty sod. []",False,False,False,False,False,False,False,False,False,False,False,False,False,True
20580,historiola,Noun,"A spell which invokes a mythical narrative, asking for the events it describes or similar ones to be enacted (as found in some Greek, Egyptian and other inscriptions)", literary,"2004, The Journal of the Ancient Near Eastern Society, volume 29, page 31: [A] Mandaic specimen from Kutha (BM 91715) which contains two independent incantations separated by a line: a historiola relating the expulsion of a particular lilith and the report of a dream purportedly dreamt by the client[.]",False,False,False,False,False,False,False,False,False,False,False,False,False,True
26776,hors de combat,Adjective,out of action; disabled; no longer able to fight, literary,,False,False,False,False,False,False,False,False,False,False,False,False,False,True
