term,definition
ichnotaxonomy,"The branch of taxonomy that attempts to classify an animal based on its footprints, burrows, or other traces"
ichthyology,The branch of zoology devoted to the study of fish.
ichthyopathology,The study of diseases of fish
ichthyoplanktology,"The study of the free-floating larvae of fish 2015 July 6, Molecular Identification of Atlantic Bluefin Tuna ( Thunnus thynnus, Scombridae) Larvae and Development of a DNA Character-Based Identification Key for Mediterranean Scombrids, in PLOS ONE[1], DOI:10.1371/journal.pone.0130407:It comes as no surprise that all 58 larvae provided by the IEO and OCEANA-Marviva project were correctly identified, since their staff are leading experts in the field of ichthyoplanktology."
iconics,The study of images and symbols as a form of communication.
iconography,The study of representative art in general.
iconology,The study of icons in art or art history.
ideology,The study of the origin and nature of ideas.
idiography,The study of individuals
idiomatology,"The study of idioms and idiomatic language 1919, H.A"
imageology,"The study of images, especially those produced by medical imaging 2015 July 2, Hao Zeng et al., Comparison of three surgical approaches for cervicothoracic spinal tuberculosis: a retrospective casecontrol study, in Journal of Orthopaedic Surgery and Research[1], volume 10, DOI:10.1186/s13018-015-0238-0:In our study, patients in group B indeed harvested perfect clinical and imageology outcomes during the follow-up (Fig"
imagology,The study of cultural stereotypes as presented in literature etc
immunobiology,The branch of biology that deals with the biological effects of the immune system
immunochemistry,the study of the structure of antibody molecules (immunoglobulins) and of their ability to bind with antigens of diverse chemical structure
immunoecology,The study of interactions between immunology and ecology
immunogenetics,"The study of the genetic basis for the immune response, and of the relationships between genetics and immunity from disease"
immunohematology,The study of the relationships between disorders of the blood and the immune system
immunoinformatics,The branch of bioinformatics that deals with immunology
immunology,The branch of medicine that concerns the body's immune system
immunometabolism,"The study of the interaction between the immune system and metabolism 2015 September 15, Characterization of In Vitro Engineered Human Adipose Tissues: Relevant Adipokine Secretion and Impact of TNF-, in PLOS ONE[1], DOI:10.1371/journal.pone.0137612:In fact, a novel research area termed immunometabolism has emerged from the study of ATs roles in metabolism and immunity, which contribute to the pathogenesis of obesity-associated dysfunctions [23, 24 ]."
immunomorphology,The study of the relationship between form and function of immunological species such as antigens
immunopathology,The branch of immunology that studies the relation of the immune system to disease; a disease caused by a disruption of the immune system
immunopeptidomics,The branch of molecular biology that studies the set of immunopeptides of an organism
immunopharmacology,The branch of pharmacology that deals with the immune system
immunoproteomics,"The study of an immunoproteome 2016 February 24, Identification of Immunoreactive Leishmania infantum Protein Antigens to Asymptomatic Dog Sera through Combined Immunoproteomics and Bioinformatics Analysis, in PLOS ONE[1], DOI:10.1371/journal.pone.0149894:Our results suggest that the combination of immunoproteomics and bioinformatics analyses is a promising method for the identification of novel candidate antigens for vaccine development or with potential use in the development of sensitive diagnostic tests."
immunoserology,The branch of serology that involves studies of the immune response
immunotoxicology,The study of dysfunction of the immune system caused by a xenobiotic
immunovirology,The study of the interactions between viruses and the immune system
implantology,The science of or techniques involved in dental implants
infectiology,"The study of infection 2015 September 24, Individual Monitoring of Immune Response in Atlantic Salmon Salmo salar following Experimental Infection with Infectious Salmon Anaemia Virus (ISAV), in PLOS ONE[1], DOI:10.1371/journal.pone.0137767:We describe here a novel approach to infectiology for salmonid fish where blood samples are collected repeatedly in a small group of PIT-tagged animals."
information management,"the study of the acquisition of information from one or more sources, the custodianship and the distribution of that information to those who need it, and its ultimate disposition through archiving or deletion."
information retrieval,"The science of searching for information in documents, searching for documents themselves, searching for metadata which describe documents, or searching within databases, whether relational stand-alone databases or hypertextually-networked databases such as the World Wide Web."
informetrics,The study of quantitative aspects of information
integumation,The branch of physiology that deals with the integuments of animals and plants.
interactionism,The branch of sociology that studies interaction between individuals or groups
interactomics,The study of the interactions between proteins and other components of a cell
interferomics,The study of interferomes
interlinguistics,"The study of international communication, focused especially on planned international auxiliary languages and having e.g"
international relations,"The study of relationships among countries, commonly abbreviated as IR."
intersectionalism,"The study of minorities within minorities, or intersections between minorities; specifically, the study of the interactions of multiple systems of oppression or discrimination."
