term,definition
iciness,The state or quality of being icy or very cold; frigidity.
ickiness,The state or condition of being icky.
iconicity,the state of being iconic (in all meanings)
icosahedrality,The state or condition of being icosahedral
ictogenicity,The condition of being ictogenic
idealness,The state or quality of being ideal; the ideality.
identicality,The state or quality of being identical.
identicalness,The state or quality of being identical.
identification,The state of being identified.
idiobiosis,The condition of being idiobiont
idiocy,The state or condition of being an idiot; the quality of having an intelligence level far below average; mental retardation.
idiopathicity,"The state of being idiopathic, i.e"
idlehood,The state or condition of being idle; a habit of idling; idleness.
idleness,The state of being idle; inactivity.
idleness,The state of being indolent; indolence.
idoneity,The state or quality of being idoneous.
idylatry,The state of being idyllic
iffiness,The state or quality of being iffy.
ignitability,The condition of being ignitable.
ignobility,The state or condition of being ignoble.
ignobleness,The state or condition of being ignoble.
ignominiousness,The state or quality of being ignominious.
ignorance,The condition of being uninformed or uneducated
ignorantness,The state or quality of being ignorant; ignorance.
ignoration,The state of being ignorant
ill-being,"The state of being ill, unhealthy, or unhappy; misery; miserableness."
ill-naturedness,The state of being ill-natured.
illabiality,The state or condition of being illabial or unrounded
illegality,the state of being illegal The criminal was aware of the illegality of his act.
illegitimacy,The state or condition of being illegitimate
illiberality,The condition of being illiberal
illiberalness,The state of being illiberal; illiberality.
illiquidity,The condition of being illiquid; a lack of liquidity; difficulty in selling out an asset
illusion,The state of being deceived or misled.
illustriousness,The state of being illustrious.
imaginariness,the state of being imaginary
imaginarity,The condition of being imaginary
imitableness,"The state or quality of being imitable, or worthy of imitation"
imitativeness,The state of being imitative; imitation.
immanence,The state of being immanent; inherency.
immateriality,the state of being immaterial the immateriality of the soul
immaterialness,the state of being immaterial; immateriality
immatureness,The state or quality of being immature
immeasurableness,the state or condition of being immeasurable Synonym: immeasurability
immediateness,the state of being immediate; immediacy
imminence,The state or condition of being about to happen; imminent quality.
immiscibility,The condition of being immiscible.
immobility,"The state or condition of being unable to change one's location, move or be moved"
immodesty,The state of being immodest; a lack of modesty.
immorality,The state or quality of being immoral; vice.
immovability,The state of being immovable.
immunity,The state of being insusceptible to something; notably: (medicine) Fully protective resistance against infection
immunoaccessibility,The condition of being immunoaccessible
immunoadjuvanticity,The condition of being an immunoadjuvant
immunocytotoxicity,The condition of being cytotoxic to the immune system
immunoinsufficiency,The condition of being immunoinsufficient
immunopathogenicity,The condition of being immunopathogenic; immunological pathogenicity
immunoprivilege,The ability to tolerate the introduction of antigens without eliciting an immune response
immunoprotectivity,The condition of being immunoprotective
immunoquiescence,The condition of being immunoquiescent
immunoresponsiveness,The condition of being immunoresponsive
immunosensitivity,The condition of being immunosensitive
immunosorbency,The condition of being immunosorbent
immunospecificity,The condition of being immunospecific
immunosusceptibility,The condition of being immunosusceptible
immutability,The state or quality of being immutable; immutableness.
immutability,The state of being unchangeable in the memory after creation.
immutableness,The state of being immutable; unchangeableness.
impactedness,The state or condition of being impacted
impairedness,The state of being impaired.
impassability,The state or quality of being impassable.
impassibility,The state or condition of being impassible.
impassiveness,The state of being impassive.
impassivity,The state of being impassive.
impeachability,The state or condition of being impeachable.
impeachment,The state of being impeached
impecuniosity,"The state of being impecunious; impecuniousness 1915, William Campbell, Sketches from Formosa[1], Marshall Brothers Limited, page 75: The next development showed that so widespread an advertisement of our intention had been given by the town-crier as to speedily furnish us with another illustration of the way in which impecuniosity and good clean Mexican dollars prove a wonderful solvent for many troubles which arise among the Chinese; because we were agreeably surprised on the evening of the fourth day, when a man came cautiously to inform us that he was willing to sell us his house, if the purchase-money could be handed over at once."
imperativeness,The state or condition of being imperative.
imperceptibility,The state or quality of being imperceptible.
imperfectibility,The state or quality of being imperfectible.
imperfectiveness,The state or quality of being imperfective
imperfectness,The state of being imperfect.
imperforation,The state of being without perforation.
impermissibility,The state or condition of being impermissible.
impersistence,The condition of being impersistent
impersonality,"The state or quality of being impersonal 1988 July 8, Jonathan Rosenbaum, Portfolio Without Artist, in Chicago Reader[1]:Yet paradoxically, Huston being Huston, its most personal quality is the director's self-effacement, its impersonality."
imperviousness,the state of being impervious
impetuousness,The state or quality of being impetuous; making arbitrary decisions.
impiety,The state of being impious.
impishness,The state or quality of being impish; mischievousness.
implication,The state of being implicated.
implicitness,The state or quality of being implicit.
impoliteness,The state of being impolite; incivility; rudeness.
imporosity,The state or quality of being imporous; lack of porosity
impound,"a state of being impounded 2010, Neal Locke, No Plan, page 161:I already checked that out, and Keller has never called to get it out of impound."
impoundment,The state of being impounded
impoverishment,The state of being impoverished.
impracticableness,The state of being impracticable; impracticability.
impracticality,The state or quality of being impractical
impregnableness,The state of being impregnable; impregnability.
impressibleness,The state of being impressible; impressibility.
imprimitivity,"The condition of being imprimitive 2015, Francesco D'Andrea, Davide Franco, Non-associative Geometry Of Quantum Tori, in arXiv[1]:We describe how to obtain the imprimitivity bimodules of the noncommutative torus from a ""principal bundle"" construction, where the total space is a quasi-associative deformation of a 3-dimensional Heisenberg manifold.."
impropriety,The condition of being improper.
improvability,The condition of being improvable
improvement,The state of being improved; betterment; advance
impship,The state of being an imp.
impurity,"The condition of being impure; because of contamination, pollution, adulteration or insufficient purification"
inadaptability,The state of being inadaptable.
inadeptness,The state or condition of being inadept.
inadequacy,The state of being inadequate.
inadmissibility,The state of being inadmissible
