term,definition
iamid,Any member of the Iamidae.
iapygid,Any member of the Iapygidae.
ibaliid,Any member of the Ibaliidae.
icelid,Any member of the Icelidae.
ichneumonoid,Any member of the Ichneumonoidae.
ichthyodectid,Any member of the family Ichthyodectidae of extinct predatory fish principally of the Cretaceous.
ichthyophiid,Any member of the Ichthyophiidae.
ichthyornid,Any member of the Ichthyornidae.
ichthyornithid,Any member of the Ichthyornithidae.
ichthyosaurid,Any member of the Ichthyosauridae.
ichthyostegid,Any member of the Ichthyostegidae.
icosteid,Any member of the Icosteidae.
ictalurid,Any member of the Ictaluridae.
idiacanthid,Any member of the Idiacanthidae.
idiobiont,An organism which is a parasite on an immobile host
idiopid,Any member of the Idiopidae.
idiosepiid,Any member of the Idiosepiidae.
idoteid,Any member of the Idoteidae.
iguanodontid,Any member of the family Iguanodontidae of iguana-like dinosaurs.
ilariid,Any member of the Ilariidae.
ilysiid,Any member of the Ilysiidae.
immid,Any member of the Immidae.
imprinter,"An organism that imprints, or forms an attachment"
inachid,Any member of the Inachidae.
incross,An organism formed by close inbreeding.
incurvariid,Any member of the Incurvariidae.
indicatorid,Any member of the Indicatoridae.
indostomid,Any member of the Indostomidae.
indrid,Any member of the Indridae.
indriid,Any member of the Indriidae.
inermiid,Any member of the Inermiidae.
inferobranchian,"Any of the Inferobranchiata, a suborder of marine gastropod mollusks."
influent,an organism having an important effect on a plant or animal community
ingolfiellid,Any member of the Ingolfiellidae.
iniid,Any member of the Iniidae
inocelliid,Any member of the Inocelliidae.
inoceramid,Any member of the Inoceramidae.
inoperculate,Any organism that has no operculum.
inquiline,An organism that lives within a reservoir of water collected in the hollow of a plant stem or leaf
intasuchid,Any member of the Intasuchidae.
interatheriid,Any member of the Interatheriidae.
interorbital,Any of the scales between the orbits.
iravadiid,Any member of the Iravadiidae.
irenid,Any member of the Irenidae.
iridinid,Any member of the Iridinidae.
iridovirid,Any member of the Iridoviridae.
ironomyiid,Any member of the Ironomyiidae.
irruptive,"An organism that is suddenly more prevalent in a region, due to irruption"
isaeid,Any member of the Isaeidae.
ischnochitonid,Any member of the Ischnochitonidae.
ischnurid,Any member of the Ischnuridae.
ischyrocerid,Any member of the Ischyroceridae.
isidid,Any member of the Isididae.
isodont,Any organism with teeth of equal length.
isognomonid,"Any of the family Isognomonidae of marine bivalve mollusks, related to the pearl oysters."
isopteran,Any member of the infraorder Isoptera of termites.
isostictid,Any member of the Isostictidae.
isotemnid,Any member of the family Isotemnidae of extinct ungulates.
isotomid,Any member of the Isotomidae.
issid,Any member of the Issidae.
istiodactylid,Any member of the Istiodactylidae.
ithomiine,a member of the Ithomiini tribe of butterflies.
ixionid,Any member of the Ixionidae.
ixodorhynchid,Any member of the Ixodorhynchidae.
dactylogyrid,"Any member of the Dactylogyridae, a family of flatworms."
dactylopterid,Any member of the Dactylopteridae.
daesiid,Any member of the Daesiidae.
dairid,Any member of the Dairidae.
dajid,Any member of the family Dajidae of tiny ectoparasites of krill.
dalatiid,Any member of the shark family Dalatiidae.
dalcerid,Any member of the Dalceridae.
dalmanitid,Any member of the Dalmanitidae.
damesellid,Any member of the Damesellidae.
danaid,Any member of the Danaidae.
dandarid,Any member of the Dandaridae.
daraelitid,Any member of the Daraelitidae.
dasyatid,Any member of the Dasyatidae.
dasyclad,Any of the order Dasycladales of green algae.
dasypodid,Any member of the Dasypodidae.
dasyproctid,Any member of the family Dasyproctidae of agoutis and acouchis.
dasytid,Any member of the Dasytidae.
daubentoniid,Any member of the Daubentoniidae.
davaineid,Any member of the Davaineidae.
decomposer,"Any organism that feeds off decomposing organic material, especially bacterium or fungi."
deinocheirid,Any member of the Deinocheiridae.
deinopid,Any member of the Deinopidae.
delphinid,Any member of the Delphinidae.
demodicid,Any member of the Demodicidae.
dendrerpetontid,Any member of the Dendrerpetontidae.
dendrobatid,Any member of the family Dendrobatidae of poison dart frogs.
dendrobranchiate,Any member of the Dendrobranchiata.
dendrocoelid,Any member of the Dendrocoelidae.
dendrocolaptid,Any member of the Dendrocolaptidae.
dendrocygnid,Any member of the Dendrocygnidae.
dendrodoridid,Any member of the Dendrodorididae.
dendronotid,Any member of the Dendronotidae.
dendrophylliid,Any member of the Dendrophylliidae.
denitrifier,"An organism that engages in denitrification, the removal of nitrates from the environment Most denitrifiers can live under anaerobic conditions."
dentaliid,Any member of the Dentaliidae.
dentex,Any member of the genus Dentex of perciform fish.
denticipitid,Any member of the Denticipitidae.
depressariid,Any member of the Depressariidae.
derichthyid,Any member of the Derichthyidae.
dermanyssid,Any member of the Dermanyssidae.
dermatemydid,Any member of the Dermatemydidae.
dermochelid,Any member of the Dermochelidae.
dermochelyid,Any of the family Dermochelyidae of marine turtles
derodontid,Any member of the Derodontidae.
desid,Any member of the Desidae.
desmacellid,Any member of the Desmacellidae.
desmatophocid,Any member of the Desmatophocidae.
desmoceratid,Any member of the Desmoceratidae.
desmopterid,Any member of the Desmopteridae.
desmostylid,Any member of the Desmostylidae.
destruent,Any organism that converts dead matter into a form that can be recycled
detritivore,"An organism that feeds on detritus; a detrivore, a saprophage"
detrivore,"Any organism that feeds on detritus; a detritivore, a saprophyte."
deuterophlebiid,Any member of the Deuterophlebiidae.
dexaminid,Any member of the Dexaminidae.
diadectid,Any member of the Diadectidae.
diadectomorph,Any member of the Diadectomorpha.
diadematid,Any member of the Diadematidae.
dialid,Any member of the Dialidae.
diaphanid,Any member of the Diaphanidae.
diapriid,Any member of the Diapriidae.
diaptomid,Any member of the Diaptomidae.
diarthrophallid,Any member of the Diarthrophallidae.
diastatid,Any member of the Diastatidae.
diastylid,Any member of the Diastylidae.
diazonid,Any member of the Diazonidae.
dibamid,Any member of the family Dibamidae.
dibranchiate,Any of the Dibranchiata.
dicaeid,Any member of the Dicaeidae.
dicamptodontid,Any member of the Dicamptodontidae.
diceratiid,Any member of the Diceratiidae.
dichobunid,Any member of the Dichobunidae.
dickinsoniid,Any member of the Dickinsoniidae.
dicraeosaurid,Any member of the Dicraeosauridae.
dicroglossid,"Any member of the Dicroglossidae, a family of frogs."
dicrurid,Any member of the Dicruridae.
dictynid,Any member of the Dictynidae.
dictynoid,"Any member of the Dictynoidea, a group of araneomorph spiders that have been treated as a superfamily."
dictyopharid,Any member of the Dictyopharidae.
dicynodontid,Any member of the Dicynodontidae.
didelphid,A member of Didelphidae; a marsupial animal.
didemnid,"Any member of the Didemnidae, tunicates that form colonies on the seabed in shallow waters."
dielasmatid,Any member of the Dielasmatidae.
difflugid,Any member of the family Difflugidae of amoebae.
digamasellid,Any member of the Digamasellidae.
diguetid,Any member of the Diguetidae.
dilophosaurid,Any member of the family Dilophosauridae of dinosaurs.
dimeroceratid,Any member of the Dimeroceratidae.
dimorphid,Any member of the Dimorphidae.
dimorphoceratid,Any member of the Dimorphoceratidae.
dimorphodontid,Any member of the Dimorphodontidae.
dimyarian,Any of the Dimya.
dimyid,Any member of the Dimyidae.
dinichthyid,Any member of the Dinichthyidae.
dinomyid,Any member of the Dinomyidae.
dinopid,Any member of the Dinopidae.
dinornithid,Any member of the Dinornithidae.
diodontid,Any member of the family Diodontidae of porcupine fish.
diogenid,Any member of the Diogenidae.
diomedeid,Any member of the Diomedeidae (the family of albatrosses).
diopsid,Any member of the Diopsidae.
dioptid,Any member of the Dioptidae.
diplectanid,"Any member of the Diplectanidae, a family of monopisthocotylean monogenean flatworms"
diplobiont,Any organism in which haploid and diploid generations alternate
diplobios,"organisms which spend part of their life in one medium, part in another, considered collectively"
diplocaulid,Any member of the Diplocaulidae.
diplocercid,Any member of the Diplocercidae.
diplodactylid,Any member of the family Diplodactylidae.
diplodocid,Any member of the family Diplodocidae of large dinosaurs.
diploid,An organism with diploid cells.
diplommatinid,Any member of the Diplommatinidae.
diplomystid,Any member of the Diplomystidae.
diplont,An organism having a diploid number of chromosomes in its cells
diplotriaenid,Any member of the Diplotriaenidae.
diplurid,Any member of the family Dipluridae of funnel-web tarantulas.
dipnorhynchid,Any member of the Dipnorhynchidae.
dipodid,Any member of the Dipodidae.
diprionid,Any member of the Diprionidae.
diprotodontid,"Any member of the family Diprotodontidae of extinct large marsupials, similar to wombats in form."
diretmid,Any member of the Diretmidae.
discid,Any member of the Discidae.
discina,Any member of the brachiopod genus Discina.
discinid,Any member of the Discinidae.
discocone,"An organism or fossil with a discoconic shell, or the shell itself."
discoglossid,Any member of the Discoglossidae.
discoglossidean,Any of the family Discoglossidae of primitive frogs.
discophore,Any of the Discophora.
discosauriscid,Any member of the Discosauriscidae.
