term,definition
ianthinite,"An orthorhombic-pyramidal mineral containing hydrogen, oxygen, and uranium."
ichnusaite,A radioactive thorium molybdate mineral found on Sardinia
icosahedrite,"A mineral, Al63Cu24Fe13, that represents the only known natural occurrence of quasicrystals."
idaite,"A hexagonal-dihexagonal dipyramidal mineral containing copper, iron, and sulfur."
iddingsite,A mixture of clay minerals and iron oxides formed by alteration of olivine
idiomorph,Any idiomorphous mineral.
idrialite,"A soft, orthorhombic hydrocarbon mineral, usually greenish-yellow to light brown in colour with bluish fluorescence."
ikaite,"A saline evaporite, consisting of hydrated calcium carbonate with the chemical formula CaCO36H2O, found in cold marine waters."
ikranite,"A trigonal-ditrigonal pyramidal brownish yellow mineral containing calcium, cerium, chlorine, fluorine, hafnium, hydrogen, iron, lanthanum, manganese, neodymium, niobium, oxygen, potassium, silicon, sodium, strontium, titanium, and zirconium."
ikunolite,"A trigonal-hexagonal scalenohedral lead gray mineral containing bismuth, selenium, and sulfur."
ilesite,"A monoclinic-prismatic mineral containing hydrogen, iron, manganese, oxygen, sulfur, and zinc."
ilinskite,"An orthorhombic-dipyramidal emerald green mineral containing chlorine, copper, oxygen, selenium, and sodium."
illite,A micaceous phyllosilicate clay mineral with aggregates of grey or white monoclinic crystals.
ilmajokite,"A monoclinic mineral containing barium, cerium, hydrogen, lanthanum, oxygen, silicon, sodium, and titanium."
ilmenite,"A weakly magnetic dark gray mineral found in metamorphic and igneous rocks; it is a mixed oxide of iron and titanium, FeTiO3"
ilsemannite,"An amorphous mineral containing hydrogen, molybdenum, and oxygen."
iltisite,"A hexagonal-trapezohedral mineral containing bromine, chlorine, mercury, silver, and sulfur."
ilvaite,"A black, crystalline sorosilicate of iron and calcium"
imandrite,"An orthorhombic-dipyramidal honey yellow mineral containing calcium, iron, oxygen, silicon, and sodium."
imgreite,A hexagonal-dihexagonal dipyramidal pale rose red mineral containing nickel and tellurium.
imhofite,"A monoclinic-prismatic copper red mineral containing arsenic, copper, sulfur, and thallium."
imiterite,"A monoclinic-prismatic white-gray mineral containing mercury, silver, and sulfur."
imogolite,An aluminium silicate clay mineral found in soils formed from volcanic ash.
inaglyite,"A hexagonal-dipyramidal steel gray mineral containing copper, iridium, lead, platinum, and sulfur."
incaite,"A triclinic-pinacoidal lead gray mineral containing antimony, iron, lead, sulfur, and tin."
inclusion,"Any material that is trapped inside a mineral during its formation, as a defect in a precious stone."
inderborite,"A monoclinic-prismatic mineral containing boron, calcium, hydrogen, magnesium, and oxygen."
inderite,"A monoclinic-prismatic mineral containing boron, hydrogen, magnesium, and oxygen."
indialite,"A hexagonal-dihexagonal dipyramidal mineral containing aluminum, magnesium, oxygen, and silicon."
indianaite,A variety of halloysite found in Indiana.
indigirite,"A monoclinic snow white mineral containing aluminum, carbon, hydrogen, magnesium, and oxygen."
indite,An extremely rare indium-iron sulfide mineral.
inesite,"A triclinic-pinacoidal mineral containing calcium, hydrogen, manganese, oxygen, and silicon."
ingersonite,"A trigonal-trapezohedral brownish yellow mineral containing antimony, calcium, fluorine, iron, magnesium, manganese, and oxygen."
ingodite,"A trigonal-hexagonal scalenohedral silver white mineral containing bismuth, sulfur, and tellurium."
innelite,"A triclinic-pedial mineral containing barium, calcium, fluorine, hydrogen, magnesium, oxygen, potassium, silicon, sodium, sulfur, and titanium."
