term,definition
ice climbing,The activity of ascending inclined ice formations.
ice fishing,The practice of fishing through a hole cut in the ice.
ice swimming,The practice of swimming in a gap or hole in the ice of an iced-over body of water
iceboating,The act of travelling in a iceboat.
ichthyotherapy,"The use of fish for therapeutic treatment, especially for cleaning wounds."
icing,The process of forming a layer of ice on a surface.
iconometry,"The measurement of icons and their proportions etc., in religious art."
identification,"The act of identifying, or proving to be the same"
identifying,An act of identification
ideography,The use of ideograms; logography.
ideologization,The process of ideologizing; conversion into an ideology.
idiomatization,"The process of making a term idiomatic 2007 August 15, WayneA.Davis, Replies to Green, Szab, Jeshion, and Siebel, in Philosophical Studies, volume 137, number 3, DOI:10.1007/s11098-007-9128-6:On the other hand, the only processes that could directly give a sentence new meanings (idiomatization, stipulation) would not give its components new meanings."
idolization,"The act of idolizing, adoring or worshiping, especially to excess."
ignition,The act of igniting.
ignoration,"The action of ignoring something, or the state of being ignored"
ignoring,The act by which something is ignored
ignorization,The act of ignorizing
ijtihad,The process of Muslim jurists making a legal decision by independent interpretation of the Qur'an and the Sunna.
illaqueation,The process of pulling away an inverted eyelash by passing a loop of thread behind it.
illation,"The act of inferring or concluding, especially from a set of premises; a conclusion, a deduction"
illeism,The practice of (excessively) referring to oneself in the third person
illinition,Act of smearing or rubbing in or on.
illumination,"The act of illuminating, or supplying with light; the state of being illuminated."
illusionism,The use of illusionary effects in sculpture and art.
illustration,"The act of illustrating; the act of making clear and distinct; education; also, the state of being illustrated, or of being made clear and distinct."
image magic,"The use of visual or plastic representations of people, spirits etc., for magical purposes"
imaging,The use of mental images to alter a person's perceptions or behaviors.
imbibing,The act by which something is imbibed
imbibition,The act of imbibing.
imbition,The act of imbibing or drinking
imbruement,The act of imbruing or state of being imbrued.
imbrutement,"The act of imbruting, or the state of being imbruted"
imbuement,"The act of imbuing, or state of being imbued."
imitation,The act of imitating.
immanentization,The process of immanentizing.
immersion,The act of immersing or the condition of being immersed
immigration,The act of immigrating; the passing or coming into a country of which one is not native born for the purpose of permanent residence
immiseration,"The process of making miserable, especially of a population as a whole; impoverishment"
immiserization,The act of immiserating
immission,The act of immitting; injection or infusion
immitanciometry,The measurement of acoustic immitance
immolation,"The act of immolating, or the state of being immolated, or sacrificed"
immortalization,"The act of immortalizing, or state of being immortalized."
immunization,The process by which an individual is safely exposed in a controlled manner to a material that is designed to prime their immune system against that material
immunoblotting,The use of immunoblots to analyse proteins.
immunocontraception,The use of an immune response to facilitate contraception
immunocytofluorescence,The use of immunofluorescence to label cells
immunodetection,The use of antibodies to identify proteins or other chemicals
immunoelectron microscopy,The use of electron microscopy to study aspects of the immune system
immunoelectrotransfer,"The use of electroporation in immunology 2015 August 18, Kabemba E"
immunoendoscopy,The use of endomicroscopy to detect specific proteins via labelled antibodies
immunohistofluorescence,The use of histofluorescence in immunology
immunohistomorphometry,The use of immunological techniques in histomorphometry
immunohybridization,The use of hybridization chain reactions in immunology
immunolocalization,The use of immunological techniques to identify the location of molecules or other structures within cells or tissues
immunonephelometry,The use of nephelometry in the characterisation of antigens and antibodies
immunophotodetection,The use of photodetection in immunology
immunoprevention,The use of the immune system to prevent disease
immunopurification,"The use of immunological techniques to purify proteins, antigens etc"
immunosensing,The use of an immunosensor
immunovaccinology,"The use of the techniques of immunology (and, particularly, immunoinformatics) in the field of vaccine discovery"
immunovisualization,The use of Southern blot analysis (or related techniques) in immunology
immuring,The act of walling up
impalement,The act of torturing or executing someone by impaling them on a sharp stake.
impaling,The act of something being impaled
impartation,"the act of imparting something, or the thing imparted"
impartment,"The act of imparting something, or the thing imparted; disclosure"
impastation,The act of making into paste.
impasto,The use of a thick-bodied paint to create sizable peaks and crests in an image.
impeachment,The act of calling into question or challenging the accuracy or propriety of something
impedance,The act of impeding; that which impedes; a hindrance
imperialization,The process of imperializing.
imperilment,"The act of imperiling, or the state of being imperiled."
impermeabilization,The act of impermeabilizing
impersonalization,The process of making something impersonal.
impersonation,the act of impersonating
impingement,The act of impinging.
implantation,The act of inserting a medical implant.
impleadment,"The act of impleading, or the state of being impleaded"
implementation,The process of moving an idea from concept to reality
impletion,An act of filling; the state of being full
implication,The act of implicating.
implicitization,The act of rendering something implicit
imploration,"The action of imploring; begging, beseeching."
imploring,The act of one who implores; imploration
implosion,The action of imploding.
import,The practice of importing.
importuning,The act by which somebody is importuned; pleading harassment
imposal,The act of imposing; imposition
imposition,"The act of imposing, laying on, affixing, enjoining, inflicting, obtruding, and the like."
impoundage,The act of impounding.
impounding,An act of impoundment.
impoundment,The act of impounding
impoverishment,The action of impoverishing someone.
imprecation,"The act of imprecating, or invoking evil upon someone; a prayer that a curse or calamity may befall someone"
impregnation,The act of making pregnant; fertilization.
impress,The act of impressing.
impress,"The act of impressing, or taking by force for the public service; compulsion to serve; also, that which is impressed"
impressment,The act of seizing for public use; impressing into public service
improbation,The act by which falsehood and forgery are proved; an action brought for the purpose of having some instrument declared false or forged
impropriation,"The act of impropriating; putting an ecclesiastical benefice or tithes in the hands of a layman, or lay corporation"
improvement,"The act of improving; advancement or growth; a bettering (Can we date this quote by Robert South and provide title, author's full name, and other details?) I look upon your city as the best place of improvement"
improvement,"The act of making profitable use or application of anything, or the state of being profitably employed; practical application, for example of a doctrine, principle, or theory, stated in a discourse"
improvisation,"The act of improvising, acting or going about something without planning ahead 2012 September 15, Amy Lawrence, Arsenal's Gervinho enjoys the joy of six against lowly Southampton, in the Guardian[1]:The Ivorian is a player with such a liking for improvisation it does not usually look like he has any more idea than anyone else what he is going to do next, so it was an interesting choice."
impugnation,The act of impugning
impugnation,The act of appealing or revoking
impugnment,"The act of impugning, or the state of being impugned"
impulse buying,The act of making unplanned or otherwise spontaneous purchases
impulsion,"The act of impelling or driving onward, or the state of being impelled; the sudden or momentary agency of a body in motion on another body; also, the impelling force, or impulse."
imputation,The act of imputing or charging; attribution; ascription.
in-and-out trading,The practice of buying shares and then selling them shortly afterward
in-office imaging,"The use of medical diagnostic devices in the office of a treating physician, not relying on an outside service."
in-tray exercise,The use of a simulated in-tray for training potential employees
inactivation,The process of rendering something inactive.
inattention,An act of neglect; failure of courtesy.
inauguration,"The act of inaugurating, or inducting into office with solemnity; investiture by appropriate ceremonies."
inbreaking,The act of breaking in; incursion; invasion; inroad.
incapacitation,The act of incapacitating or state of being incapacitated; incapacity; disqualification
incarceration,"The act of confining, or the state of being confined; imprisonment."
incardination,The act of incardinating.
incarnation,The act of incarnating.
incarnification,"The act of assuming, or state of being clothed with, flesh; incarnation."
incatenation,The act of linking together; enchaining
incavation,The act of making hollow.
incension,"The act of kindling, or the state of being kindled or on fire"
inceration,The act of smearing or covering with wax
incidence,The act of something happening; occurrence.
incineration,"The act of incinerating, or the state of being incinerated; cremation."
incision,The act of cutting into a substance
incitation,The act of inciting or moving to action.
incivility,Any act of rudeness or ill-breeding
inclinometry,The measurement of the Earth's magnetic field by means of an inclinometer
includence,"The act of including; a receiving of something offered, with acquiescence, approbation, or satisfaction; especially, favourable reception; approval."
inclusion,"The act of including, i.e"
inclusivism,"The practice of incorporating disparate or unreconciled elements in a single, inclusive system or theory."
incoming,The act of coming in; arrival.
incorporation,"The act of incorporating, or the state of being incorporated."
incorporation,The act of creating a corporation.
incrassation,The process of thickening.
increment,The action of increasing or becoming greater
incrimination,The act of incriminating someone; accusation
incrustation,"The act of incrusting, or the state of being incrusted."
incurrence,the act of incurring something
incurvation,The act of acquiring or being given a curved form; an instance of curving or bending
indentation,The act of indenting or state of being indented.
indentation,"The act of beginning a line or series of lines at a little distance within the flush line of the column or page, as in the common way of beginning the first line of a paragraph."
indention,The act of indenting a line of text by including blank space at the beginning Synonym: indentation
indication,Act of pointing out or indicating.
indigenization,"The fact of making something more native; transformation of some service, idea etc"
indigitation,The act of pointing out with or as if with the finger; indication.
indirect kiss,"The act of kissing an object that someone else kissed recently, symbolizing a kiss between the two people."
indirection,Use of a variable or object through its address.
indistinction,The fact of not distinguishing or making distinctions; failure to perceive or make a difference.
inditement,The act of inditing or composing; composition
individualization,The act of individualizing; the state of being individualized.
individuation,The process of individuating or individualizing.
indoctrination,"The act of indoctrinating, or the condition of being indoctrinated"
indrift,The act of indrifting
