term,definition
iatrogenicity,The quality of being iatrogenic.
icelessness,Absence of ice.
iconotextuality,The quality of being iconotextual.
idealessness,Absence of ideas.
idealism,The property of a person of having high ideals that are usually unrealizable or at odds with practical life.
ideallessness,Absence of ideals.
idempotence,A quality of an action such that repetitions of the action have no further effect on outcome being idempotent.
identifiability,The quality of being identifiable.
identitylessness,Absence of identity
idiomaticity,The quality of being idiomatic.
idiosyncraticity,The quality of being idiosyncratic
idolatrousness,The quality of being idolatrous.
ignorability,The quality of being ignorable.
ill-being,"Lack of prosperity, happiness, or health."
ill-formedness,The property of being ill-formed.
illegalness,The quality of being illegal.
illegitimateness,Quality of being illegitimate.
illicitness,The characteristic of being illicit.
illimitability,Quality of being illimitable.
illimitableness,The quality of being illimitable; absence of limits.
illimitation,Lack of limitations; freedom from checks or restraints
illimitedness,Absence of bounds or limits
illiterateness,Quality of being illiterate.
illogic,Lack of logic; unreasonableness; a fallacy
illogicalness,The quality of being illogical.
illusionlessness,Absence of illusion.
illusiveness,The quality of being illusive; deceptiveness; false show.
illusoriness,The quality of being illusory.
imageability,A property of a word indicating how easily a person can form an associated mental image.
imagelessness,Absence of images.
imaginability,The quality of being imaginable
imaginableness,The quality of being imaginable.
imaginativeness,The characteristic of being imaginative.
imbalance,The property of not being in balance
imbecility,"The quality of being imbecile; weakness; feebleness, especially of mind."
immaculateness,The characteristic of being immaculate; spotlessness.
immarcescibility,The quality of being immarcescible
immediacy,"The quality of being immediate, of happening right away."
immediacy,Lack of mediation; directness.
immenseness,The property of being immense.
immensurability,The quality of being immensurable.
immerit,Lack of worth; demerit
immersiveness,The quality or degree of being immersive
immersivity,The quality of being immersive.
immethodicalness,Lack of method; the quality of being immethodical.
imminentness,The quality of being imminent.
immitigability,The quality of being immitigable.
immobility,The quality of not moving
immoderacy,The quality of being immoderate
immoderateness,"The quality of being immoderate, lack of moderation or temperance."
immoderation,Lack of moderation.
immotility,a lack of motility; the inability to move
immovableness,The quality of being immovable
