term,definition
iDollator,One who prefers a love doll over a normal human relationship
iambist,One who writes in iambic meter.
iatrochemist,Someone who practiced iatrochemistry
iatromathematician,Someone who studies iatromathematics; a physician applying a mathematical theory of medicine
ice swimmer,one who participates in ice swimming
iceboater,Someone who travels by iceboat.
icer,One who ices
ichnologist,One who studies trace fossils.
ichthyoplanktologist,One who studies ichthyoplanktology
ichthyotomist,One who carries out ichthyotomy.
iconoclast,"One who destroys religious images or icons, especially an opponent of the Orthodox Church in the 8th and 9th centuries, or a Puritan during the European Reformation"
iconoclast,One who opposes orthodoxy and religion; one who adheres to the doctrine of iconoclasm
iconoclast,One who attacks cherished beliefs.
iconographer,One who creates (religious) icons
iconolater,One who worships images.
iconologist,One who studies iconology.
iconomachist,One who opposes the worship of images or idols.
idealist,One who adheres to idealism.
idealist,Someone whose conduct stems from idealism rather than from practicality.
idealogue,"Someone who espouses a particular ideology, particularly a political one."
ideator,"One who ideates; one who holds or generates an idea, or synthesizes a concept"
identifier,Someone who identifies; a person who establishes the identity of
identifier,Something that identifies or uniquely points to something or someone else
identitarian,One who supports the theory of identitarianism.
ideologist,One who theorizes or idealizes; one who advocates the doctrines of ideology
ideologizer,One who ideologizes
idiophonist,Someone who plays an idiophone musical instrument.
idiotist,"One who is idiotist (either sense) 1917, The Quest - Volume 8, Part 2, page 442:...might not inappropriately be called idiotists, for they assuredly reveal their incapacity for cosmopolitan responsibility and the high duties of world citizens"
idler,One who idles; one who spends his or her time in inaction.
idler,One who idles; a lazy person; a sluggard.
idolater,One who worships idols; (historical) a pagan
idolizer,One who idolizes
ignorant,One who is ignorant.
ignorer,One who ignores
ignostic,One who holds to ignosticism.
ill-wisher,Someone who wishes harm on someone else.
illeist,Someone who refers to himself or herself in the third person.
illuminant,Something that illuminates.
illuminator,Agent noun of illuminate; one who illuminates; an explainer.
illuminer,"One who, or that which, illuminates."
illuminist,"Someone who subscribes to the doctrine of illuminism, or who claims to have achieved spiritual illumination; one of the Illuminati"
illusionist,One who works with illusion or sleight of hand.
illusionist,One who deceives by magical or mystical means.
illwisher,One who wishes somebody ill.
imagemaker,One who produces pictures or photographs.
imagemaker,One who develops another person's public image
imager,One who images or forms likenesses; a sculptor.
imaginer,One who imagines (something)
imam,One who leads the salat prayers in a mosque.
iman,One who has the Islamic faith and is a mu'min (believer).
imbiber,"one who imbibes, who drinks, especially alcoholic beverages."
imbitterer,"One who, or that which, imbitters."
imbuer,One who imbues.
imitator,One who imitates or apes another
immerser,"One who immerses, as for example one who carries out baptism by immersion."
immigrationist,One who favours immigration
immolator,One who offers in sacrifice.
immortal,One who is not susceptible to death.
immortalist,One who holds the doctrine of the immortality of the soul
immortalizer,One who immortalizes something.
immunizer,One who immunizes.
immunobiologist,One who studies immunobiology.
immunohematologist,One who works in the field of immunohematology
immunopathologist,One who studies immunopathology.
immunopharmacologist,One who studies immunopharmacology.
immutable,something that cannot be changed
impacter,One who or that which makes an impact
impairer,"One who, or that which, impairs."
impaler,One who impales
imparter,One who imparts
impartialist,Someone who is or pretends to be impartial.
impeacher,One who impeaches
impeder,One who impedes.
impending,Something that impends or threatens; an expected event
impenitent,One who is not penitent.
