Unnamed: 0,term,pos,definition,domain,plural,plurality_of_term,obsolete,archaic,abbreviation,abbreviation_for_term,slang,misspelling,misspelling_for_term,initialism,initialism_for_term,vulgar,synonym,synonym_for_term,attribute,property,process,matter,role,measure,units,body,main_noun_nltk,main_noun_maria
136,ibacitabine,Noun,A particular antiviral drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
137,ibafloxacin,Noun,A quinolone antibiotic drug used in veterinary medicine.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
142,ibandronic acid,Noun,A bisphosphonate drug used in the prevention and treatment of osteoporosis.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
159,ibodutant,Noun,A candidate drug for irritable bowel syndrome diarrhea.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
161,ibogaine,Noun,"A naturally-occurring psychoactive compound found in a number of plants, principally iboga, and used for medicinal and ritual purposes in African spiritual traditions of the Bwiti.",biochemistry,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,compound,compound
173,ibrotamide,Noun,A sedative and hypnotic drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
175,ibudilast,Noun,An anti-inflammatory drug that acts as a phosphodiesterase inhibitor.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
179,ibuproxam,Noun,A nonsteroidal anti-inflammatory drug.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
192,icatibant,Noun,A peptidomimetic drug used for the symptomatic treatment of acute attacks of hereditary angioedema.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,drug,drug
200,ice,Noun,Any substance having the appearance of ice.,uncountable,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
791,ichthidin,Noun,A substance from the egg yolk of osseous fishes.,,False,,False,False,False,,False,False,,False,,False,False,,False,False,False,True,False,False,False,False,substance,substance
