Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body
3536,imidamine,Noun,"The aromatic derivative of imidazole N-(4,5-dihydro-1H-imidazol-2-ylmethyl)-N-(phenylmethyl)aniline that is a histamine antagonist"," organic chemistry, medicine",,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3551,imidazole,Noun,A group of compounds containing that structure., organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3597,imidic acid,Noun,Any compound derived from an oxoacid by replacing =O with =NR; they are tautomeric with amides., chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3599,imidine,Noun,any analogue of a cyclic acid anhydride in which each =O is replaced by =NR and -O- by -NR-, chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3638,iminobiotin,Noun,A derivative of biotin in which the guanidine carbonyl group (C=O) is replaced by that of an imine (C=NH), organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3640,iminocyclitol,Noun,"Any imino derivative of a cyclitol, some of whose derivatives are glycosidase inhibitors", organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3644,iminodiacetic acid,Noun,The compound HN(CH2CO2H)2 whose ionic form is a tridentate ligand, organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3645,iminodiethanol,Noun,The compound diethanolamine., organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3657,iminoketene,Noun,Any imino derivative of a ketene (N=C=C=O), organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3664,iminophenol,Noun,"The alicyclic compound 6-imino-2,4-cyclohexadien-1-ol", organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3665,iminophosphine,Noun,Any imino derivative of an organic phosphine, organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3667,iminophosphorane,Noun,"Any imino derivative of a phosphorane, having general formula R3P=N-R", organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3669,iminoquinone,Noun,Any compound formally derived from a quinone by replacing one carbonyl group (C=O) with an imine (C=NH or C=N-R), organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
3670,iminoribitol,Noun,An imino derivative of ribitol., organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
10119,indenopyrazole,Noun,Any compound containing an indene fused to a pyrazole ring, organic chemistry,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,True,False,False,False,False
