Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure
2112,ignitability,Noun,A measure of the extent to which something is ignitable., countable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
3999,immiscibility,Noun,A measure of the degree to which a mixture of components is immiscible., countable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
4229,immunoabsorbance,Noun,A measure of immunoabsorption, immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
4989,immunoreactivity,Noun,A measure of the immune reaction caused by an antigen.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
5634,impedance,Noun,"A measure of the opposition to the flow of an alternating current in a circuit; the aggregation of its resistance, and inductive and capacitive reactances; the ratio of voltage to current treated as complex quantities.", physics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
5636,impedance,Noun,"a measure of the opposition caused by differences between two paradigms, especially between object-oriented development and relational databases 1997, Bhavani M"," by analogy, software engineering, usually with mismatch","Thuraisingham, Data Management Systems: Evolution and Interoperation ISBN, CRC Press, page 33: Some argue that having impedance mismatch is difficult for programming intensive applications. 2002, Jim Melton, Advanced SQL:1999: Understanding Object-Relational and Other Advanced Features ISBN, Morgan Kaufmann, page 353: But the impedance mismatch between SQL and Java was no better than between SQL and other languages. 2004, Scott W. Ambler, The Object Primer: Agile Model-Driven Development with UML 2.0 ISBN, Cambridge University Press, page 442: Why does a technological impedance mismatch exist?",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
7333,in-tray,Noun,The amount of new work yet to be done., by extension,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
8276,incendivity,Noun,A measure of the extent to which something is incendive, countable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
8437,inch,Noun,"The amount of water which would cover a surface to the depth of an inch, used as a measurement of rainfall.", meteorology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
8438,inch,Noun,The amount of an alcoholic beverage which would fill a glass or bottle to the depth of an inch.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,True
