Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive
2636,illegal,Adjective,Being or doing something illegally," of a person, sometimes offensive",illegal immigrant; illegal logger; illegal pilot,False,False,False,False,False,True
2637,illegal,Adjective,Being an illegal immigrant; residing in a country illegally.," chiefly US, sometimes offensive",,False,False,False,False,False,True
2640,illegal,Noun,An illegal immigrant.," colloquial, offensive",,False,False,False,False,False,True
2642,illegal alien,Noun,A person who is within the boundaries of a political state without the authorization of the government of that state; a national of another country who has entered or stayed without permission., sometimes offensive,,False,False,False,False,False,True
2648,illegal immigrant,Noun,Someone who has immigrated into a country by bypassing customs and immigration controls," countable, sometimes offensive","2013 September 2, Katherine Timpf, UCLA student government looks to ban term illegal immigrant, in Campus Reform:The undergraduate student government at the University of California-Los Angeles (UCLA) unanimously passed a resolution Tuesday calling for the end of the use of the phrase illegal immigrant, saying it violates human rights guaranteed by the U.S. Constitution. / The racially derogatory I-word endangers basic human rights including the presumption of innocence and the right to due process guaranteed under the U.S. Constitution, the resolution states. / The resolution came in response to undocumented students who had expressed their concerns and fear with the recent appointment of Janet Napolitano, former US Secretary of Homeland Security, as the new University of California president.",False,False,False,False,False,True
4737,deaf-mute,Adjective,Unable to hear or speak., now offensive,,False,False,False,False,False,True
4738,deaf-mute,Noun,A person who is unable to hear or speak., now offensive,,False,False,False,False,False,True
4740,deaf aid,Noun,A hearing aid.," Britain, offensive",,False,False,False,False,False,True
4741,deaf aid,Noun,A person wearing a hearing aid," Britain, offensive","2006, Life on Mars, Series 1, Episode 2: Gene Hunt: Oi, he said stop right there, deaf aid!",False,False,False,False,False,True
4743,deaf and dumb,Adjective,Deaf and not able to speak., now offensive,,False,False,False,False,False,True
14360,deniggerization,Noun,"The act or process of deniggerizing; the amelioration of the negative aspects of niggers, or cancellation of the stereotype's effect on blacks and others."," offensive, ethnic slur",,False,False,False,False,False,True
14361,deniggerize,Verb,"To raise (a black person, etc.) above the traditional negative racist stereotypes"," transitive, ethnic slur, sometimes offensive","1996, Carl Upchurch, Convicted in the womb: one man's journey from prisoner to peacemaker:A broad spectrum of African-Americans have used education to deniggerize themselves [] 2000, Iceberg Slim, The Naked Soul of Iceberg Slim, page 89:But Al had accused Holly of going beyond the wishing to live the delusion that she had escaped the trap of blackness and had become an adored equal in a racist white world that considered her deniggerized and no longer tainted [] 2003, Keith Gilyard, Liberation memories: the rhetoric and poetics of John Oliver Killens, page 140:Included in Killens's attempt to change or deniggerize the world was a continual verbal assault on literary, media, and educational establishments relative to their collectively abysmal record of promoting positive Black images.",False,False,False,False,False,True
14362,deniggerize,Verb,To free from black people or their influence," transitive, ethnic slur, sometimes offensive","2010, Stuart Buck, Acting White: The Ironic Legacy of Desegregation[1], page 85:In some areas black schools were integrated only after insulting efforts to 'deniggerize' the school were carried out (replacement of all toilet seats, fumigation of the school, etc.",False,False,False,False,False,True
26581,dilettante,Noun,A person with a general but superficial interest in any art or a branch of knowledge., sometimes offensive,,False,False,False,False,False,True
38306,dogan,Noun,"A Roman Catholic, especially one of Irish origin.[1] 2006, Terrence Rundle West, Run of the Town, ISBN, p"," chiefly Canada, offensive","45 (Google preview): I turned, expecting to see some skirted, leering priest with a crucifix in his hands summoning us into his dogan den.",False,False,False,False,False,True
38420,doggess,Noun,A very insulting term for a woman," uncommon, offensive","2007 August 7, Michael M. Grynbaum, Its a Female Dog, or Worse. Or Endearing. And Illegal?, in New York Times[1]:Ten rappers were cited in the legislation, along with an excerpt from an 1811 dictionary that defined the word as A she dog, or doggess; the most offensive appellation that can be given to an English woman. 2011, in Sense and Sensuality: Erotic Fantasies in the World of Jane Austen, page 13: She snatched up the spellbook, tucked it into her reticule, and turned back to-ward the house. I shall leave you to find your own way home. Mar-all! The demon shouted at her back. Doggess! You'll not be rid of me so easy!",False,False,False,False,False,True
50441,dwarf,Noun,"A person of short stature, often one whose limbs are disproportionately small in relation to the body as compared with normal adults, usually as the result of a genetic condition", now often offensive,"Synonyms: midget, pygmy (imprecise) Antonyms: ettin, giant",False,False,False,False,False,True
2808,queerlord,Noun,A homosexual person.," derogatory, offensive",,False,False,False,False,False,True
