Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,archaic,slang,vulgar,abbreviation,abbreviation_for_term,plural,plurality_of_term,misspelling,misspelling_for_term,initialism,initialism_for_term,synonym,synonym_for_term,attribute,property,process,matter,role,instance
467,ice run,Noun,The instance of river ice breaking apart and running downstream in the spring.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
2809,illness,Noun,An instance of a disease or poor health, countable,Her grandmother had passed away after a long illness.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6005,impertinence,Noun,An instance of this; a moment of being impertinent., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7027,improvisational comedy,Noun,An instance of such theatre.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
12863,inflorescence,Noun,An instance of a plant beginning to flower.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
14771,inlining,Noun,An instance of in-line expansion.," computing, programming",,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
16852,instruction,Noun,An instance of the information or knowledge so furnished, countable,(Can we date this quote?) William Shakespeare If my instructions may be your guide.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
23418,intumescence,Noun,"an instance of such swelling 1755, Samuel Johnson, A Dictionary of the English Language, 10: ...but there are other causes of change, which, though slow in their operation, and invisible in their progress, are perhaps as much superior to human resistance, as the revolutions of the sky, or intumescence of the tide.", countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
25799,irregularity,Noun,An instance of being irregular., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
27819,isotopism,Noun,An instance of an isotopic state, mathematics,"2015, gota Figula, Geodesic loops with non-solvable left translation groups on 3 {\displaystyle 3} -dimensional reductive spaces, in (Please provide the book title or journal name)[1]:The other class C 2 {\displaystyle {\mathcal {C}}_{2}} of loops consists of 3 {\displaystyle 3} -dimensional connected differentiable left A-loops such that the group G = P S L 2 ( R ) R 3 {\displaystyle G=PSL_{2}(\mathbb {R} )\ltimes \mathbb {R} ^{3}} is the group topologically generated by the left translations The loops in this class can be represented by two real parameters a , b {\displaystyle a,b} and form precisely two isomorphism classes, which coincide with the isotopism classes.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
3506,daydreaming,Noun,An instance of daydreaming; a daydream or reverie.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
6823,deception,Noun,An instance of actions and/or schemes fabricated to mislead someone into believing a lie or inaccuracy.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7613,decoding,Noun,An instance of the translation of something into a form more suitable for subsequent processing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
10669,degloving,Noun,An instance of skin being degloved.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
16671,derail,Noun,An instance of diverting a conversation or debate from its original topic.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
16688,derailment,Noun,An instance of diverting a conversation or debate from its original topic.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
16741,deranking,Noun,An instance of deranking.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
17674,descent,Noun,An instance of descending; act of coming down,,"We climbed the mountain with difficulty, but the descent was easier. 2012, July 15. Richard Williams in Guardian Unlimited, Tour de France 2012: Carpet tacks cannot force Bradley Wiggins off track The next one surrendered his bike, only for that, too, to give him a second flat as he started the descent.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
21303,dew,Noun,"An instance of such moisture settling on plants, etc"," countable, but see usage notes",There was a heavy dew this morning.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
27237,diminutivization,Noun,an instance of such a process, linguistics,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
36136,dittograph,Noun,An instance of dittography in a text.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
39610,don't argue,Noun,An instance of fending off an opponent by holding an arm out straight and pushing in their chest, Australian rules football,"2017 Angus Reid, ""How many 'don't argues' will Dustin Martin pull off in the AFL grand final?"" Sporting News, 30 September 2017. Accessed 23 August 2018.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
41639,double deal,Noun,An instance of double dealing.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
41949,doublecross,Noun,An instance of betrayal of one who has been led to believe that the betrayer was assisting thim.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
43820,dragging,Noun,An instance of something being dragged,,"1914, Charles Edward Morrison, Earth Roads, page 24:As a result, after the first few draggings it is found that the surface becomes constantly smoother and harder and little rain remains on the roadway",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
44874,dreaming,Noun,An instance of dreaming; a dream or reverie.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
46327,drooping,Noun,An instance of something drooping.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
46338,drop,Noun,"An instance of dropping supplies or making a delivery, sometimes associated with delivery of supplies by parachute",,The delivery driver has to make three more drops before lunch.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
46606,dropdown,Noun,An instance of a selection object that hides the contents (especially the other choices) until activated," computing, graphical user interface","That screen is good, but add a couple of dropdowns and it will be perfect.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
46916,drowning,Noun,An instance of a person or animal drowning,,It's dangerous to swim in that river there were three drownings there last year.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
48209,ducking,Noun,"An instance of ducking (a person in water, etc)", countable,They gave him a ducking in the river as a punishment.,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
250,quackery,Noun,An instance of practicing fraudulent medicine., countable,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1168,qualify,Noun,An instance of throwing and catching each prop at least twice., juggling,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
1949,occurring,Noun,An instance of something occurring; an event or happening,,"2016, Janet Banfield, Geography Meets Gendlin While it was noted above that the interaffecting of the present by the occurrings and implyings of the past provides a means of generating a sense of a personal past through the accumulation of bodily-relevant occurrings and implyings, []",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
7256,one-hit wonder,Noun,An instance of getting high off the first hit., marijuana subculture,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
19192,overbooking,Noun,An instance of selling or guaranteeing more seats than are available.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
19198,overboost,Noun,An instance of overboost, countable,"1989, Operator's Manual: Army Models U-8D, RU-8D, and U-8G Aircraft:Manifold pressure exceeding the limit lines shown in figure 5-2, constitutes an overboost. 2013, Robert Foskett, Alfa Romeo 916 GTV and Spider: The Complete Story, ISBN:By delaying opening of the wastegate, the ECU could generate an overboost at full throttle, increasing boost pressure to 1.1bar, for a peak power delivery of 230bhp in short bursts of up to 30sec at a time. 2016, Phil Croucher, Private Helicopter Pilot Studies JAA BW, ISBN, page 3-55:Also, be careful you don't get an overboost or too much RPM when you reselect cold.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
19628,overcoding,Noun,An instance of overcoding, semiotics,"1987, Occasional Papers in Translation and Textlinguistics: OPTAT.:Identification of the semantic status of overcodings is a necessary preliminary to translation because it serves to identify those inferences which it will be necessary to supply in the shape of informal translation (in this case, in the shape of supplementation of the formal translation). 1996, Philip Goodchild, Deleuze and Guattari: An Introduction to the Politics of Desire, ISBN:Representation is established through successive overcodings, and the meaning of a phenomenon is given by the dominant overcoding, through a process of one code (or signifier) replacing another. 2002, Samuel Lyndon Gladden, Shelley's Textual Seductions: Plotting Utopia in the Erotic and Political Works, ISBN, page 1:The story of Sade reminds us of the overcodings of eroticism and politics, particularly in turbulent times and acrss highly contested political terrain.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
20560,overfill,Noun,An instance of overfilling.,,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
20781,overgeneralization,Noun,An instance of overgeneralizing, countable,"2000 January 28, Keith Kloor, RESTORATION ECOLOGY:Returning America's Forests to Their 'Natural' Roots, in Science[3], volume 287, number 5453, DOI:10.1126/science.287.5453.573, pages 573-575:It's an overgeneralization to say that everywhere you look is the hand of man in the presettlement era,"" says Thomas Swetnam, a fire ecologist at the University of Arizona in Tucson.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
22823,overrun,Noun,"An instance of overrunning 2013 June 18, Simon Romero, ""Protests Widen as Brazilians Chide Leaders,"" New York Times (retrieved 21 June 2013): Some of the stadiums being built for the World Cup soccer tournament, scheduled for next year, have also been criticized for delays and cost overruns, and have become subjects of derision as protesters question whether they will become white elephants.",,,False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
24068,overvaluation,Noun,An instance of overvaluing,,"1957, Rollin George Thomas, Our Modern Banking and Monetary System First, it is obviously of benefit if it corrects a pre-existing overvaluation.",False,False,False,False,False,,False,,False,,False,,False,,False,False,False,False,False,True
