Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process
324,ice climbing,Noun,The activity of ascending inclined ice formations., climbing,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
393,ice fishing,Noun,The practice of fishing through a hole cut in the ice.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
499,ice swimming,Noun,The practice of swimming in a gap or hole in the ice of an iced-over body of water,,"2011, Steven Munatones, Open Water Swimming, Human Kinetics, page 8, The most serious cold water swimmers participate in competitive ice swimming events in bodies of water less than 41 F (5 C), sometimes carved out of frozen rivers or lakes and part of the International Winter Swimming Association and the International Ice Swimming Association. 2015, Alexander Armstrong, Land of the Midnight Sun: My Arctic Adventures, 2016, Penguin Random House (Corgi), page 62, Because I am going Ice Swimming, I am meeting a club of Troms Ice Swimmers. 2016, Harald Haarmann, Modern Finland, McFarland Company, page 100, Winter swimming (or ice swimming) is not for everybody. People with a heart condition should not practice it.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
559,iceboating,Noun,The act of travelling in a iceboat.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
915,ichthyotherapy,Noun,"The use of fish for therapeutic treatment, especially for cleaning wounds.", alternative medicine,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
950,icing,Noun,The process of forming a layer of ice on a surface.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
1064,iconometry,Noun,"The measurement of icons and their proportions etc., in religious art.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
1387,identification,Noun,"The act of identifying, or proving to be the same",,Much education and experience is required for proper identification of bird species,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
1423,identifying,Noun,An act of identification,,"2012, R. R. Cox, Schutzs Theory of Relevance: A Phenomenological Critique (page 49) There are not only these identifyings going on, but also there are distinguishings. For just as in the example above there are identifications of the various extents, there are distinguishings of these extents.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
1499,ideography,Noun,The use of ideograms; logography.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True
