Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
311,ice bucket challenge,Noun,"An activity in which a person empties a bucket of ice and water over their head, typically in order to raise money for a good cause",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,activity,,activity,,,,,,,,,,,,,,,,,
489,ice skating,Noun,"The act, or the sport, of skating on ice.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"act , or",,act,",",or,,,,,,,,,,,,,,,
577,icebreaker,Noun,"A game, activity, humorous anecdote, etc., designed to relax a group of people to help them get to know each other",,"The new college hallmates were awkward with each other at first, but after a game of charades as an icebreaker, they were laughing like old friends.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"game , activity , anecdote ",,game,",",activity,",",anecdote,,,,,,,,,,,,,
723,ichnoactivity,Noun,ichnological activity,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,activity,,activity,,,,,,,,,,,,,,,,,
992,iconification,Noun,"The act, process or result of iconifying.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"act , process or result",,act,",",process,or,result,,,,,,,,,,,,,
1006,iconization,Noun,"The act, process or result of iconizing.",,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,"act , process or result",,act,",",process,or,result,,,,,,,,,,,,,
1283,idealization,Noun,The act or process of idealizing.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,act or process,,act,or,process,,,,,,,,,,,,,,,
1396,identification parade,Noun,"A process by which a witness confirms the identity of a criminal suspect, by viewing the suspect together with other people who were not involved in the crime", law enforcement,"Synonyms: identity parade, lineup, police lineup 1951, Josephine Tey, The Daughter of Time, London: Peter Davies, Chapter 2, p.24,[1] He had once in his early days dropped in with his Superintendent at an identification parade. It was not his case, and they were both there on other business, but they lingered in the background and watched while a man and a woman, separately, walked down the line of twelve nondescript men, looking for the one they hoped to recognise. 1993, Vikram Seth, A Suitable Boy, Boston: Little, Brown, Chapter 17.26, pp.1330-1331,[2] One of the ticket clerks at the Brahmpur Railway Station was going to be asked to try to pick Maan out at an identification parade in the jail. Under these circumstances, he could not let Maans head be shaved.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,process,,process,,,,,,,,,,,,,,,,,
1462,identity parade,Noun,"A process by which a witness confirms the identity of a criminal suspect, by viewing the suspect together with other people who were not involved in the crime"," Britain, law enforcement","Synonyms: identification parade, lineup, police lineup 1943, Graham Greene, The Ministry of Fear, London: Heinemann, 1950, Book1, Chapter4, p.61,[1] He moved through the circle and sat down on Costs left like a criminal taking his place in an identity parade. 1984, Alan Hunter, The Unhanged Man, New York: Walker, Chapter 6, pp.87-88,[2] I deny it, I utterly deny it, my movements were those Ive given you. Yet you refuse to take part in an identity parade?",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,process,,process,,,,,,,,,,,,,,,,,
1598,idiocy,Noun,An act lacking intelligence or sense; an instance of senselessness; extremely foolish behaviour,,"The administrators, growing tired of such idiocy, put a new policy in place.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,act,,act,,,,,,,,,,,,,,,,,
