Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1237,ideahood,Noun,The property or state of being an idea.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,property or state,,property,or,state,,,,,,,,,,,,,,,
1279,ideality,Noun,The quality or state of being ideal., uncountable,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,quality or state,,quality,or,state,,,,,,,,,,,,,,,
2459,ility,Noun,An abstract quality that good software should exhibit, software engineering,One reason to use software libraries is that the authors have had time to add ilities in addition to the basic functionality.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,quality,,quality,,,,,,,,,,,,,,,,,
2523,ill-gotten gains,Noun,Money or other property acquired dishonestly,,Ill-gotten gains never prosper.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,Money or property,,money,or,property,,,,,,,,,,,,,,,
2676,illegibility,Noun,The characteristic or quality of being illegible; the quality of being difficult or impossible to read,,"1848, William Makepeace Thackeray, Vanity Fair, Chapter 15,[1] Poor thing! poor thing! says Briggs (who was thinking of twenty-four years back, and that hectic young writing-master whose lock of yellow hair, and whose letters, beautiful in their illegibility, she cherished in her old desk upstairs). 1937, Kenneth Gandar-Dower, The Spotted Lion, Chapter Four, p. 144,[2] I passed the time by adding to the illegibilities in my diary. 1961, V. S. Naipaul, A House for Mr Biswas, Vintage International, 2001, Part One, Chapter 4, And on the back endpaper of the Collins Clear-Type Shakespeare, a work of fatiguing illegibility, he wrote the names in large letters, as though his succession had already been settled. The illegibility of his handwriting made it unclear which answer he wrote.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,quality,,quality,,,,,,,,,,,,,,,,,
2732,illiberalism,Noun,"The principle, state or quality of being illiberal",,"2009, January 25, Timothy Garton Ash, in A Liberal Translation[1]:As the Oxford political theorist Michael Freeden observed, if just one of the necessary components for example, the free market dominates, then the result can be illiberalism.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,"principle , state or quality",,principle,",",state,or,quality,,,,,,,,,,,,,
2829,illogicity,Noun,"The quality, state or condition of being illogical",,"1998, Oliver Stone, A Child's Night Dream: A Novel It must be clear by now that I was not and am not now that literal a person in relationship to time or place, but there was a reason, I believe, for this illogicity the forging of the Dream, and it haunts and wracks the manuscript to this date.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,"quality , state or condition",,quality,",",state,or,condition,,,,,,,,,,,,,
3693,imitability,Noun,The property or status of being imitable.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,property or status,,property,or,status,,,,,,,,,,,,,,,
3743,immanant,Noun,"A function or property of a matrix, defined as a generalization of the concepts of determinant and permanent.", linear algebra,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,function or property,,function,or,property,,,,,,,,,,,,,,,
4401,immunocontent,Noun,"The amount and range of antibodies in a material 2014 May 23, Larissa Constantino et al., Regulation of lung oxidative damage by endogenous superoxide dismutase in sepsis, in Intensive Care Medicine Experimental[1], volume 2, DOI:10.1186/2197-425X-2-17:The animals were submitted to sepsis or sham-operated, and 3h (A), 6h (B), and 12h (C) after surgery, the immunocontent of iNOS was evaluated in the lung and in the pulmonary artery (3h (D), 6h (E), 12h (F) ).", immunology,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,True,False,False,False,False,False,False,False,False,,amount and range,,amount,and,range,,,,,,,,,,,,,,,
