Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute,property,process,matter,role,measure,units,body,domain2,attributive_form,attributive_form_for_term,main_noun_nltk,main_noun_maria,0,1,2,3,4,5,6,7,8,9,field,disease,object_map,object,10,11,12,13,14,15,16,17
52,iaido,Noun,"A Japanese martial art associated with the smooth, controlled movements of drawing the sword from its scabbard, striking or cutting an opponent, removing blood from the blade, and then replacing the sword in the scabbard",,"2007 August 26, Mary Tannen, Diet by the Sword, in New York Times[1]:The traditional Japanese swordsmanship, iaido, on which Forza is based, is linear, precise one stab and its over, she says.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,art,,art,,,,,,,,,,True,False,,,,,,,,,,
578,icebreaker,Noun,A lively song and dance routine at the start of a musical, theater,"2014, Maggie Davis, Stage Door Canteen At the moment the curtain went up there had to be a lively ensemble number of principals and chorus singing and dancing, the traditional icebreaker that also covered up the noise of late-arriving ticket holders getting to their seats.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,dance routine,,dance,routine,,,,,,,,,True,False,,,,,,,,,,
750,ichnography,Noun,the art of constructing ground plans,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,art,,art,,,,,,,,,,True,False,,,,,,,,,,
762,ichnomorphology,Noun,The morphology of ichnofossils,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,morphology,,morphology,,,,,,,,,,True,False,,,,,,,,,,
773,ichnotaxonomy,Noun,The taxonomy of ichnofossils,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,taxonomy,,taxonomy,,,,,,,,,,True,False,,,,,,,,,,
919,ichthyotomy,Noun,The anatomy or dissection of fishes.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,anatomy or dissection,,anatomy,or,dissection,,,,,,,,True,False,,,,,,,,,,
1043,iconography,Noun,"The art of representation by pictures or images; the description or study of portraiture or representation, as of persons",,the iconography of the ancients,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,art,,art,,,,,,,,,,True,False,,,,,,,,,,
1148,icteric,Noun,A medicine for jaundice.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,medicine,,medicine,,,,,,,,,,True,False,", medicine",True,,,,,,,,
1637,idiom,Noun,A programming construct or phraseology that is characteristic of the language, programming,"2005, Magnus Lie Hetland, Beginning Python: From Novice to Professional, ISBN, page 100:I have to use the same assignment and call to raw_input in two places. How can I avoid that? I can use the while True/break idiom: []",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,False,False,False,False,False,False,False,False,,construct or phraseology,,construct,or,phraseology,,,,,,,,True,False,,,,,,,,,,
2304,ikebana,Noun,The Japanese art of flower arrangement.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False,False,True,False,False,False,False,False,False,False,,art,,art,,,,,,,,,,True,False,,,,,,,,,,
