Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur
423,ice monkey,Noun,A white person., ethnic slur,,False,False,False,False,False,False,True
1265,ziggaboo,Noun,"A nigger, negro"," ethnic slur, derogatory, African American Vernacular","1937, Zora Neale Hurston, Their Eyes Were Watching God, Harper Perennial (2000), page 148: Right now she got money enough in de bank tuh buy up dese ziggaboos and give em away.",False,False,False,False,False,False,True
17063,outnigger,Verb,"To outsmart or deceive 1974, United States Congress, Congressional Record: Proceedings and Debates The defeat of Lester Maddox, whose try for a second term as governor was decisively blocked in the recent Georgia Democratic primary, confirms that outniggering the opposition,"" as Wallace once put it, is no longer a sufficient strategy [] 2000, Nick Cohen, The Holocaust as show business (in New Statesman) [1] The PM's culpability will not stop him attending the ceremony; nor will the Asylum Act deter Straw from showing up"," transitive, ethnic slur","The Tories propose to outnigger him at the election by campaigning on a promise that refugees who are accused of no crime but asking for a safe haven should be locked up without trial in internment camps. 2010, Michael Wolraich, Blowing Smoke As a federal judge in the 1950s, Wallace developed a reputation for fairness and tolerancerelative to the norms of Alabama at the timeand the NAACP endorsed his first gubernatorial campaign in 1958. But after his KKK-backed opponent trounced him in the race, Wallace confided to an aide, I was outniggered by John Patterson. And I'll tell you here and now, I will never be outniggered again.",False,False,False,False,False,False,True
11126,white bread,Noun,"A white person, a person of European descent, a Caucasian; a person who 'acts white'"," US, ethnic slur, uncommon","1995, Mansfield Frazier, From Behind the Wall, 92 ...they had become weary of being targeted for intimidation by black and Latino gangs in their multiracial neighborhood. They told stories of being taunted by racial slurs in high school, such as being called ""white bread"" and ""cracker."" 2006, Michael Soltys, The Grass Is Green, 296 Teyshawn wanted to yell whitebreads did itfucking whitebreads. 2011, Kathryn Grant, The Good Counselor, ActI, Sceneii evelyn. Fuck you, white bread. vincent. Oh, I'm white? evelyn. You don't act black. vincent. (smiling) And yet, people still treat me like I'm black.",False,False,False,False,False,False,True
11128,white bread,Adjective,"Of or relating to white people, Caucasian", US ethnic slur,"1993 November 15, Eric Pooley, ""Can Giuliani Pull It Together?"" in New York, Vol.26, No.45, p.53 Guiliani is hedging a bit, but he's not the white-bread cop so many blacks expect him to be. 2013, Mary McVee, ""Interracial Friendship Enmity between Teachers Students: Lessons of Urban Schooling from a 'Cracker Girl'"" in The Psychology of Friendship Enmity, Vol.II, p.212 Bystanders shouted a racial slur, ""white bread,"" at her.",False,False,False,False,False,False,True
11180,white devil,Noun,A white person.[1], ethnic slur,,False,False,False,False,False,False,True
11491,white trash,Noun,"A poorly-educated white person or, collectively, white people of low social status"," US, idiomatic, derogatory, ethnic slur","1919, H.P. Lovecraft, Beyond the Wall of Sleep[1]:Among these odd folk, who correspond exactly to the decadent element of white trash in the South, law and morals are non-existent; and their general mental status is probably below that of any other section of the native American people. 2017, Tonya Harding, performed by Sufjan Stevens:Just some Portland white trash / You confronted your sorrow / Like there was no tomorrow / While the rest of the world only laughed This white trash can't pay for his own beer. These lowlife characters are white trash.",False,False,False,False,False,False,True
11817,whitey,Noun,"A white person, a person of European descent"," African American Vernacular, derogatory, ethnic slur","1976, New York Magazine (volume 9, number 47, page 102) ""Whites don't like us because they think we're niggies. And blacks don't like us because they think we're whiteys. We don't fit anywhere. That's why we've gone off alone, created a totally separate thing."" 1997, Dave Chappelle, ""Racism Connoisseur"" on HBO Comedy Half-Hour: Touch, honky. So, whitey, what did you do today? Oppress a new land and make the people there Christians against their will?",False,False,False,False,False,False,True
17130,wonderbread,Noun,"Synonym of white bread, a white person, a person of European descent.", ethnic slur,,False,False,False,False,False,False,True
17132,wonderbread,Adjective,"Synonym of white bread, of or relating to white people.", ethnic slur,,False,False,False,False,False,False,True
35851,bohunk,Noun,"An immigrant from Central Europe, Eastern Europe, or the Balkans, especially one who is regarded as vain, aggressively masculine, and socially unsophisticated."," Canada, US, ethnic slur",,False,False,False,False,False,False,True
