0,1,10,11,12,13,14,15,16,17,2,3,4,5,6,7,8,9,Unnamed: 0,abbreviation,abbreviation_for_term,acronym,acronym_for_term,antonym,antonym_for_term,astrology,attribute,attributive_form,attributive_form_for_term,body,childish,colloquial,dated,definition,disease,domain,domain2,euphemistic,field,folklore,humorous,informal,jargon,literary,literature,main_noun_maria,main_noun_nltk,matter,measure,misspelling,misspelling_for_term,mythology,nonstandard,obsolete,offensive,plural,plural_for_term,pos,process,property,rare,role,slang,slur,supplementary_info,synonym,synonym_for_term,term,theology,units,vulgar
family,,,,,,,,,,,,,,,,,,2847,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of sesquiterpenes with antitumor antibiotic properties produced by some mushrooms.,False, organic chemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,illudin,False,False,False
family,,,,,,,,,,,,,,,,,,3521,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of peptides first discovered in a Pseudomonas,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,imelysin,False,False,False
family,,,,,,,,,,,,,,,,,,4250,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of recombinant fusion proteins,False," immunology, biochemistry",False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,immunoadhesin,False,False,False
group,,,,,,,,,,,,,,,,,,4321,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of immunomodulatory lipocalins,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,immunocalin,False,False,False
family,,,,,,,,,,,,,,,,,,4552,False,,False,,False,,False,False,False,,False,False,False,False,Any of a family of immunoevasive proteins expressed by sum viruses,False, biochemistry,False,False,False,False,False,False,False,False,False,,family,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,immunoevasin,False,False,False
group,,,,,,,,,,,,,,,,,,4791,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of modulins that modify the secretion of proteins such as cytokines,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,immunomodulin,False,False,False
indane,group,,,,,,,,,,,,,,,,,10109,False,,False,,False,,False,False,False,,False,False,False,False,An indane group of rings fused with some other compound,False," organic chemistry, in combination",False,False,False,False,False,False,False,False,False,,indane group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,indeno,False,False,False
group,,,,,,,,,,,,,,,,,,17503,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of intestinal lactoferrin receptors,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,"2015 August 8, An Immediate Innate Immune Response Occurred In the Early Stage of E . granulosus Eggs Infection in Sheep: Evidence from Microarray Analysis, in PLOS ONE[1], DOI:10.1371/journal.pone.0135096:Most of up-regulated genes were related to innate immune responses, including innate immunity cells (macrophages, NK cell, mast cell, basophils) and innate immunity molecules (cytokines, chemokines, complement, lysozyme, intelectin 2).",False,,intelectin,False,False,False
group,,,,,,,,,,,,,,,,,,18975,False,,False,,False,,False,False,False,,False,False,False,False,"Any of a group of glycoproteins, produced by the immune system, that prevent viral replication in infected cells.",False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,interferon,False,False,False
group,,,,,,,,,,,,,,,,,,19460,False,,False,,False,,False,False,False,,False,False,False,False,Any of a group of cytokine proteins important in the regulation of lymphocyte function.,False, biochemistry,False,False,False,False,False,False,False,False,False,,group,True,False,False,,False,False,False,False,False,,Noun,False,False,False,False,False,False,,False,,interleukin,False,False,False
