Unnamed: 0,term,pos,definition,domain,supplementary_info,obsolete,slang,dated,rare,vulgar,offensive,slur,astrology,mythology,jargon,euphemistic,informal,humorous,literary,literature,childish,folklore,colloquial,nonstandard,theology,abbreviation,abbreviation_for_term,plural,plural_for_term,misspelling,misspelling_for_term,acronym,acronym_for_term,synonym,synonym_for_term,antonym,antonym_for_term,attribute
71,tab,Verb,To affix with tabs; to label.,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
114,tabbed,Verb,simple past tense and past participle of tab,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
115,tabbed off,Verb,simple past tense and past participle of tab out,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
116,tabbied,Verb,simple past tense and past participle of tabby,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
120,tabbing,Verb,present participle of tab,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
121,tabbing off,Verb,present participle of tab out,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
131,tabby,Verb,To give a wavy or watered appearance to (a textile)., transitive,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
132,tabbying,Verb,present participle of tabby,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
137,tabefied,Verb,simple past tense and past participle of tabefy,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
138,tabefies,Verb,Third-person singular simple present indicative form of tabefy,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
139,tabefy,Verb,To emaciate., transitive,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
140,tabefy,Verb,To waste away., intransitive,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
141,tabefying,Verb,present participle of tabefy,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
152,tabered,Verb,simple past tense and past participle of taber,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
153,tabering,Verb,present participle of taber,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
166,tabernacle,Verb,To dwell; to abide for a time., intransitive,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
169,tabernacled,Verb,simple past tense and past participle of tabernacle,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
171,tabernacling,Verb,present participle of tabernacle,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
177,tabers,Verb,Third-person singular simple present indicative form of taber,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
200,tabified,Verb,simple past tense and past participle of tabify,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
201,tabifies,Verb,Third-person singular simple present indicative form of tabify,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
202,tabify,Verb,To reformat (text) by converting spaces into tab characters," transitive, computing","1985, Terry A. Ward, Applied programming techniques in C A common use of this program is to tabify text files which you've loaded in over the phone from a computer system (like UNIX) that tends to turn all tabs into spaces for 300 baud DEC writers. 1999, Michael Amundsen, Practical Visual InterDev 6 You can only tabify source code",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
203,tabifying,Verb,present participle of tabify,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
224,table,Verb,To tabulate; to put into a table or grid,,[from 15th c.] to table fines,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
227,table,Verb,"To put on the table of a commission or legislative assembly; to propose for formal discussion or consideration, to put on the agenda", non-US,"[from 17th c.] 2019, Heather Stewart and Daniel Boffey, The Guardian, 16 January: In a raucous Commons, the Labour leader, Jeremy Corbyn, confirmed he had tabled a formal motion of confidence in the government, backed by other opposition leaders, which MPs would vote on on Wednesday.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
228,table,Verb,"To remove from the agenda, to postpone dealing with; to shelve (to indefinitely postpone consideration or discussion of something)", chiefly US,"[from 19th c.] The legislature tabled the amendment, so they will not be discussing it until later. The motion was tabled, ensuring that it would not be taken up until a later date.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
230,table,Verb,To put on a table,,"[from 19th c.] 1833 Thomas Carlyle, letter to his Mother, The Correspondence of Thomas Carlyle and Ralph Waldo Emerson [A]fter some clatter offered us a rent of five pounds for the right to shoot here, and even tabled the cash that moment, and would not pocket it again.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
231,table,Verb,To make board hems in the skirts and bottoms of (sails) in order to strengthen them in the part attached to the bolt-rope., nautical,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
334,tabled,Verb,simple past tense and past participle of table,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
358,tables,Verb,Third-person singular simple present indicative form of table,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
385,tablet,Verb,"To form (a drug, etc.) into tablets.", transitive,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
390,tableted,Verb,simple past tense and past participle of tablet,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
401,tabletted,Verb,simple past tense and past participle of tablet,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
418,tabling,Verb,present participle of table,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
438,tabloidize,Verb,To convert or assimilate into tabloid journalism; to make tawdry and sensational, transitive,"2007 October 12, Robin Finn, Jumping Toward Her Own Turn in the Spotlight, in New York Times[1]:Make the strategic mistake toward the end of a pleasantly blunt chat conducted while traipsing around her farm and ogling its stellar inhabitants of mentioning her tabloidized romance with Cian OConnor, a garrulous Irish horseman who forfeited an Olympic gold medal in 2005 when his mount failed a drug test, and she instinctively puts on the verbal brakes.",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
439,tabloidized,Verb,simple past tense and past participle of tabloidize,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
440,tabloidizes,Verb,Third-person singular simple present indicative form of tabloidize,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
441,tabloidizing,Verb,present participle of tabloidize,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,,False,,False,,False
